scid,broker_count,buy_count,hold_count,sell_count,stkname,stockShortName,cmp,change,perChange,profitPotential,stk_url,exchange,targets,targetBarColor,targetPiceLineData,targetBarColorClass
IIL03,2,2,0,0,AvenuesAI,AvenuesAI,14.05,0.07,0.50,63.7,online-services/avenuesai/IIL03,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 14.05, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 19, 'percentages': 35.2, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 23, 'percentages': 63.7, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 27, 'percentages': 92.1, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 92.17, 'minRangePer': 38.22, 'maxRanegPer': 69.11, 'rangeDiffPer': 30.89, 'mindiff_total': 35.23, 'maxdiff_total': 63.7}",#52B974
AI72,2,2,0,0,AFFLE 3I,AFFLE 3I,1452.00,45.30,3.22,55.9,it-servicesconsulting/affle3i/AI82,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 1452, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 2250, 'percentages': 54.9, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 2265, 'percentages': 55.9, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 2280, 'percentages': 57, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 57.02, 'minRangePer': 96.36, 'maxRanegPer': 98.19, 'rangeDiffPer': 1.82, 'mindiff_total': 54.95, 'maxdiff_total': 55.99}",#52B974
DS11,2,1,0,1,DCX Systems,DCX Systems,203.16,9.45,4.88,43.9,electronics-components/dcxsystems/DS11,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 203.16, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 225, 'percentages': 10.7, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 292.5, 'percentages': 43.9, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 360, 'percentages': 77.2, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 77.2, 'minRangePer': 13.92, 'maxRanegPer': 56.95, 'rangeDiffPer': 43.03, 'mindiff_total': 10.75, 'maxdiff_total': 43.97}",#52B974
SHIL54290,2,2,0,0,Hindware Home Innovation,HINDWAREAP,223.52,-2.71,-1.20,52.7,domestic-appliances/hindwarehomeinnovation/SHIL54290,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 223.52, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 253, 'percentages': 13.1, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 341.5, 'percentages': 52.7, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 430, 'percentages': 92.3, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 92.37, 'minRangePer': 14.26, 'maxRanegPer': 57.13, 'rangeDiffPer': 42.87, 'mindiff_total': 13.18, 'maxdiff_total': 52.78}",#52B974
B03,2,0,2,0,BSE Limited,BSE Limited,3534.60,88.60,2.57,-21.4,miscellaneous/bselimited/B08,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 2750, 'percentages': -22.1, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 2775, 'percentages': -21.4, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 2800, 'percentages': -20.7, 'color': 'green'}, {'id': 'cmp', 'name': 'Current Price', 'value': 3534.6, 'percentages': '', 'color': 'white'}]","{'background': 'grey', 'position': 'right', 'color': 'red', 'colorFillPercentages': 75, 'greyLeftPercentage': 25, 'greyRightPercentage': 0}","{'totalPercentages': 28.53, 'minRangePer': 3.15, 'maxRanegPer': 6.34, 'rangeDiffPer': 3.19, 'mindiff_total': 0.9, 'maxdiff_total': 1.81}",#E3515C
AO05,2,2,0,0,Acutaas Chemicals,Acutaas Chem,2494.60,99.60,4.16,-11.8,speciality-chemicals/acutaaschemicals/AO05,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 1783, 'percentages': -28.5, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 2198, 'percentages': -11.8, 'color': 'blue'}, {'id': 'cmp', 'name': 'Current Price', 'value': 2494.6, 'percentages': '', 'color': 'white'}, {'id': 'max_target_price', 'name': 'High', 'value': 2613, 'percentages': 4.7, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'red', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 46.55, 'minRangePer': 49.98, 'maxRanegPer': 85.73, 'rangeDiffPer': 35.75, 'mindiff_total': 23.27, 'maxdiff_total': 39.91}",#E3515C
DSL01,2,2,0,0,Capri Global Capital,Capri Global,185.13,1.75,0.95,23.9,finance-general/capriglobalcapital/MMF05,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 185.13, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 229, 'percentages': 23.6, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 229.5, 'percentages': 23.9, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 230, 'percentages': 24.2, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 24.23, 'minRangePer': 97.77, 'maxRanegPer': 98.88, 'rangeDiffPer': 1.1, 'mindiff_total': 23.69, 'maxdiff_total': 23.96}",#52B974
E09,2,2,0,0,SJS Enterprises,SJS Enterprises,1635.20,18.60,1.15,-3.4,auto-ancillaries-others/sjsenterprises/E11,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 1406, 'percentages': -14, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1578, 'percentages': -3.4, 'color': 'blue'}, {'id': 'cmp', 'name': 'Current Price', 'value': 1635.2, 'percentages': '', 'color': 'white'}, {'id': 'max_target_price', 'name': 'High', 'value': 1750, 'percentages': 7, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'red', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 24.46, 'minRangePer': 50, 'maxRanegPer': 66.63, 'rangeDiffPer': 16.62, 'mindiff_total': 12.23, 'maxdiff_total': 16.3}",#E3515C
TP13,2,1,0,1,Torrent Power,Torrent Power,1772.50,73.00,4.30,-26.1,power-generationdistribution/torrentpower/TP14,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 1240, 'percentages': -30, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1308.5, 'percentages': -26.1, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 1377, 'percentages': -22.3, 'color': 'green'}, {'id': 'cmp', 'name': 'Current Price', 'value': 1772.5, 'percentages': '', 'color': 'white'}]","{'background': 'grey', 'position': 'right', 'color': 'red', 'colorFillPercentages': 75, 'greyLeftPercentage': 25, 'greyRightPercentage': 0}","{'totalPercentages': 42.94, 'minRangePer': 12.85, 'maxRanegPer': 25.71, 'rangeDiffPer': 12.86, 'mindiff_total': 5.52, 'maxdiff_total': 11.04}",#E3515C
RI,2,2,0,0,Reliance Industries,Reliance,1365.80,38.00,2.86,25.8,refineries/relianceindustries/RI,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 1365.8, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 1688, 'percentages': 23.5, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1719, 'percentages': 25.8, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 1750, 'percentages': 28.1, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 28.13, 'minRangePer': 83.86, 'maxRanegPer': 91.93, 'rangeDiffPer': 8.07, 'mindiff_total': 23.59, 'maxdiff_total': 25.86}",#52B974
