MC_Code,shortName,StockName,nsCode,currPrice,prevPrice,change,pChange,volume,open,high,low
,IDEA,IDEA,IDEA,14.68,14.97,-0.29,-1.94,375500261,15.03,15.1,14.6
,PCJEWELLER,PCJEWELLER,PCJEWELLER,10.92,11.01,-0.09,-0.82,360417197,10.95,11.25,10.83
,IFCI,IFCI,IFCI,90.2,84.27,5.93,7.04,139340453,84.27,92.45,83.57
,GATECH,GATECH,GATECH,1.07,1.02,0.05,4.9,0,1.07,1.07,1.06
,ALOKINDS,ALOKINDS,ALOKINDS,9.23,10.43,-1.2,-11.51,85131255,10.49,10.49,9.16
,OLAELEC,OLAELEC,OLAELEC,38.83,37.63,1.2,3.19,78463929,38.0,39.77,37.45
,TATSILV,TATSILV,TATSILV,23.36,22.97,0.39,1.7,73180946,23.5,23.52,22.39
,YESBANK,YESBANK,YESBANK,22.1,22.26,-0.16,-0.72,63531708,22.31,22.36,22.01
,SAGILITY,SAGILITY,SAGILITY,46.34,44.27,2.07,4.68,60764265,44.39,46.4,44.3
,SEPC,SEPC,SEPC,5.54,5.71,-0.17,-2.98,59773560,5.71,5.83,5.5
,NSLNISP,NSLNISP,NSLNISP,48.75,44.99,3.76,8.36,57456853,44.99,49.4,44.78
,SYNCOMF,SYNCOMF,SYNCOMF,19.65,17.34,2.31,13.32,57135698,17.67,20.38,17.26
,GROWW,GROWW,GROWW,191.58,196.84,-5.26,-2.67,53275950,196.5,196.75,189.7
,BAJAJHIND,BAJAJHIND,BAJAJHIND,21.89,21.11,0.78,3.69,51508959,21.13,22.08,21.13
,TEMPSENS,TEMPSENS,TEMPSENS,590.6,300.0,-43.4,-6.85,51084119,634.0,634.85,551.15
,TTML,TTML,TTML,39.0,36.46,2.54,6.97,50962825,36.46,40.5,36.44
,DAVANGERE,DAVANGERE,DAVANGERE,2.1,2.12,-0.02,-0.94,50635098,1.95,2.17,1.95
,VOGL,VOGL,VOGL,40.39,41.98,-1.59,-3.79,50083778,41.9,42.7,40.12
,SAIL,SAIL,SAIL,200.0,193.0,7.0,3.63,48585004,193.05,200.96,192.55
,TEJASNET,TEJASNET,TEJASNET,549.0,511.15,37.85,7.4,43164679,538.0,576.85,538.0
