MC_Code,shortName,StockName,open,high,low,currPrice,prevPrice,change,pChange,volume
TCS,TCS,TCS,2272.0,2348.5,2263.3,2342.0,2248.4,93.60,4.16,4054069
TM4,TM4,Tech Mahindra,1600.0,1642.0,1598.0,1640.9,1585.0,55.90,3.53,3415226
IT,IT,Infosys,1123.6,1145.0,1123.3,1144.0,1110.8,33.20,2.99,9621969
HCL02,HCL02,HCL Tech,1290.0,1334.2,1290.0,1316.1,1282.0,34.10,2.66,3459476
W,W,Wipro,178.25,181.85,178.25,180.95,176.4,4.55,2.58,14686269
BA06,BA10,Bajaj Auto,11810.0,11974.0,11769.0,11910.0,11720.0,190.00,1.62,262591
H,HI,Hindalco,1030.0,1037.4,1025.95,1037.4,1024.0,13.40,1.31,1687987
HDF01,HDF01,HDFC Bank,710.85,720.3,707.0,720.3,711.0,9.30,1.31,16494301
TEL,TM03,TMPV,317.5,319.4,313.3,319.4,316.0,3.40,1.08,5852894
GI01,GI01,Grasim,3261.0,3292.5,3229.0,3290.0,3258.0,32.00,0.98,676185
UTI10,AB16,Axis Bank,1256.0,1265.4,1248.2,1265.0,1256.0,9.00,0.72,3243469
L,T04,Trent,2890.4,2911.2,2875.8,2898.0,2878.5,19.50,0.68,469911
TI01,TI01,Titan Company,5155.0,5169.9,5136.0,5169.2,5139.3,29.90,0.58,547804
MHI,MHI,Max Healthcare,1009.1,1017.5,1001.8,1014.1,1009.0,5.10,0.51,1811091
LT,LT,Larsen,4045.0,4060.0,4021.3,4045.8,4027.0,18.80,0.47,893956
SBI,SBI,SBI,1046.0,1051.2,1040.5,1047.5,1042.9,4.60,0.44,4969272
AHE,AHE,Apollo Hospital,8848.0,8905.0,8818.5,8838.5,8800.0,38.50,0.44,311286
PGC,PGC,Power Grid Corp,266.05,267.35,265.05,266.05,264.9,1.15,0.43,5112511
RI,RI,Reliance,1284.9,1291.8,1280.0,1287.0,1282.2,4.80,0.37,6830228
SPI,SPI,Sun Pharma,1925.0,1931.0,1903.8,1920.0,1913.3,6.70,0.35,1140742
NI,NI,Nestle,1454.4,1456.5,1438.0,1454.6,1450.0,4.60,0.32,445734
CI29,CI11,Coal India,401.0,406.35,397.5,401.0,400.0,1.00,0.25,38504284
C,C,Cipla,1420.0,1423.9,1409.1,1423.5,1420.0,3.50,0.25,377976
BE03,BE03,Bharat Elec,410.85,411.9,407.25,411.9,411.0,0.90,0.22,8025382
BTV,BA08,Bharti Airtel,1875.7,1894.3,1867.6,1882.4,1878.3,4.10,0.22,6106300
JFS,JFS,Jio Financial,238.6,240.0,237.6,238.4,238.1,0.30,0.13,7150998
MM,MM,M&M,3331.0,3351.7,3302.0,3334.0,3330.0,4.00,0.12,1744074
ONG,ONG,ONGC,233.35,233.39,231.25,232.25,232.0,0.25,0.11,7638954
DRL,DRL,Dr Reddys Labs,1175.0,1186.6,1172.5,1178.0,1177.0,1.00,0.08,682712
HL,HU,HUL,2018.0,2018.0,1997.5,2010.4,2009.0,1.40,0.07,933212
