MC_Code,shortName,StockName,open,high,low,currPrice,prevPrice,change,pChange,volume
ICI02,ICI02,ICICI Bank,1435.0,1439.8,1418.9,1422.8,1443.0,-20.20,-1.40,8625738
STF,STF,Shriram Finance,1105.0,1106.7,1083.2,1086.9,1101.0,-14.10,-1.28,2207426
ITC,ITC,ITC,269.0,269.0,264.8,266.0,269.0,-3.00,-1.12,15200847
UTC,UTC01,UltraTechCement,11705.0,11746.0,11523.0,11589.0,11717.0,-128.00,-1.09,235738
API,AP31,Asian Paints,2645.0,2645.0,2583.8,2608.7,2631.0,-22.30,-0.85,482544
SLI03,SLI03,SBI Life Insura,1780.4,1782.0,1747.8,1761.1,1773.2,-12.10,-0.68,1039823
EM,EM,Eicher Motors,8140.0,8140.0,8003.0,8059.0,8100.0,-41.00,-0.51,337007
MU01,MS24,Maruti Suzuki,13500.0,13525.0,13318.0,13376.0,13440.0,-64.00,-0.48,277509
BF04,BF04,Bajaj Finserv,2011.0,2014.7,1982.3,2002.0,2011.0,-9.00,-0.45,466703
IA05,IA04,Interglobe Avi,5199.0,5200.5,5137.5,5166.0,5189.0,-23.00,-0.44,257496
MPS,MPS,Adani Ports,1712.0,1723.9,1699.2,1707.5,1714.0,-6.50,-0.38,3268356
BAF,BAF,Bajaj Finance,1065.7,1081.5,1065.7,1079.9,1083.0,-3.10,-0.29,4554311
NTP,NTP,NTPC,329.5,333.1,328.8,330.05,330.9,-0.85,-0.26,7332490
JVS,JSW01,JSW Steel,1335.2,1344.0,1320.4,1334.9,1337.5,-2.60,-0.19,1403899
TIS,TIS,Tata Steel,187.6,188.79,184.08,186.5,186.8,-0.30,-0.16,39370394
Z01,Z,Eternal,329.1,330.0,324.3,328.0,328.5,-0.50,-0.15,31385139
TT,TT,TATA Cons. Prod,1047.0,1047.0,1030.4,1040.7,1042.0,-1.30,-0.12,971764
KMF,KMB,Kotak Mahindra,424.6,426.2,421.0,423.7,424.2,-0.50,-0.12,18952918
AE01,AE13,Adani Enterpris,3170.0,3173.7,3133.3,3168.5,3169.0,-0.50,-0.02,530795
