scid,broker_count,buy_count,hold_count,sell_count,stkname,stockShortName,cmp,change,perChange,profitPotential,stk_url,exchange,targets,targetBarColor,targetPiceLineData,targetBarColorClass
UTI10,12,11,1,0,Axis Bank,Axis Bank,1296.40,7.40,0.57,10.4,banks-private-sector/axisbank/AB16,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 1270, 'percentages': -2, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 1296.4, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1432.3, 'percentages': 10.4, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 1610, 'percentages': 24.1, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 26.77, 'minRangePer': 7.73, 'maxRanegPer': 47.7, 'rangeDiffPer': 39.97, 'mindiff_total': 2.07, 'maxdiff_total': 12.77}",#52B974
IT,12,11,1,0,Infosys,Infosys,1167.50,15.40,1.34,48.2,computers-software/infosys/IT,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 1167.5, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 1300, 'percentages': 11.3, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1730.7, 'percentages': 48.2, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 2154, 'percentages': 84.4, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 84.49, 'minRangePer': 13.42, 'maxRanegPer': 57.08, 'rangeDiffPer': 43.66, 'mindiff_total': 11.34, 'maxdiff_total': 48.23}",#52B974
MU01,12,10,1,1,Maruti Suzuki India,Maruti Suzuki,13257.00,365.00,2.83,17.2,auto-carsjeeps/marutisuzukiindia/MS24,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 13257, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 13350, 'percentages': 0.7, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 15545.6, 'percentages': 17.2, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 19000, 'percentages': 43.3, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 43.32, 'minRangePer': 1.61, 'maxRanegPer': 39.84, 'rangeDiffPer': 38.23, 'mindiff_total': 0.7, 'maxdiff_total': 17.26}",#52B974
BAF,6,4,2,0,Bajaj Finance,Bajaj Finance,930.00,6.35,0.69,396.1,finance-nbfc/bajajfinance/BAF,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 900, 'percentages': -3.2, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 930, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1044.1, 'percentages': 12.2, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 1150, 'percentages': 23.6, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 27.77, 'minRangePer': 11.99, 'maxRanegPer': 57.65, 'rangeDiffPer': 45.66, 'mindiff_total': 3.33, 'maxdiff_total': 16.01}",#52B974
TCS,11,9,1,1,Tata Consultancy Services,TCS,2474.70,30.00,1.23,59.1,computers-software/tataconsultancyservices/TCS,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 2474.7, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 3000, 'percentages': 21.2, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 3938.8, 'percentages': 59.1, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 4634, 'percentages': 87.2, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 87.25, 'minRangePer': 24.32, 'maxRanegPer': 67.8, 'rangeDiffPer': 43.48, 'mindiff_total': 21.22, 'maxdiff_total': 59.16}",#52B974
UTC,11,11,0,0,UltraTech Cement,UltraTechCement,11833.00,16.00,0.14,14.8,cement-major/ultratechcement/UTC01,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 11446, 'percentages': -3.2, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 11833, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 13594.2, 'percentages': 14.8, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 15210, 'percentages': 28.5, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 32.88, 'minRangePer': 10.27, 'maxRanegPer': 57.05, 'rangeDiffPer': 46.78, 'mindiff_total': 3.38, 'maxdiff_total': 18.76}",#52B974
PS15,10,7,0,3,Persistent Systems,Persistent,4805.80,2.30,0.05,24.6,computers-software/persistentsystems/PS15,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 4805.8, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 4900, 'percentages': 1.9, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 5989, 'percentages': 24.6, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 6600, 'percentages': 37.3, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 37.33, 'minRangePer': 5.25, 'maxRanegPer': 65.95, 'rangeDiffPer': 60.7, 'mindiff_total': 1.96, 'maxdiff_total': 24.62}",#52B974
HL,10,10,0,0,Hindustan Unilever,HUL,2314.40,24.90,1.09,19.9,personal-care/hindustanunilever/HU,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 2314.4, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 2609, 'percentages': 12.7, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 2776.6, 'percentages': 19.9, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 2910, 'percentages': 25.7, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 25.73, 'minRangePer': 49.43, 'maxRanegPer': 77.61, 'rangeDiffPer': 28.18, 'mindiff_total': 12.72, 'maxdiff_total': 19.97}",#52B974
HDF01,6,6,0,0,HDFC Bank,HDFC Bank,779.00,-3.55,-0.45,92.3,banks-private-sector/hdfcbank/HDF01,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 779, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 967, 'percentages': 24.1, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1043.3, 'percentages': 33.9, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 1100, 'percentages': 41.2, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 41.2, 'minRangePer': 58.56, 'maxRanegPer': 82.33, 'rangeDiffPer': 23.76, 'mindiff_total': 24.13, 'maxdiff_total': 33.92}",#52B974
C,10,8,1,1,Cipla,Cipla,1317.60,11.10,0.85,23.7,pharmaceuticals/cipla/C,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 1307, 'percentages': -0.8, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 1317.6, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1630.2, 'percentages': 23.7, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 1808, 'percentages': 37.2, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 38.33, 'minRangePer': 2.11, 'maxRanegPer': 64.49, 'rangeDiffPer': 62.38, 'mindiff_total': 0.81, 'maxdiff_total': 24.72}",#52B974
