MC_Code,shortName,StockName,open,high,low,currPrice,prevPrice,change,pChange,volume
H,HI,Hindalco,1101.2,1101.2,1057.6,1067.5,1103.3,-35.80,-3.24,6800905
NI,NI,Nestle,1459.6,1467.5,1427.5,1430.5,1459.6,-29.10,-1.99,3292954
TIS,TIS,Tata Steel,223.0,224.4,216.0,216.84,221.13,-4.29,-1.94,33231023
Z01,Z,Eternal,245.0,245.72,240.41,241.18,245.82,-4.64,-1.89,18279677
RI,RI,Reliance,1356.8,1364.8,1329.2,1336.4,1361.8,-25.40,-1.87,19976192
UTC,UTC01,UltraTechCement,11685.0,11730.0,11463.0,11487.0,11692.0,-205.00,-1.75,284388
SBI,SBI,SBI,971.2,972.5,957.0,963.2,979.9,-16.70,-1.70,26972493
MM,MM,M&M,3170.0,3188.9,3111.0,3123.1,3173.9,-50.80,-1.60,2196383
JVS,JSW01,JSW Steel,1314.0,1314.0,1274.2,1278.8,1296.9,-18.10,-1.40,3871553
BE03,BE03,Bharat Elec,428.85,429.5,422.2,423.65,428.85,-5.20,-1.21,7593616
LT,LT,Larsen,3949.4,3949.4,3893.0,3909.0,3940.4,-31.40,-0.80,1339185
UTI10,AB16,Axis Bank,1259.6,1263.4,1242.0,1244.8,1254.6,-9.80,-0.78,4805485
L,T04,Trent,4132.4,4144.4,4032.0,4101.3,4132.4,-31.10,-0.75,683781
BA06,BA10,Bajaj Auto,10500.0,10540.5,10296.0,10377.5,10451.0,-73.50,-0.70,227162
BF04,BF04,Bajaj Finserv,1735.1,1755.8,1721.9,1728.1,1740.2,-12.10,-0.70,2347840
API,AP31,Asian Paints,2622.2,2640.0,2592.8,2605.6,2622.2,-16.60,-0.63,796240
HSL01,HSL01,HDFC Life,616.5,618.95,605.45,608.7,612.55,-3.85,-0.63,2900528
ONG,ONG,ONGC,303.0,304.95,298.55,299.35,300.9,-1.55,-0.52,13695307
JFS,JFS,Jio Financial,234.9,235.95,232.59,233.06,234.13,-1.07,-0.46,10456724
AHE,AHE,Apollo Hospital,8170.0,8170.0,8028.5,8082.5,8119.0,-36.50,-0.45,300134
C,C,Cipla,1436.7,1444.5,1425.2,1432.1,1436.7,-4.60,-0.32,1138894
EM,EM,Eicher Motors,7030.0,7115.5,6975.0,7014.5,7034.0,-19.50,-0.28,313548
HDF01,HDF01,HDFC Bank,773.0,781.9,765.4,767.5,769.55,-2.05,-0.27,24347873
NTP,NTP,NTPC,396.0,398.0,392.5,395.25,396.3,-1.05,-0.26,7107857
BAF,BAF,Bajaj Finance,913.0,921.6,907.35,910.45,912.15,-1.70,-0.19,5012279
GI01,GI01,Grasim,2938.9,2968.4,2924.3,2933.8,2938.7,-4.90,-0.17,1586864
ICI02,ICI02,ICICI Bank,1246.6,1258.0,1242.0,1244.5,1246.0,-1.50,-0.12,11745614
SLI03,SLI03,SBI Life Insura,1866.7,1883.9,1850.0,1864.5,1866.7,-2.20,-0.12,851184
