MC_Code,shortName,StockName,open,high,low,currPrice,prevPrice,change,pChange,volume
HCL02,HCL02,HCL Tech,1135.0,1175.0,1134.0,1168.2,1134.2,34.00,3.00,5179529
TM4,TM4,Tech Mahindra,1398.5,1463.3,1398.5,1447.5,1406.5,41.00,2.92,4066916
IT,IT,Infosys,1040.6,1087.5,1040.6,1071.8,1042.2,29.60,2.84,18866296
TI01,TI01,Titan Company,4550.0,4655.9,4505.0,4604.2,4484.4,119.80,2.67,3385946
SLI03,SLI03,SBI Life Insura,1773.0,1848.0,1773.0,1832.3,1787.7,44.60,2.49,1702487
Z01,Z,Eternal,283.8,291.0,283.55,289.4,283.4,6.00,2.12,45305615
TCS,TCS,TCS,2050.0,2122.7,2049.0,2096.1,2057.6,38.50,1.87,4769048
HSL01,HSL01,HDFC Life,565.5,573.8,563.1,572.45,564.2,8.25,1.46,2585422
BAF,BAF,Bajaj Finance,1024.0,1052.9,1024.0,1042.5,1029.1,13.40,1.30,9101171
JFS,JFS,Jio Financial,239.95,245.25,239.45,243.07,240.0,3.07,1.28,23069644
EM,EM,Eicher Motors,7499.0,7603.0,7481.5,7536.0,7471.5,64.50,0.86,592213
BF04,BF04,Bajaj Finserv,1871.8,1899.0,1871.8,1885.3,1870.7,14.60,0.78,877577
BA06,BA10,Bajaj Auto,10040.0,10190.0,10020.5,10109.5,10036.5,73.00,0.73,172975
TT,TT,TATA Cons. Prod,1111.2,1130.0,1108.3,1125.0,1117.9,7.10,0.64,1423870
MU01,MS24,Maruti Suzuki,14463.0,14598.0,14414.0,14538.0,14456.0,82.00,0.57,524759
STF,STF,Shriram Finance,1070.0,1087.3,1058.7,1066.8,1062.3,4.50,0.42,8356697
HL,HU,HUL,2200.0,2219.4,2193.7,2208.8,2202.0,6.80,0.31,2552492
JVS,JSW01,JSW Steel,1236.0,1252.8,1221.2,1246.4,1243.2,3.20,0.26,2548642
ITC,ITC,ITC,288.3,290.7,286.55,288.75,288.25,0.50,0.17,18491160
ONG,ONG,ONGC,244.05,245.27,242.68,244.18,243.9,0.28,0.11,15287101
KMF,KMB,Kotak Mahindra,381.5,382.9,378.65,381.7,381.3,0.40,0.10,23216875
UTI10,AB16,Axis Bank,1346.8,1356.9,1336.2,1341.0,1339.6,1.40,0.10,6198988
SBI,SBI,SBI,1039.3,1049.6,1035.5,1038.1,1037.7,0.40,0.04,11053574
BTV,BA08,Bharti Airtel,1923.5,1956.5,1917.0,1925.8,1925.7,0.10,0.01,5767438
