scid,broker_count,buy_count,hold_count,sell_count,stkname,stockShortName,cmp,change,perChange,profitPotential,stk_url,exchange,targets,targetBarColor,targetPiceLineData,targetBarColorClass
GAC,5,4,1,0,Ambuja Cements,Ambuja Cements,435.90,-5.50,-1.25,22.9,cement-major/ambujacements/AC18,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 431, 'percentages': -1.1, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 435.9, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 536, 'percentages': 22.9, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 625, 'percentages': 43.3, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 45.01, 'minRangePer': 2.51, 'maxRanegPer': 54.12, 'rangeDiffPer': 51.61, 'mindiff_total': 1.13, 'maxdiff_total': 24.36}",#52B974
ITC,5,3,1,1,ITC,ITC,288.75,0.50,0.17,44.5,diversified/itc/ITC,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 288.75, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 300, 'percentages': 3.8, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 417.4, 'percentages': 44.5, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 505, 'percentages': 74.8, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 74.89, 'minRangePer': 5.19, 'maxRanegPer': 59.48, 'rangeDiffPer': 54.29, 'mindiff_total': 3.89, 'maxdiff_total': 44.55}",#52B974
PGC,5,4,1,0,Power Grid Corporation of India,Power Grid Corp,284.35,-1.05,-0.37,20.2,power-generationdistribution/powergridcorporationindia/PGC,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 284.35, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 302, 'percentages': 6.2, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 342, 'percentages': 20.2, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 360, 'percentages': 26.6, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 26.6, 'minRangePer': 23.3, 'maxRanegPer': 76.2, 'rangeDiffPer': 52.9, 'mindiff_total': 6.2, 'maxdiff_total': 20.27}",#52B974
GFI04,1,1,0,0,Go Fashion India,Go Fashion,348.10,-5.40,-1.53,168.1,retailing/gofashionindia/GFI04,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 348.1, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 450, 'percentages': 29.2, 'color': 'red'}, {'id': 'max_target_price', 'name': 'High', 'value': 450, 'percentages': 29.2, 'color': 'green'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 450, 'percentages': 29.2, 'color': 'blue'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 29.27, 'minRangePer': 100, 'maxRanegPer': 100, 'rangeDiffPer': 0, 'mindiff_total': 29.27, 'maxdiff_total': 29.27}",#52B974
KPITT54265,3,2,0,1,KPIT Technologies,KPIT Tech,562.40,4.40,0.79,106.1,it-servicesconsulting/kpittechnologies/KPITT54265,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 562.4, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 880, 'percentages': 56.4, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 966.6, 'percentages': 71.8, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 1050, 'percentages': 86.6, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 86.69, 'minRangePer': 65.14, 'maxRanegPer': 82.9, 'rangeDiffPer': 17.76, 'mindiff_total': 56.47, 'maxdiff_total': 71.87}",#52B974
TI01,5,3,1,1,Titan Company,Titan Company,4604.20,119.80,2.67,-7.4,miscellaneous/titancompany/TI01,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 3350, 'percentages': -27.2, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 4263.2, 'percentages': -7.4, 'color': 'blue'}, {'id': 'cmp', 'name': 'Current Price', 'value': 4604.2, 'percentages': '', 'color': 'white'}, {'id': 'max_target_price', 'name': 'High', 'value': 5250, 'percentages': 14, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'red', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 56.71, 'minRangePer': 48.05, 'maxRanegPer': 66, 'rangeDiffPer': 17.95, 'mindiff_total': 27.25, 'maxdiff_total': 37.43}",#E3515C
BC07,5,5,0,0,Birla Corporation,Birla Corp,968.05,-8.05,-0.82,57.4,cement-major/birlacorporation/BC07,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 968.05, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 1300, 'percentages': 34.2, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1524.2, 'percentages': 57.4, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 1650, 'percentages': 70.4, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 70.44, 'minRangePer': 48.67, 'maxRanegPer': 81.55, 'rangeDiffPer': 32.87, 'mindiff_total': 34.29, 'maxdiff_total': 57.45}",#52B974
HIE,2,1,1,0,HG Infra Engineering,HG Infra Eng,561.50,-7.85,-1.38,105.2,infrastructure/hginfraengineering/HIE,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 561.5, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 610, 'percentages': 8.6, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 640, 'percentages': 13.9, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 670, 'percentages': 19.3, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 19.32, 'minRangePer': 44.66, 'maxRanegPer': 72.36, 'rangeDiffPer': 27.7, 'mindiff_total': 8.63, 'maxdiff_total': 13.98}",#52B974
D05,5,5,0,0,Delhivery,Delhivery,517.90,-1.75,-0.34,5.4,courier-services/delhivery/D06,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 500, 'percentages': -3.4, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 517.9, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 546.2, 'percentages': 5.4, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 600, 'percentages': 15.8, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 19.99, 'minRangePer': 17.9, 'maxRanegPer': 46.22, 'rangeDiffPer': 28.32, 'mindiff_total': 3.58, 'maxdiff_total': 9.24}",#52B974
VTW,5,5,0,0,Va Tech Wabag,Va Tech Wabag,2203.20,147.90,7.20,-16.9,infrastructure/vatechwabag/VTW,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 1770, 'percentages': -19.6, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1829, 'percentages': -16.9, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 1900, 'percentages': -13.7, 'color': 'green'}, {'id': 'cmp', 'name': 'Current Price', 'value': 2203.2, 'percentages': '', 'color': 'white'}]","{'background': 'grey', 'position': 'right', 'color': 'red', 'colorFillPercentages': 75, 'greyLeftPercentage': 25, 'greyRightPercentage': 0}","{'totalPercentages': 24.47, 'minRangePer': 13.6, 'maxRanegPer': 29.99, 'rangeDiffPer': 16.39, 'mindiff_total': 3.33, 'maxdiff_total': 7.34}",#E3515C
