MC_Code,shortName,StockName,open,high,low,currPrice,prevPrice,change,pChange,volume
AE01,AE13,Adani Enterpris,2530.1,2720.0,2530.0,2712.9,2498.0,214.90,8.60,9539233
C,C,Cipla,1362.2,1442.0,1362.2,1436.7,1327.6,109.10,8.22,9166941
BTV,BA08,Bharti Airtel,1820.0,1889.2,1797.3,1883.5,1789.2,94.30,5.27,21279151
Z01,Z,Eternal,239.49,246.55,237.8,245.82,237.82,8.00,3.36,29973731
DRL,DRL,Dr Reddys Labs,1265.3,1307.7,1255.0,1303.6,1265.3,38.30,3.03,2362951
H,HI,Hindalco,1083.9,1105.0,1080.9,1103.3,1073.1,30.20,2.81,4920811
HDF01,HDF01,HDFC Bank,751.0,778.3,747.0,769.55,749.6,19.95,2.66,50992358
MHI,MHI,Max Healthcare,1025.2,1057.7,1025.15,1049.55,1026.1,23.45,2.29,1822137
SPI,SPI,Sun Pharma,1852.0,1867.5,1829.7,1863.2,1824.8,38.40,2.10,2429220
MPS,MPS,Adani Ports,1761.0,1782.5,1745.4,1773.4,1737.8,35.60,2.05,3051398
MM,MM,M&M,3137.0,3181.0,3101.1,3173.9,3111.8,62.10,2.00,2167959
BA06,BA10,Bajaj Auto,10380.0,10517.0,10251.5,10451.0,10262.0,189.00,1.84,426187
BAF,BAF,Bajaj Finance,902.9,915.0,889.0,912.15,896.15,16.00,1.79,6815238
JVS,JSW01,JSW Steel,1287.9,1306.0,1281.9,1296.9,1274.9,22.00,1.73,3292597
HSL01,HSL01,HDFC Life,603.85,614.5,602.5,612.55,602.8,9.75,1.62,3120476
SLI03,SLI03,SBI Life Insura,1831.0,1870.0,1825.0,1866.7,1837.5,29.20,1.59,765124
STF,STF,Shriram Finance,929.9,941.65,901.3,935.1,920.55,14.55,1.58,9220462
NTP,NTP,NTPC,393.7,398.55,391.2,396.3,390.45,5.85,1.50,7363948
KMF,KMB,Kotak Mahindra,378.0,385.0,375.6,383.2,377.65,5.55,1.47,10652514
AHE,AHE,Apollo Hospital,8011.0,8180.0,8011.0,8119.0,8004.5,114.50,1.43,431011
ONG,ONG,ONGC,300.0,303.7,298.7,300.9,297.15,3.75,1.26,22660293
L,T04,Trent,4099.2,4166.5,4099.2,4132.4,4084.5,47.90,1.17,670805
JFS,JFS,Jio Financial,233.0,235.0,228.41,234.13,231.45,2.68,1.16,16545557
TI01,TI01,Titan Company,4115.0,4147.0,4059.1,4135.2,4090.7,44.50,1.09,1127140
UTC,UTC01,UltraTechCement,11600.0,11769.0,11550.0,11692.0,11573.0,119.00,1.03,220410
SBI,SBI,SBI,973.5,987.0,963.6,979.9,970.1,9.80,1.01,16487142
ITC,ITC,ITC,305.0,309.2,304.85,307.2,304.45,2.75,0.90,11113377
EM,EM,Eicher Motors,7000.0,7102.0,6842.5,7034.0,6971.5,62.50,0.90,447978
ICI02,ICI02,ICICI Bank,1239.1,1256.7,1236.0,1246.0,1235.6,10.40,0.84,16535600
TIS,TIS,Tata Steel,222.3,222.9,219.02,221.13,219.62,1.51,0.69,34985006
BF04,BF04,Bajaj Finserv,1735.1,1743.0,1713.3,1740.2,1728.9,11.30,0.65,2086133
LT,LT,Larsen,3942.0,3988.0,3925.0,3940.4,3915.8,24.60,0.63,2982228
IA05,IA04,Interglobe Avi,4261.9,4313.0,4193.6,4280.5,4255.8,24.70,0.58,743734
TEL,TM03,TMPV,340.05,340.6,333.65,338.75,336.85,1.90,0.56,7975089
W,W,Wipro,188.25,190.18,187.0,188.3,187.8,0.50,0.27,18280387
RI,RI,Reliance,1365.2,1378.0,1358.4,1361.8,1358.8,3.00,0.22,17303059
API,AP31,Asian Paints,2620.0,2665.7,2610.0,2622.2,2617.6,4.60,0.18,1040916
BE03,BE03,Bharat Elec,431.0,435.15,424.45,428.85,428.25,0.60,0.14,9807792
PGC,PGC,Power Grid Corp,306.0,307.55,300.6,301.75,301.5,0.25,0.08,14012601
