MC_Code,shortName,StockName,nsCode,currPrice,prevPrice,change,pChange,volume,open,high,low
,PCJEWELLER,PCJEWELLER,PCJEWELLER,9.48,10.3,-0.82,-7.96,378857234,10.45,10.46,9.32
,IDEA,IDEA,IDEA,14.09,14.25,-0.16,-1.12,281320127,14.22,14.54,14.05
,MOTISONS,MOTISONS,MOTISONS,15.03,14.17,0.86,6.07,148873074,14.27,15.56,14.1
,OLAELEC,OLAELEC,OLAELEC,42.18,44.48,-2.3,-5.17,116976428,44.1,44.31,41.55
,VOGL,VOGL,VOGL,38.7,42.79,-4.09,-9.56,112664339,41.01,41.8,38.25
,VISL,VISL,VISL,38.5,40.52,-2.02,-4.99,111514558,40.0,40.0,38.5
,YESBANK,YESBANK,YESBANK,24.28,24.39,-0.11,-0.45,73317092,24.64,24.79,24.19
,SUZLON,SUZLON,SUZLON,55.38,56.87,-1.49,-2.62,73062543,56.87,57.1,55.01
,DIGITIDE,DIGITIDE,DIGITIDE,119.5,102.22,17.28,16.9,70931051,105.0,122.66,104.3
,CUPID,CUPID,CUPID,213.99,198.84,15.15,7.62,65084299,200.26,214.0,200.25
,HDFCBANK,HDFCBANK,HDFCBANK,828.0,801.05,26.95,3.36,63203327,805.0,831.5,805.0
,VEDPOWER,VEDPOWER,VEDPOWER,42.98,45.71,-2.73,-5.97,55423682,45.49,46.31,42.71
,ADANIPOWER,ADANIPOWER,ADANIPOWER,220.1,221.79,-1.69,-0.76,52966812,222.8,226.12,218.1
,TATAGOLD,TATAGOLD,TATAGOLD,14.06,14.13,-0.07,-0.5,46153364,14.13,14.37,14.02
,MUNJALAU,MUNJALAU,MUNJALAU,108.0,99.39,8.61,8.66,42418989,99.39,114.99,97.61
,TATSILV,TATSILV,TATSILV,22.4,22.46,-0.06,-0.27,41339571,22.46,22.74,22.01
,LIQUIDCASE,LIQUIDCASE,LIQUIDCASE,114.87,114.85,0.02,0.02,35029041,114.86,114.88,114.85
,JPPOWER,JPPOWER,JPPOWER,17.67,17.8,-0.13,-0.73,34508588,17.86,17.97,17.61
,KOTAKBANK,KOTAKBANK,KOTAKBANK,381.25,396.75,-15.5,-3.91,34164881,389.75,389.75,380.7
,IRB,IRB,IRB,20.69,21.3,-0.61,-2.86,32688489,21.4,21.42,20.62
