MC_Code,shortName,StockName,nsCode,currPrice,prevPrice,change,pChange,volume,open,high,low
,IDEA,IDEA,IDEA,14.89,15.01,-0.12,-0.8,416172167,14.98,15.16,14.83
,IFCI,IFCI,IFCI,85.95,82.31,3.64,4.42,205777880,82.8,87.98,82.7
,TATSILV,TATSILV,TATSILV,22.47,23.34,-0.87,-3.73,168073739,23.0,23.0,21.91
,SUZLON,SUZLON,SUZLON,59.3,58.44,0.86,1.47,139917727,58.44,60.45,58.21
,YESBANK,YESBANK,YESBANK,25.42,25.48,-0.06,-0.24,132491220,25.43,25.6,25.25
,NIACL,NIACL,NIACL,200.9,178.67,22.23,12.44,119622490,180.0,206.6,179.41
,OLAELEC,OLAELEC,OLAELEC,42.41,42.27,0.14,0.33,109127303,42.03,42.9,41.05
,VOGL,VOGL,VOGL,32.88,31.32,1.56,4.98,0,31.0,32.88,30.42
,GROWW,GROWW,GROWW,199.05,200.54,-1.49,-0.74,92308697,201.1,202.84,197.65
,ITBEES,ITBEES,ITBEES,30.48,31.62,-1.14,-3.61,89400734,30.48,31.0,29.66
,TATAGOLD,TATAGOLD,TATAGOLD,14.1,14.34,-0.24,-1.67,83916027,14.34,14.34,13.92
,VISL,VISL,VISL,25.57,24.36,1.21,4.97,0,24.45,25.57,23.26
,RBA,RBA,RBA,73.99,69.69,4.3,6.17,77847711,69.89,78.8,69.3
,ZEEL,ZEEL,ZEEL,113.59,111.78,1.81,1.62,75042015,112.0,117.79,110.66
,MEESHO,MEESHO,MEESHO,177.0,170.72,6.28,3.68,71815467,170.72,179.3,165.05
,BHARATCOAL,BHARATCOAL,BHARATCOAL,42.3,42.55,-0.25,-0.59,71566271,42.47,43.76,41.85
,SILVERBEES,SILVERBEES,SILVERBEES,221.6,229.99,-8.39,-3.65,69714932,219.44,222.35,216.02
,MCLOUD,MCLOUD,MCLOUD,29.4,31.53,-2.13,-6.76,61411454,32.29,34.29,28.61
,SBC,SBC,SBC,44.0,39.88,4.12,10.33,59439267,40.3,45.0,40.1
,HCC,HCC,HCC,27.03,27.35,-0.32,-1.17,57016131,27.34,27.68,26.71
