MC_Code,shortName,StockName,open,high,low,currPrice,prevPrice,change,pChange,volume
L,T04,Trent,4150.0,4277.0,4127.7,4242.8,4107.7,135.10,3.29,2228155
JVS,JSW01,JSW Steel,1241.1,1279.0,1233.0,1274.5,1240.3,34.20,2.76,4606071
SBI,SBI,SBI,1080.3,1120.95,1075.85,1107.85,1080.25,27.60,2.55,31179584
API,AP31,Asian Paints,2470.0,2523.8,2456.5,2516.8,2464.0,52.80,2.14,1203157
GI01,GI01,Grasim,2730.5,2771.9,2697.3,2760.1,2720.5,39.60,1.46,702964
NTP,NTP,NTPC,393.0,400.85,390.65,398.0,393.6,4.40,1.12,9895187
BAF,BAF,Bajaj Finance,908.25,920.9,898.0,917.75,908.25,9.50,1.05,6184179
Z01,Z,Eternal,251.85,257.95,248.11,254.88,252.61,2.27,0.90,39283935
IA05,IA04,Interglobe Avi,4635.0,4698.0,4576.7,4678.2,4638.4,39.80,0.86,1026819
STF,STF,Shriram Finance,1040.0,1049.95,1026.0,1045.15,1036.95,8.20,0.79,4670588
EM,EM,Eicher Motors,7160.5,7264.0,7115.0,7243.0,7189.5,53.50,0.74,695282
ICI02,ICI02,ICICI Bank,1364.7,1376.4,1353.0,1356.2,1346.8,9.40,0.70,21551520
CI29,CI11,Coal India,438.6,443.7,433.3,441.75,438.75,3.00,0.68,8090840
MM,MM,M&M,3207.0,3235.5,3162.6,3221.6,3200.2,21.40,0.67,3201466
TT,TT,TATA Cons. Prod,1113.2,1129.5,1106.7,1120.4,1113.2,7.20,0.65,1132404
SLI03,SLI03,SBI Life Insura,1976.3,1989.6,1956.6,1982.5,1970.9,11.60,0.59,1033871
AE01,AE13,Adani Enterpris,2218.3,2280.1,2202.2,2229.6,2218.3,11.30,0.51,1795338
PGC,PGC,Power Grid Corp,319.0,323.05,315.55,319.7,318.1,1.60,0.50,10955277
MHI,MHI,Max Healthcare,1005.15,1022.0,1002.05,1011.35,1007.65,3.70,0.37,2301160
MPS,MPS,Adani Ports,1572.4,1600.5,1566.1,1578.4,1573.4,5.00,0.32,2998603
BA06,BA10,Bajaj Auto,9773.5,9862.5,9690.0,9803.0,9773.5,29.50,0.30,349985
UTC,UTC01,UltraTechCement,11970.0,12062.0,11816.0,11917.0,11886.0,31.00,0.26,335624
NI,NI,Nestle,1294.0,1294.3,1274.6,1286.4,1285.6,0.80,0.06,1156327
