id,organization,entry_date,heading,attachment,creation_date,recommend_date,target_price_date,target_price_date_epoch,target_price,recommended_price,scid,stkname,stockShortName,cmp,change,perChange,current_returns,potential_returns_per,exchange,recommended_price_falg,target_price_flag,stock_data,stk_url,recommend_flag
13824084,Motilal Oswal,2026-02-11,Neutral Sun TV Network; target of Rs 580: Motilal Oswal,https://images.moneycontrol.com/static-mcnews/2026/02/20260211163852_Sun-TV-Network_10022026_Motilal-Oswal.pdf,20260211221010,"February 08, 2026",2026-02-08,20260208,580,537.25,STV01,Sun TV Network,Sun TV Network,648.45,5.20,0.81,20.6,-10.5,N,,,"{'current': {'recommend_flag': 'N', 'target_price': '580', 'target_price_date': '08/02/2026', 'P_ORGANIZATION': 'Motilal Oswal'}, 'previous': []}",mediaentertainment/suntvnetwork/STN01,HOLD
13824083,Motilal Oswal,2026-02-11,Neutral Siemens; target of Rs 3150: Motilal Oswal,https://images.moneycontrol.com/static-mcnews/2026/02/20260211163828_Siemens_10022026_Motilal-Oswal.pdf,20260211221007,"February 07, 2026",2026-02-07,20260207,3150,3177.2,S,Siemens,Siemens,3709.00,1.10,0.03,16.7,-15.0,N,,,"{'current': {'recommend_flag': 'N', 'target_price': '3150', 'target_price_date': '07/02/2026', 'P_ORGANIZATION': 'Motilal Oswal'}, 'previous': []}",infrastructure-general/siemens/S,HOLD
13824082,Motilal Oswal,2026-02-11,Neutral Shree Cement; target of Rs 28000: Motilal Oswal,https://images.moneycontrol.com/static-mcnews/2026/02/20260211163805_Shree-Cement_10022026_Motilal-Oswal.pdf,20260211221004,"February 07, 2026",2026-02-07,20260207,28000,27346.35,SC12,Shree Cements,Shree Cements,25490.00,200.00,0.79,-6.7,9.8,N,,,"{'current': {'recommend_flag': 'N', 'target_price': '28000', 'target_price_date': '07/02/2026', 'P_ORGANIZATION': 'Motilal Oswal'}, 'previous': []}",cement-major/shreecements/SC12,HOLD
13824081,Motilal Oswal,2026-02-11,Neutral Repco Home Finance; target of Rs 450: Motilal Oswal,https://images.moneycontrol.com/static-mcnews/2026/02/20260211163737_Repco-Home-Finance_10022026_Motilal-Oswal.pdf,20260211221001,"February 07, 2026",2026-02-07,20260207,450,402.9,RHF01,Repco Home Finance,Repco Home,403.65,3.60,0.90,0.1,11.4,N,,,"{'current': {'recommend_flag': 'N', 'target_price': '450', 'target_price_date': '07/02/2026', 'P_ORGANIZATION': 'Motilal Oswal'}, 'previous': []}",finance-housing/repcohomefinance/RHF,HOLD
13824080,Motilal Oswal,2026-02-11,Neutral KNR Constructions; target of Rs 160: Motilal Oswal,https://images.moneycontrol.com/static-mcnews/2026/02/20260211163710_KNR-Constructions_10022026_Motilal-Oswal.pdf,20260211220958,"February 06, 2026",2026-02-06,20260206,160,150.75,KC13,KNR Constructions,KNR Construct,120.96,-2.96,-2.39,-19.7,32.2,N,,,"{'current': {'recommend_flag': 'N', 'target_price': '160', 'target_price_date': '06/02/2026', 'P_ORGANIZATION': 'Motilal Oswal'}, 'previous': []}",constructioncontracting-civil/knrconstructions/KC13,HOLD
13824079,Motilal Oswal,2026-02-11,Neutral Data Patterns India; target of Rs 3000: Motilal Oswal,https://images.moneycontrol.com/static-mcnews/2026/02/20260211163429_Data-Patterns-India_10022026_Motilal-Oswal.pdf,20260211220955,"February 06, 2026",2026-02-06,20260206,3000,2723.2,DPI01,Data Patterns (India),Data Patterns,3467.60,-26.60,-0.76,27.3,-13.4,N,,,"{'current': {'recommend_flag': 'N', 'target_price': '3000', 'target_price_date': '06/02/2026', 'P_ORGANIZATION': 'Motilal Oswal'}, 'previous': []}",aerospacedefence/datapatternsindia/DPI01,HOLD
13824078,Motilal Oswal,2026-02-11,Neutral Aditya Birla Fashion and Retail; target of Rs 75: Motilal Oswal,https://images.moneycontrol.com/static-mcnews/2026/02/20260211163354_Aditya-Birla-Fashion-and-Retail_10022026_Motilal-Oswal.pdf,20260211220952,"February 08, 2026",2026-02-08,20260208,75,9.6,ABF,Aditya Birla Fashion & Retail - RE,AB Fashion RE,9.60,0.00,0.00,0.0,681.2,N,,,"{'current': {'recommend_flag': 'N', 'target_price': '75', 'target_price_date': '08/02/2026', 'P_ORGANIZATION': 'Motilal Oswal'}, 'previous': []}",,HOLD
13823559,Motilal Oswal,2026-02-11,Buy VRL Logistics; target of Rs 350: Motilal Oswal,https://images.moneycontrol.com/static-mcnews/2026/02/20260211085358_VRL-Logistics_10022026_Motilal-Oswal.pdf,20260211142447,"February 06, 2026",2026-02-06,20260206,350,285.15,VL08,VRL Logistics,VRL Logistics,260.95,-0.64,-0.24,-8.4,34.1,N,,,"{'current': {'recommend_flag': 'B', 'target_price': '350', 'target_price_date': '06/02/2026', 'P_ORGANIZATION': 'Motilal Oswal'}, 'previous': []}",transportlogistics/vrllogistics/VL03,BUY
13823558,Motilal Oswal,2026-02-11,Buy VA Tech Wabag; target of Rs 1900: Motilal Oswal,https://images.moneycontrol.com/static-mcnews/2026/02/20260211085321_VA-Tech-Wabag_10022026_Motilal-Oswal.pdf,20260211142444,"February 06, 2026",2026-02-06,20260206,1900,1214.3,VTW,Va Tech Wabag,Va Tech Wabag,1423.30,33.80,2.43,17.2,33.4,N,,,"{'current': {'recommend_flag': 'B', 'target_price': '1900', 'target_price_date': '06/02/2026', 'P_ORGANIZATION': 'Motilal Oswal'}, 'previous': []}",infrastructure/vatechwabag/VTW,BUY
13823557,Motilal Oswal,2026-02-11,Buy Tata Steel; target of Rs 240: Motilal Oswal,https://images.moneycontrol.com/static-mcnews/2026/02/20260211085303_Tata-Steel_10022026_Motilal-Oswal.pdf,20260211142440,"February 07, 2026",2026-02-07,20260207,240,197.05,TIS,Tata Steel,Tata Steel,211.72,-0.40,-0.19,7.4,13.3,N,,,"{'current': {'recommend_flag': 'B', 'target_price': '240', 'target_price_date': '07/02/2026', 'P_ORGANIZATION': 'Motilal Oswal'}, 'previous': []}",ironsteel/tatasteel/TIS,BUY
13787706,Prabhudas Lilladher,2026-01-23,Accumulate Hindustan Petroleum Corporation; target of Rs 457: Prabhudas Lilladher,https://images.moneycontrol.com/static-mcnews/2026/01/20260123061029_Hindustan-Petroleum-Corporation-2301026-prabhu.pdf,20260123114111,"January 23, 2026",2026-01-23,20260123,457,415.3,HPC,Hindustan Petroleum Corporation,HINDPETRO,379.50,8.65,2.33,-8.6,20.4,N,,,"{'current': {'recommend_flag': 'A', 'target_price': '457', 'target_price_date': '23/01/2026', 'P_ORGANIZATION': 'Prabhudas Lilladher'}, 'previous': []}",refineries/hindustanpetroleumcorporation/HPC,BUY
