scid,broker_count,buy_count,hold_count,sell_count,brokers,stkname,stockShortName,cmp,change,perChange,profitPotential,stk_url,exchange,targets,targetBarColor,targetPiceLineData,targetBarColorClass
GREEN54285,4,3,1,0,"[{'name': 'Prabhudas Lilladher', 'target_price': 369}, {'name': 'Anand Rathi', 'target_price': 326}, {'name': 'ICICI Securities', 'target_price': 266}, {'name': 'AnandRathi', 'target_price': 469}]",Greenpanel Industries Limited,Greenpanel Ind,212.22,-2.36,-1.10,68.4,woodwood-products/greenpanelindustrieslimited/GREEN54285,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 212.22, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 266, 'percentages': 25.3, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 357.5, 'percentages': 68.4, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 469, 'percentages': 120.9, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 120.99, 'minRangePer': 20.94, 'maxRanegPer': 56.57, 'rangeDiffPer': 35.62, 'mindiff_total': 25.34, 'maxdiff_total': 68.45}",#52B974
HPC,4,4,0,0,"[{'name': 'ICICI Securities', 'target_price': 630}, {'name': 'Prabhudas Lilladher', 'target_price': 457}, {'name': 'Motilal Oswal', 'target_price': 590}, {'name': 'Emkay Global Financial Services', 'target_price': 500}]",Hindustan Petroleum Corporation,HINDPETRO,379.50,8.65,2.33,43.4,refineries/hindustanpetroleumcorporation/HPC,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 379.5, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 457, 'percentages': 20.4, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 544.25, 'percentages': 43.4, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 630, 'percentages': 66, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 66, 'minRangePer': 30.93, 'maxRanegPer': 65.77, 'rangeDiffPer': 34.83, 'mindiff_total': 20.42, 'maxdiff_total': 43.41}",#52B974
RK01,4,4,0,0,"[{'name': 'Mirae Asset Sharekhan', 'target_price': 3428}, {'name': 'Motilal Oswal', 'target_price': 3250}, {'name': 'Sharekhan', 'target_price': 3090}, {'name': 'ICICI Securities', 'target_price': 3050}]",Radico Khaitan,Radico Khaitan,3340.10,153.20,4.81,-4.0,breweriesdistilleries/radicokhaitan/RK01,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 3050, 'percentages': -8.6, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 3204.5, 'percentages': -4, 'color': 'blue'}, {'id': 'cmp', 'name': 'Current Price', 'value': 3340.1, 'percentages': '', 'color': 'white'}, {'id': 'max_target_price', 'name': 'High', 'value': 3428, 'percentages': 2.6, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'red', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 12.39, 'minRangePer': 40.83, 'maxRanegPer': 76.75, 'rangeDiffPer': 35.92, 'mindiff_total': 5.06, 'maxdiff_total': 9.51}",#E3515C
PNB05,4,4,0,0,"[{'name': 'Motilal Oswal', 'target_price': 145}, {'name': 'Geojit Financial Services', 'target_price': 126}, {'name': 'Emkay Global Financial Services', 'target_price': 125}, {'name': 'Sharekhan', 'target_price': 125}]",Punjab National Bank,PNB,113.74,-0.74,-0.65,14.5,banks-public-sector/punjabnationalbank/PNB05,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 113.74, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 125, 'percentages': 9.8, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 130.25, 'percentages': 14.5, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 145, 'percentages': 27.4, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 27.48, 'minRangePer': 35.98, 'maxRanegPer': 52.8, 'rangeDiffPer': 16.82, 'mindiff_total': 9.89, 'maxdiff_total': 14.51}",#52B974
LFH,4,4,0,0,"[{'name': 'Motilal Oswal', 'target_price': 260}, {'name': 'Emkay Global Financial Services', 'target_price': 190}, {'name': 'ICICI Securities', 'target_price': 205}, {'name': 'Geojit Financial Services', 'target_price': 160}]",L&T Finance,L&T Finance,290.15,3.01,1.05,-29.7,finance-nbfc/ltfinance/LFH,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 160, 'percentages': -44.8, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 203.75, 'percentages': -29.7, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 260, 'percentages': -10.3, 'color': 'green'}, {'id': 'cmp', 'name': 'Current Price', 'value': 290.15, 'percentages': '', 'color': 'white'}]","{'background': 'grey', 'position': 'right', 'color': 'red', 'colorFillPercentages': 75, 'greyLeftPercentage': 25, 'greyRightPercentage': 0}","{'totalPercentages': 81.34, 'minRangePer': 33.61, 'maxRanegPer': 76.83, 'rangeDiffPer': 43.22, 'mindiff_total': 27.34, 'maxdiff_total': 62.5}",#E3515C
UBI01,4,2,1,1,"[{'name': 'Anand Rathi', 'target_price': 208}, {'name': 'Motilal Oswal', 'target_price': 180}, {'name': 'Emkay Global Financial Services', 'target_price': 160}, {'name': 'Prabhudas Lilladher', 'target_price': 160}]",Union Bank of India,Union Bank,189.29,0.38,0.20,-6.4,banks-public-sector/unionbankindia/UBI01,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 160, 'percentages': -15.4, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 177, 'percentages': -6.4, 'color': 'blue'}, {'id': 'cmp', 'name': 'Current Price', 'value': 189.29, 'percentages': '', 'color': 'white'}, {'id': 'max_target_price', 'name': 'High', 'value': 208, 'percentages': 9.8, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'red', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 30, 'minRangePer': 35.4, 'maxRanegPer': 61, 'rangeDiffPer': 25.6, 'mindiff_total': 10.62, 'maxdiff_total': 18.3}",#E3515C
ABB,4,2,1,1,"[{'name': 'Emkay Global Financial Services', 'target_price': 6400}, {'name': 'Motilal Oswal', 'target_price': 6600}, {'name': 'Prabhudas Lilladher', 'target_price': 6319}, {'name': 'ICICI Securities', 'target_price': 4850}]",ABB India,ABB India,7158.00,128.50,1.83,-15.5,infrastructure-general/abbindia/ABB,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 4850, 'percentages': -32.2, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 6042.25, 'percentages': -15.5, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 6600, 'percentages': -7.7, 'color': 'green'}, {'id': 'cmp', 'name': 'Current Price', 'value': 7158, 'percentages': '', 'color': 'white'}]","{'background': 'grey', 'position': 'right', 'color': 'red', 'colorFillPercentages': 75, 'greyLeftPercentage': 25, 'greyRightPercentage': 0}","{'totalPercentages': 47.58, 'minRangePer': 51.66, 'maxRanegPer': 75.83, 'rangeDiffPer': 24.17, 'mindiff_total': 24.58, 'maxdiff_total': 36.08}",#E3515C
AP22,4,2,0,2,"[{'name': 'Motilal Oswal', 'target_price': 3400}, {'name': 'Prabhudas Lilladher', 'target_price': 3200}, {'name': 'Choice Equity Broking', 'target_price': 2450}, {'name': 'ICICI Securities', 'target_price': 2500}]",Ajanta Pharma,Ajanta Pharma,2781.30,-8.90,-0.32,3.8,pharmaceuticals/ajantapharma/AP22,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 2450, 'percentages': -11.9, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 2781.3, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 2887.5, 'percentages': 3.8, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 3400, 'percentages': 22.2, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 38.77, 'minRangePer': 34.87, 'maxRanegPer': 46.04, 'rangeDiffPer': 11.17, 'mindiff_total': 13.52, 'maxdiff_total': 17.85}",#52B974
RB04,4,3,1,0,"[{'name': 'Deven Choksey', 'target_price': 637}, {'name': 'KRChoksey', 'target_price': 1034}, {'name': 'Anand Rathi', 'target_price': 1085}, {'name': 'ICICI Securities', 'target_price': 830}]",Rossari Biotech,Rossari,496.40,-7.85,-1.56,80.6,speciality-chemicals/rossaribiotech/RB05,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 496.4, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 637, 'percentages': 28.3, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 896.5, 'percentages': 80.6, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 1085, 'percentages': 118.5, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 118.57, 'minRangePer': 23.88, 'maxRanegPer': 67.97, 'rangeDiffPer': 44.09, 'mindiff_total': 28.32, 'maxdiff_total': 80.6}",#52B974
ILG,4,3,0,1,"[{'name': 'ICICI Securities', 'target_price': 2250}, {'name': 'Motilal Oswal', 'target_price': 2230}, {'name': 'Sharekhan', 'target_price': 2300}, {'name': 'Emkay Global Financial Services', 'target_price': 2000}]",ICICI Lombard General Insurance Company,ICICI Lombard ,1876.50,-15.10,-0.80,16.9,multiline-insurancebrokers/icicilombardgeneralinsurancecompany/ILG,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 1876.5, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 2000, 'percentages': 6.5, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 2195, 'percentages': 16.9, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 2300, 'percentages': 22.5, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 22.56, 'minRangePer': 29.16, 'maxRanegPer': 75.22, 'rangeDiffPer': 46.06, 'mindiff_total': 6.58, 'maxdiff_total': 16.97}",#52B974
