MC_Code,shortName,StockName,nsCode,currPrice,prevPrice,change,pChange,volume,open,high,low
,IDEA,IDEA,IDEA,14.99,14.85,0.14,0.94,860152052,14.9,15.19,14.88
,OLAELEC,OLAELEC,OLAELEC,43.06,43.74,-0.68,-1.55,251627228,43.49,45.5,42.82
,GTLINFRA,GTLINFRA,GTLINFRA,1.59,1.48,0.11,7.43,245049750,1.49,1.62,1.48
,IFCI,IFCI,IFCI,81.93,80.42,1.51,1.88,202071793,81.0,83.44,78.13
,SUZLON,SUZLON,SUZLON,55.47,54.4,1.07,1.97,119119491,54.25,56.0,54.03
,JPPOWER,JPPOWER,JPPOWER,19.05,19.33,-0.28,-1.45,114699428,19.15,19.55,18.94
,KWIL,KWIL,KWIL,36.07,30.59,5.48,17.91,113585178,30.74,36.38,30.29
,BHARATCOAL,BHARATCOAL,BHARATCOAL,41.68,38.74,2.94,7.59,111135933,38.45,42.0,38.45
,NHPC,NHPC,NHPC,76.09,75.1,0.99,1.32,103835465,74.33,76.69,74.26
,ZEEL,ZEEL,ZEEL,106.4,94.5,11.9,12.59,80466080,94.0,107.5,93.51
,HFCL,HFCL,HFCL,197.49,199.41,-1.92,-0.96,78777077,200.0,208.98,193.66
,PWL,PWL,PWL,106.45,92.04,14.41,15.66,77354358,91.0,108.44,89.8
,YESBANK,YESBANK,YESBANK,22.8,22.93,-0.13,-0.57,77191326,22.7,23.02,22.67
,EASEMYTRIP,EASEMYTRIP,EASEMYTRIP,6.65,6.9,-0.25,-3.62,72338135,6.93,7.08,6.6
,SEPC,SEPC,SEPC,6.93,7.0,-0.07,-1.0,68055162,6.98,7.28,6.8
,DHARAN,DHARAN,DHARAN,0.17,0.16,0.01,6.25,0,0.17,0.17,0.16
,PCJEWELLER,PCJEWELLER,PCJEWELLER,9.24,9.11,0.13,1.43,62408157,9.09,9.5,9.08
,HCC,HCC,HCC,23.9,23.51,0.39,1.66,61709512,23.35,24.5,23.25
,FILATFASH,FILATFASH,FILATFASH,0.21,0.22,-0.01,-4.55,0,0.21,0.22,0.21
,TEJASNET,TEJASNET,TEJASNET,603.0,569.25,33.75,5.93,46078716,568.9,629.45,564.0
