scid,broker_count,buy_count,hold_count,sell_count,stkname,stockShortName,cmp,change,perChange,profitPotential,stk_url,exchange,targets,targetBarColor,targetPiceLineData,targetBarColorClass,min_target_price,max_target_price,avg_target_price,total_target_price,brokers
UTI10,11,10,1,0,Axis Bank,Axis Bank,1246.00,7.50,0.61,17.2,banks-private-sector/axisbank/AB16,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 1246, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 1270, 'percentages': 1.9, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1461.5, 'percentages': 17.2, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 1622, 'percentages': 30.1, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 30.17, 'minRangePer': 6.36, 'maxRanegPer': 57.3, 'rangeDiffPer': 50.94, 'mindiff_total': 1.92, 'maxdiff_total': 17.29}",#52B974,,,,,
IT,9,8,0,1,Infosys,Infosys,1036.50,1.50,0.14,44.6,computers-software/infosys/IT,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 940, 'percentages': -9.3, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 1036.5, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1426.6, 'percentages': 37.6, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 1830, 'percentages': 76.5, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 94.68, 'minRangePer': 10.83, 'maxRanegPer': 54.66, 'rangeDiffPer': 43.83, 'mindiff_total': 10.26, 'maxdiff_total': 51.76}",#52B974,,,,,
MU01,10,9,0,1,Maruti Suzuki India,Maruti Suzuki,12590.00,-28.00,-0.22,26.8,auto-carsjeeps/marutisuzukiindia/MS24,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 12590, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 13350, 'percentages': 6, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 15967.6, 'percentages': 26.8, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 19000, 'percentages': 50.9, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 50.91, 'minRangePer': 11.84, 'maxRanegPer': 52.68, 'rangeDiffPer': 40.84, 'mindiff_total': 6.03, 'maxdiff_total': 26.82}",#52B974,,,,,
HDF01,6,6,0,0,HDFC Bank,HDFC Bank,693.80,6.70,0.98,101.1,banks-private-sector/hdfcbank/HDF01,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 693.8, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 920, 'percentages': 32.6, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 961.8, 'percentages': 38.6, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 1011, 'percentages': 45.7, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 45.71, 'minRangePer': 71.31, 'maxRanegPer': 84.48, 'rangeDiffPer': 13.17, 'mindiff_total': 32.6, 'maxdiff_total': 38.62}",#52B974,,,,,
PS15,9,7,1,1,Persistent Systems,Persistent,5509.50,90.50,1.67,7.6,computers-software/persistentsystems/PS15,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 5000, 'percentages': -9.2, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 5509.5, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 5930.6, 'percentages': 7.6, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 6600, 'percentages': 19.7, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 32, 'minRangePer': 31.84, 'maxRanegPer': 58.15, 'rangeDiffPer': 26.31, 'mindiff_total': 10.19, 'maxdiff_total': 18.61}",#52B974,,,,,
SBI,9,9,0,0,State Bank of India,SBI,1009.70,9.20,0.92,7.9,banks-public-sector/statebankindia/SBI,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 908, 'percentages': -10, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 1009.7, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1090.1, 'percentages': 7.9, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 1370, 'percentages': 35.6, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 50.88, 'minRangePer': 22.01, 'maxRanegPer': 39.4, 'rangeDiffPer': 17.38, 'mindiff_total': 11.2, 'maxdiff_total': 20.05}",#52B974,,,,,
MM,9,8,0,1,Mahindra and Mahindra,M&M,3123.80,-26.20,-0.83,22.0,auto-carsjeeps/mahindramahindra/MM,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 2700, 'percentages': -13.5, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 3123.8, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 3812.8, 'percentages': 22, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 4450, 'percentages': 42.4, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 64.81, 'minRangePer': 24.2, 'maxRanegPer': 63.58, 'rangeDiffPer': 39.37, 'mindiff_total': 15.69, 'maxdiff_total': 41.21}",#52B974,,,,,
UTC,8,7,1,0,UltraTech Cement,UltraTechCement,10979.00,79.00,0.72,26.6,cement-major/ultratechcement/UTC01,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 10979, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 12138, 'percentages': 10.5, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 13905.3, 'percentages': 26.6, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 15210, 'percentages': 38.5, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 38.53, 'minRangePer': 27.38, 'maxRanegPer': 69.16, 'rangeDiffPer': 41.78, 'mindiff_total': 10.55, 'maxdiff_total': 26.65}",#52B974,,,,,
BE03,8,8,0,0,Bharat Electronics,Bharat Elec,405.00,-1.00,-0.25,17.3,aerospacedefence/bharatelectronics/BE03,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 405, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 420, 'percentages': 3.7, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 475.2, 'percentages': 17.3, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 530, 'percentages': 30.8, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 30.86, 'minRangePer': 11.98, 'maxRanegPer': 56.15, 'rangeDiffPer': 44.17, 'mindiff_total': 3.7, 'maxdiff_total': 17.33}",#52B974,,,,,
HCL02,8,4,3,1,HCL Technologies,HCL Tech,1207.00,-22.80,-1.85,21.8,computers-software/hcltechnologies/HCL02,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 1060, 'percentages': -12.1, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 1207, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1470.1, 'percentages': 21.7, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 1850, 'percentages': 53.2, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 74.52, 'minRangePer': 18.59, 'maxRanegPer': 51.9, 'rangeDiffPer': 33.31, 'mindiff_total': 13.86, 'maxdiff_total': 38.68}",#52B974,,,,,
