MC_Code,shortName,StockName,nsCode,currPrice,prevPrice,change,pChange,volume,open,high,low
,PCJEWELLER,PCJEWELLER,PCJEWELLER,9.86,9.62,0.24,2.49,1061536718,9.71,10.95,9.58
,VISL,VISL,VISL,33.03,34.76,-1.73,-4.98,241447708,34.11,34.64,33.03
,IDEA,IDEA,IDEA,14.06,13.93,0.13,0.93,198912712,13.99,14.15,13.97
,KALYANKJIL,KALYANKJIL,KALYANKJIL,439.75,374.15,65.6,17.53,117145048,380.0,448.0,377.85
,VOGL,VOGL,VOGL,38.09,36.52,1.57,4.3,115141797,37.8,39.6,36.68
,CUPID,CUPID,CUPID,214.52,196.98,17.54,8.9,104267938,196.0,216.86,196.0
,MOTISONS,MOTISONS,MOTISONS,14.24,14.09,0.15,1.06,74000999,14.22,14.96,14.1
,OLAELEC,OLAELEC,OLAELEC,40.39,40.99,-0.6,-1.46,64175674,41.34,41.75,40.15
,SWIGGY,SWIGGY,SWIGGY,281.8,261.41,20.39,7.8,55995424,262.0,282.41,262.0
,YESBANK,YESBANK,YESBANK,23.67,23.42,0.25,1.07,52193951,23.42,23.8,23.42
,TATSILV,TATSILV,TATSILV,21.65,21.35,0.3,1.41,50888988,21.4,21.72,21.12
,ETERNAL,ETERNAL,ETERNAL,292.45,286.7,5.75,2.01,49865056,287.3,300.35,287.3
,IFCI,IFCI,IFCI,76.9,73.9,3.0,4.06,48013939,74.8,78.0,74.51
,JPPOWER,JPPOWER,JPPOWER,17.04,16.9,0.14,0.83,47510874,16.92,17.39,16.74
,SUZLON,SUZLON,SUZLON,53.68,53.13,0.55,1.04,42640345,53.13,54.29,53.07
,INA,INA,INA,121.3,108.5,12.8,11.8,42385448,110.17,125.0,109.71
,EASEMYTRIP,EASEMYTRIP,EASEMYTRIP,6.75,6.85,-0.1,-1.46,41948986,6.88,6.93,6.74
,HDFCBANK,HDFCBANK,HDFCBANK,817.0,810.3,6.7,0.83,39891798,813.0,822.85,812.3
,HCC,HCC,HCC,23.4,22.8,0.6,2.63,39226487,22.8,23.85,22.75
,TATAGOLD,TATAGOLD,TATAGOLD,13.9,13.75,0.15,1.09,38722912,13.75,14.85,13.4
