MC_Code,shortName,StockName,nsCode,currPrice,prevPrice,change,pChange,volume,open,high,low
,OLAELEC,OLAELEC,OLAELEC,36.32,30.27,6.05,19.99,786402928,30.5,36.32,30.3
,IDEA,IDEA,IDEA,9.11,9.2,-0.09,-0.98,405859803,9.15,9.22,9.0
,JPPOWER,JPPOWER,JPPOWER,16.78,16.44,0.34,2.07,139760608,16.43,17.37,16.21
,TATSILV,TATSILV,TATSILV,22.78,23.44,-0.66,-2.82,107101546,22.97,23.02,22.62
,SEPC,SEPC,SEPC,7.57,7.02,0.55,7.83,98001321,7.25,7.69,7.08
,ITI,ITI,ITI,293.8,266.75,27.05,10.14,96009610,268.3,303.9,265.22
,PCJEWELLER,PCJEWELLER,PCJEWELLER,9.19,9.44,-0.25,-2.65,93747881,9.42,9.55,9.15
,TATAGOLD,TATAGOLD,TATAGOLD,14.47,14.58,-0.11,-0.75,83688077,14.47,14.48,14.22
,YESBANK,YESBANK,YESBANK,18.95,19.04,-0.09,-0.47,82910223,19.0,19.2,18.84
,SUZLON,SUZLON,SUZLON,44.28,44.23,0.05,0.11,80302508,44.23,44.56,43.36
,GTLINFRA,GTLINFRA,GTLINFRA,1.21,1.25,-0.04,-3.2,78473395,1.26,1.29,1.19
,HFCL,HFCL,HFCL,79.55,75.17,4.38,5.83,77596073,75.39,81.51,75.25
,RPOWER,RPOWER,RPOWER,24.68,24.76,-0.08,-0.32,76097165,24.88,25.69,24.35
,MEESHO,MEESHO,MEESHO,165.1,152.72,12.38,8.11,61698066,152.72,172.28,151.15
,GROWW,GROWW,GROWW,187.2,181.01,6.19,3.42,61394954,182.0,189.49,180.19
,JTLIND,JTLIND,JTLIND,65.3,58.51,6.79,11.6,61167343,60.75,68.55,59.64
,EASEMYTRIP,EASEMYTRIP,EASEMYTRIP,7.96,7.89,0.07,0.89,51461985,8.0,8.35,7.84
,APOLLO,APOLLO,APOLLO,231.01,208.05,22.96,11.04,50987271,208.05,238.9,207.11
,HDFCBANK,HDFCBANK,HDFCBANK,798.0,816.1,-18.1,-2.22,48879392,815.0,819.0,793.1
,ADANIPOWER,ADANIPOWER,ADANIPOWER,173.42,169.31,4.11,2.43,42258124,168.95,173.5,167.55
