MC_Code,shortName,StockName,open,high,low,currPrice,prevPrice,change,pChange,volume
H,HI,Hindalco,959.0,989.85,952.25,985.65,951.8,33.85,3.56,9386595
DRL,DRL,Dr Reddys Labs,1189.0,1214.7,1189.0,1211.9,1191.4,20.50,1.72,2746602
BA06,BA10,Bajaj Auto,9455.0,9625.0,9366.0,9517.0,9366.0,151.00,1.61,539407
BE03,BE03,Bharat Elec,425.0,443.3,424.5,439.75,433.1,6.65,1.54,19917307
MHI,MHI,Max Healthcare,941.5,962.5,941.5,954.95,941.15,13.80,1.47,3558583
JVS,JSW01,JSW Steel,1187.2,1218.0,1185.0,1209.7,1194.3,15.40,1.29,2563654
NI,NI,Nestle,1209.5,1230.1,1206.4,1228.7,1213.7,15.00,1.24,1258634
NTP,NTP,NTPC,376.95,384.2,376.5,378.65,374.15,4.50,1.20,18503665
TCS,TCS,TCS,2554.0,2605.0,2531.1,2589.0,2559.2,29.80,1.16,5628261
PGC,PGC,Power Grid Corp,295.45,300.7,293.85,298.1,294.85,3.25,1.10,17644642
ONG,ONG,ONGC,284.9,289.8,284.9,288.6,285.5,3.10,1.09,13585661
AHE,AHE,Apollo Hospital,7400.0,7512.0,7364.0,7481.5,7401.5,80.00,1.08,416753
CI29,CI11,Coal India,449.25,456.2,447.85,454.1,449.25,4.85,1.08,9468415
TT,TT,TATA Cons. Prod,1062.5,1087.0,1060.1,1078.0,1068.5,9.50,0.89,2167226
TM4,TM4,Tech Mahindra,1452.0,1464.0,1433.6,1461.6,1451.4,10.20,0.70,1805451
C,C,Cipla,1215.2,1231.2,1213.1,1224.4,1215.9,8.50,0.70,2545266
TIS,TIS,Tata Steel,204.51,208.19,204.06,205.2,204.18,1.02,0.50,36853400
HCL02,HCL02,HCL Tech,1458.9,1469.0,1436.0,1464.9,1461.0,3.90,0.27,3101205
EM,EM,Eicher Motors,7147.0,7180.5,7037.0,7147.5,7131.0,16.50,0.23,648216
ITC,ITC,ITC,301.5,304.4,301.25,303.0,302.45,0.55,0.18,17691477
SPI,SPI,Sun Pharma,1702.7,1730.9,1702.7,1717.1,1714.6,2.50,0.15,3276165
