MC_Code,shortName,StockName,nsCode,currPrice,prevPrice,change,pChange,volume,open,high,low
,IDEA,IDEA,IDEA,13.56,13.52,0.04,0.3,900186913,13.44,13.68,13.32
,FCL,FCL,FCL,33.88,33.22,0.66,1.99,109836509,33.0,35.8,32.35
,OLAELEC,OLAELEC,OLAELEC,36.5,36.58,-0.08,-0.22,93036898,36.58,37.85,36.02
,JPPOWER,JPPOWER,JPPOWER,18.27,18.84,-0.57,-3.03,85684742,18.6,19.1,18.2
,APOLLO,APOLLO,APOLLO,356.55,340.7,15.85,4.65,73859367,340.75,369.4,340.75
,TATAGOLD,TATAGOLD,TATAGOLD,15.29,15.32,-0.03,-0.2,71470667,15.32,15.32,15.11
,YESBANK,YESBANK,YESBANK,22.03,21.97,0.06,0.27,62736095,21.8,22.05,21.6
,TATSILV,TATSILV,TATSILV,25.7,25.68,0.02,0.08,62088990,25.59,25.72,25.03
,GPIL,GPIL,GPIL,303.0,290.55,12.45,4.28,57813833,299.95,320.0,291.5
,TATASTEEL,TATASTEEL,TATASTEEL,207.0,209.29,-2.29,-1.09,56670462,207.5,207.5,203.04
,IRB,IRB,IRB,21.17,20.21,0.96,4.75,56644534,20.0,21.59,19.95
,MOTHERSON,MOTHERSON,MOTHERSON,131.33,131.49,-0.16,-0.12,56355040,130.25,136.0,129.51
,SOUTHBANK,SOUTHBANK,SOUTHBANK,41.17,38.75,2.42,6.25,54680020,38.11,41.9,38.11
,GMRAIRPORT,GMRAIRPORT,GMRAIRPORT,94.69,94.21,0.48,0.51,48818204,93.22,95.3,93.15
,SUZLON,SUZLON,SUZLON,52.64,52.91,-0.27,-0.51,46459868,52.55,52.7,52.0
,SINDHUTRAD,SINDHUTRAD,SINDHUTRAD,26.61,22.52,4.09,18.16,43813628,22.44,27.02,22.11
,FILATFASH,FILATFASH,FILATFASH,0.24,0.23,0.01,4.35,0,0.24,0.24,0.23
,ZEEL,ZEEL,ZEEL,82.9,87.68,-4.78,-5.45,32621116,83.0,85.28,81.82
,SILVERBEES,SILVERBEES,SILVERBEES,253.27,253.25,0.02,0.01,31304121,249.47,253.4,247.05
,GTLINFRA,GTLINFRA,GTLINFRA,1.31,1.31,0.0,0.0,29857151,1.31,1.32,1.29
