scid,broker_count,buy_count,hold_count,sell_count,brokers,stkname,stockShortName,cmp,change,perChange,profitPotential,stk_url,exchange,targets,targetBarColor,targetPiceLineData,targetBarColorClass
MU01,12,10,1,1,"[{'name': 'Motilal Oswal', 'target_price': 17406}, {'name': 'Prabhudas Lilladher', 'target_price': 15750}, {'name': 'Deven Choksey', 'target_price': 16312}, {'name': 'Anand Rathi', 'target_price': 19000}, {'name': 'Choice Equity Broking', 'target_price': 15800}, {'name': 'Mirae Asset Sharekhan', 'target_price': 18400}, {'name': 'ICICI Securities', 'target_price': 17000}, {'name': 'AnandRathi', 'target_price': 13350}, {'name': 'Emkay Global Financial Services', 'target_price': 13500}, {'name': 'Sharekhan', 'target_price': 14500}, {'name': 'Asit C. Mehta', 'target_price': 14250}, {'name': 'KRChoksey', 'target_price': 13407}]",Maruti Suzuki India,Maruti Suzuki,13453.00,118.00,0.88,16.8,auto-carsjeeps/marutisuzukiindia/MS24,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 13350, 'percentages': -0.7, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 13453, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 15722.92, 'percentages': 16.8, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 19000, 'percentages': 41.2, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 42.32, 'minRangePer': 1.81, 'maxRanegPer': 41.98, 'rangeDiffPer': 40.16, 'mindiff_total': 0.77, 'maxdiff_total': 17.77}",#52B974
UTI10,12,11,1,0,"[{'name': 'Motilal Oswal', 'target_price': 1400}, {'name': 'ICICI Securities', 'target_price': 1435}, {'name': 'Geojit Financial Services', 'target_price': 1400}, {'name': 'Deven Choksey', 'target_price': 1270}, {'name': 'Prabhudas Lilladher', 'target_price': 1425}, {'name': 'Emkay Global Financial Services', 'target_price': 1400}, {'name': 'Sharekhan', 'target_price': 1400}, {'name': 'Asit C. Mehta', 'target_price': 1425}, {'name': 'LKP Securities Limited', 'target_price': 1395}, {'name': 'AnandRathi', 'target_price': 1310}, {'name': 'KRChoksey', 'target_price': 1283}, {'name': 'Anand Rathi', 'target_price': 1300}]",Axis Bank,Axis Bank,1359.10,9.50,0.70,0.8,banks-private-sector/axisbank/AB16,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 1270, 'percentages': -6.5, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 1359.1, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1370.25, 'percentages': 0.8, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 1435, 'percentages': 5.5, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 12.99, 'minRangePer': 53.96, 'maxRanegPer': 60.73, 'rangeDiffPer': 6.76, 'mindiff_total': 7.01, 'maxdiff_total': 7.89}",#52B974
IT,11,10,1,0,"[{'name': 'Emkay Global Financial Services', 'target_price': 1450}, {'name': 'Prabhudas Lilladher', 'target_price': 1900}, {'name': 'Motilal Oswal', 'target_price': 1850}, {'name': 'ICICI Securities', 'target_price': 1630}, {'name': 'Anand Rathi', 'target_price': 1884}, {'name': 'Motilal Oswal Private Wealth', 'target_price': 2150}, {'name': 'Choice Equity Broking', 'target_price': 1810}, {'name': 'Deven Choksey', 'target_price': 1830}, {'name': 'Sharekhan', 'target_price': 1630}, {'name': 'KRChoksey', 'target_price': 2154}, {'name': 'Religare Retail Research', 'target_price': 2041}]",Infosys,Infosys,1318.70,-0.50,-0.04,40.1,computers-software/infosys/IT,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 1318.7, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 1450, 'percentages': 9.9, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1848.09, 'percentages': 40.1, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 2154, 'percentages': 63.3, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 63.34, 'minRangePer': 15.7, 'maxRanegPer': 63.37, 'rangeDiffPer': 47.67, 'mindiff_total': 9.95, 'maxdiff_total': 40.14}",#52B974
TCS,11,9,1,1,"[{'name': 'Motilal Oswal', 'target_price': 3000}, {'name': 'Prabhudas Lilladher', 'target_price': 3450}, {'name': 'Choice Institutional Equities', 'target_price': 3350}, {'name': 'LKP Securities Limited', 'target_price': 3880}, {'name': 'Deven Choksey', 'target_price': 3600}, {'name': 'Sharekhan', 'target_price': 3900}, {'name': 'Choice Equity Broking', 'target_price': 3950}, {'name': 'KRChoksey', 'target_price': 4631}, {'name': 'Geojit Financial Services', 'target_price': 4634}, {'name': 'AnandRathi', 'target_price': 4432}, {'name': 'Emkay Global Financial Services', 'target_price': 4500}]",Tata Consultancy Services,TCS,2581.50,4.60,0.18,52.5,computers-software/tataconsultancyservices/TCS,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 2581.5, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 3000, 'percentages': 16.2, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 3938.82, 'percentages': 52.5, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 4634, 'percentages': 79.5, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 79.5, 'minRangePer': 20.38, 'maxRanegPer': 66.12, 'rangeDiffPer': 45.74, 'mindiff_total': 16.21, 'maxdiff_total': 52.57}",#52B974
BAF,11,9,2,0,"[{'name': 'Motilal Oswal', 'target_price': 900}, {'name': 'Prabhudas Lilladher', 'target_price': 1125}, {'name': 'ICICI Securities', 'target_price': 1050}, {'name': 'Mirae Asset Sharekhan', 'target_price': 1150}, {'name': 'Deven Choksey', 'target_price': 1040}, {'name': 'Sharekhan', 'target_price': 1000}, {'name': 'Geojit Financial Services', 'target_price': 9521}, {'name': 'Emkay Global Financial Services', 'target_price': 8800}, {'name': 'KRChoksey', 'target_price': 9451}, {'name': 'AnandRathi', 'target_price': 8810}, {'name': 'Anand Rathi', 'target_price': 7905}]",Bajaj Finance,Bajaj Finance,908.25,2.35,0.26,407.9,finance-nbfc/bajajfinance/BAF,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 900, 'percentages': -0.9, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 908.25, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 4613.82, 'percentages': 407.9, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 9521, 'percentages': 948.2, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 957.88, 'minRangePer': 0.09, 'maxRanegPer': 43.07, 'rangeDiffPer': 42.98, 'mindiff_total': 0.91, 'maxdiff_total': 412.64}",#52B974
HCL02,10,4,6,0,"[{'name': 'Deven Choksey', 'target_price': 1682}, {'name': 'LKP Securities Limited', 'target_price': 1900}, {'name': 'ICICI Securities', 'target_price': 1590}, {'name': 'Motilal Oswal', 'target_price': 2200}, {'name': 'Prabhudas Lilladher', 'target_price': 1910}, {'name': 'Choice Equity Broking', 'target_price': 1720}, {'name': 'Sharekhan', 'target_price': 1850}, {'name': 'AnandRathi', 'target_price': 2050}, {'name': 'KRChoksey', 'target_price': 1894}, {'name': 'Anand Rathi', 'target_price': 2020}]",HCL Technologies,HCL Tech,1442.30,-7.90,-0.54,30.4,computers-software/hcltechnologies/HCL02,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 1442.3, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 1590, 'percentages': 10.2, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1881.6, 'percentages': 30.4, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 2200, 'percentages': 52.5, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 52.53, 'minRangePer': 19.49, 'maxRanegPer': 57.96, 'rangeDiffPer': 38.47, 'mindiff_total': 10.24, 'maxdiff_total': 30.45}",#52B974
UTC,10,10,0,0,"[{'name': 'Motilal Oswal', 'target_price': 15000}, {'name': 'Prabhudas Lilladher', 'target_price': 14168}, {'name': 'Deven Choksey', 'target_price': 14406}, {'name': 'Emkay Global Financial Services', 'target_price': 14700}, {'name': 'ICICI Securities', 'target_price': 14600}, {'name': 'Choice Equity Broking', 'target_price': 15210}, {'name': 'Sharekhan', 'target_price': 13647}, {'name': 'Geojit Financial Services', 'target_price': 12320}, {'name': 'Religare Retail Research', 'target_price': 11446}, {'name': 'KRChoksey', 'target_price': 12063}]",UltraTech Cement,UltraTechCement,11886.00,60.00,0.51,15.7,cement-major/ultratechcement/UTC01,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 11446, 'percentages': -3.7, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 11886, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 13756, 'percentages': 15.7, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 15210, 'percentages': 27.9, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 32.88, 'minRangePer': 11.67, 'maxRanegPer': 61.37, 'rangeDiffPer': 49.7, 'mindiff_total': 3.84, 'maxdiff_total': 20.18}",#52B974
C,10,8,1,1,"[{'name': 'Motilal Oswal', 'target_price': 1310}, {'name': 'Deven Choksey', 'target_price': 1620}, {'name': 'Prabhudas Lilladher', 'target_price': 1675}, {'name': 'Choice Equity Broking', 'target_price': 1580}, {'name': 'Mirae Asset Sharekhan', 'target_price': 1754}, {'name': 'ICICI Securities', 'target_price': 1800}, {'name': 'KRChoksey', 'target_price': 1598}, {'name': 'Asit C. Mehta', 'target_price': 1808}, {'name': 'Geojit Financial Services', 'target_price': 1695}, {'name': 'Sharekhan', 'target_price': 1715}]",Cipla,Cipla,1240.80,10.30,0.84,33.4,pharmaceuticals/cipla/C,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 1240.8, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 1310, 'percentages': 5.5, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1655.5, 'percentages': 33.4, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 1808, 'percentages': 45.7, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 45.71, 'minRangePer': 12.18, 'maxRanegPer': 73.11, 'rangeDiffPer': 60.93, 'mindiff_total': 5.57, 'maxdiff_total': 33.42}",#52B974
AL,9,9,0,0,"[{'name': 'Motilal Oswal', 'target_price': 185}, {'name': 'Deven Choksey', 'target_price': 156}, {'name': 'Choice Institutional Equities', 'target_price': 161}, {'name': 'LKP Securities Limited', 'target_price': 147}, {'name': 'AnandRathi', 'target_price': 260}, {'name': 'Prabhudas Lilladher', 'target_price': 244}, {'name': 'Sharekhan', 'target_price': 268}, {'name': 'KRChoksey', 'target_price': 252}, {'name': 'Emkay Global Financial Services', 'target_price': 275}]",Ashok Leyland,Ashok Leyland,174.78,-1.95,-1.10,23.8,auto-lcvshcvs/ashokleyland/AL,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 147, 'percentages': -15.8, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 174.78, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 216.44, 'percentages': 23.8, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 275, 'percentages': 57.3, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 87.07, 'minRangePer': 21.69, 'maxRanegPer': 54.24, 'rangeDiffPer': 32.54, 'mindiff_total': 18.89, 'maxdiff_total': 47.23}",#52B974
HDF01,9,9,0,0,"[{'name': 'ICICI Securities', 'target_price': 1120}, {'name': 'Motilal Oswal', 'target_price': 1100}, {'name': 'Prabhudas Lilladher', 'target_price': 1150}, {'name': 'Deven Choksey', 'target_price': 1149}, {'name': 'Emkay Global Financial Services', 'target_price': 2300}, {'name': 'Geojit Financial Services', 'target_price': 2192}, {'name': 'Sharekhan', 'target_price': 2300}, {'name': 'LKP Securities Limited', 'target_price': 2173}, {'name': 'KRChoksey', 'target_price': 1934}]",HDFC Bank,HDFC Bank,799.90,4.45,0.56,114.1,banks-private-sector/hdfcbank/HDF01,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 799.9, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 1100, 'percentages': 37.5, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1713.11, 'percentages': 114.1, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 2300, 'percentages': 187.5, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 187.53, 'minRangePer': 20, 'maxRanegPer': 60.87, 'rangeDiffPer': 40.86, 'mindiff_total': 37.51, 'maxdiff_total': 114.16}",#52B974
