MC_Code,shortName,StockName,open,high,low,currPrice,prevPrice,change,pChange,volume
HCL02,HCL02,HCL Tech,1345.0,1358.0,1281.0,1285.3,1441.2,-155.90,-10.82,33066256
IT,IT,Infosys,1295.0,1297.7,1255.9,1268.6,1313.2,-44.60,-3.40,20088378
MM,MM,M&M,3214.1,3249.9,3143.0,3149.7,3247.3,-97.60,-3.01,3096787
TCS,TCS,TCS,2580.0,2580.0,2503.6,2538.5,2610.5,-72.00,-2.76,5232045
TM4,TM4,Tech Mahindra,1463.4,1502.8,1404.1,1462.6,1500.8,-38.20,-2.55,11668801
BA06,BA10,Bajaj Auto,9770.5,9790.5,9585.0,9602.0,9793.0,-191.00,-1.95,301870
HSL01,HSL01,HDFC Life,614.2,617.25,603.25,604.05,614.2,-10.15,-1.65,3995083
ICI02,ICI02,ICICI Bank,1380.0,1380.1,1365.0,1367.6,1388.4,-20.80,-1.50,13613487
MHI,MHI,Max Healthcare,1012.15,1020.0,1000.85,1005.35,1020.25,-14.90,-1.46,1410740
HDF01,HDF01,HDFC Bank,810.0,813.05,798.0,799.9,811.75,-11.85,-1.46,23876412
SLI03,SLI03,SBI Life Insura,1910.0,1930.6,1880.0,1884.8,1911.6,-26.80,-1.40,4044590
BTV,BA08,Bharti Airtel,1850.2,1857.9,1825.3,1829.0,1855.0,-26.00,-1.40,5687058
KMF,KMB,Kotak Mahindra,378.1,382.8,376.25,376.85,382.15,-5.30,-1.39,14471487
ITC,ITC,ITC,310.0,310.55,305.1,305.5,309.65,-4.15,-1.34,24500511
LT,LT,Larsen,4070.0,4070.0,4011.0,4021.1,4075.4,-54.30,-1.33,2178082
JVS,JSW01,JSW Steel,1283.0,1286.6,1258.4,1263.4,1279.6,-16.20,-1.27,2882614
IA05,IA04,Interglobe Avi,4674.8,4713.3,4599.9,4640.9,4693.1,-52.20,-1.11,1082869
AHE,AHE,Apollo Hospital,7702.0,7801.5,7615.0,7662.0,7744.0,-82.00,-1.06,608446
MU01,MS24,Maruti Suzuki,13452.0,13530.0,13300.0,13337.0,13461.0,-124.00,-0.92,434640
SBI,SBI,SBI,1110.0,1117.85,1100.1,1103.3,1111.85,-8.55,-0.77,12412659
BE03,BE03,Bharat Elec,450.8,451.85,444.7,448.7,451.5,-2.80,-0.62,11538028
TI01,TI01,Titan Company,4461.7,4492.0,4445.2,4454.6,4479.7,-25.10,-0.56,596352
W,W,Wipro,203.5,205.38,202.2,204.0,205.01,-1.01,-0.49,21790433
BF04,BF04,Bajaj Finserv,1847.0,1860.0,1835.0,1842.9,1851.4,-8.50,-0.46,739941
BAF,BAF,Bajaj Finance,938.0,946.35,930.15,934.75,938.85,-4.10,-0.44,5759028
MPS,MPS,Adani Ports,1588.9,1603.4,1582.0,1588.6,1594.1,-5.50,-0.35,1918773
DRL,DRL,Dr Reddys Labs,1214.1,1226.0,1208.1,1217.0,1220.6,-3.60,-0.29,1573272
EM,EM,Eicher Motors,7215.0,7267.0,7136.5,7230.0,7240.5,-10.50,-0.15,497850
STF,STF,Shriram Finance,1050.0,1053.7,1029.4,1044.55,1045.3,-0.75,-0.07,4404420
GI01,GI01,Grasim,2774.4,2810.0,2755.6,2776.6,2777.7,-1.10,-0.04,924150
