MC_Code,shortName,StockName,nsCode,currPrice,prevPrice,change,pChange,volume,open,high,low
,IDEA,IDEA,IDEA,9.51,9.55,-0.04,-0.42,354014633,9.52,9.61,9.46
,JPPOWER,JPPOWER,JPPOWER,20.2,18.99,1.21,6.37,226335685,18.96,20.4,18.92
,SUZLON,SUZLON,SUZLON,54.65,53.1,1.55,2.92,147736421,53.15,54.7,52.9
,RPOWER,RPOWER,RPOWER,30.25,28.35,1.9,6.7,130508684,28.4,30.5,28.33
,GROWW,GROWW,GROWW,217.7,214.01,3.69,1.72,122276331,214.82,222.88,212.4
,ADANIPOWER,ADANIPOWER,ADANIPOWER,215.3,202.98,12.32,6.07,117165796,203.99,216.5,203.3
,OLAELEC,OLAELEC,OLAELEC,38.44,37.47,0.97,2.59,115307167,37.69,38.83,37.53
,YESBANK,YESBANK,YESBANK,20.0,19.77,0.23,1.16,100201392,19.77,20.12,19.67
,ROLEXRINGS,ROLEXRINGS,ROLEXRINGS,153.5,161.76,-8.26,-5.11,97485943,166.09,176.0,145.0
,GTLINFRA,GTLINFRA,GTLINFRA,1.26,1.22,0.04,3.28,83049762,1.22,1.28,1.22
,IREDA,IREDA,IREDA,140.69,128.86,11.83,9.18,73264311,128.86,142.85,128.68
,TATAGOLD,TATAGOLD,TATAGOLD,14.65,14.69,-0.04,-0.27,61938218,14.69,14.74,14.57
,MAHABANK,MAHABANK,MAHABANK,79.75,80.18,-0.43,-0.54,52387766,80.59,82.15,78.85
,PCJEWELLER,PCJEWELLER,PCJEWELLER,9.79,9.6,0.19,1.98,50572736,9.53,9.84,9.45
,HFCL,HFCL,HFCL,100.2,97.84,2.36,2.41,49463580,97.84,101.5,97.27
,TATSILV,TATSILV,TATSILV,23.93,24.1,-0.17,-0.71,49268582,24.08,24.09,23.81
,RTNPOWER,RTNPOWER,RTNPOWER,10.16,9.5,0.66,6.95,46660158,9.51,10.24,9.51
,ETERNAL,ETERNAL,ETERNAL,262.25,259.48,2.77,1.07,45717764,257.03,264.8,256.29
,MOTHERSON,MOTHERSON,MOTHERSON,131.9,124.7,7.2,5.77,42968413,124.72,132.99,124.72
,URBANCO,URBANCO,URBANCO,147.65,137.24,10.41,7.59,42137015,138.5,149.5,137.15
