pattern_id,userid,instrument_type,instrument,exchange,pattern_name,comment,time_frame,sc_id,p_status,is_closed,is_deleted,end_date,updated_at,created_at,meta_data,analyst_name,analyst_image,updated_at_epoch,created_at_epoch,sc_name,symbol,chartType,displayLock,scanproflg
1894,21,,,nse,Descending Triangle,Resistance Breakout,2 hours,,New,N,0,2026-10-09,2026-09-24 14:46:58,2026-09-24 14:46:58,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""1187.60"",""pattern_type"":""buy"",""cmp"":""1187.60"",""price_key"":""stk_CHC_N"",""target_price"":""1303"",""target_return_prcnt"":""9.72"",""stoploss_price"":""1152"",""stoploss_prcnt"":""3.00"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/179024141698.png""},""rationale"":""After a rise, price moved sideways for weeks, and now has moved above a descending triangle indicating a bullish move."",""action_type"":""add"",""created_at"":""2026-09-24 14:46:58"",""updated_at"":""2026-09-24 14:46:58""}]}",,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1790241418,1790241418,,,mc_pro_plus,Y,3
1848,21,,,nse,Falling Trendline,Resistance Breakout,1 day,,Updated,N,0,2026-10-16,2026-09-24 12:13:37,2026-09-09 09:36:10,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""758.85"",""pattern_type"":""buy"",""cmp"":""774.75"",""price_key"":""stk_SNP_N"",""target_price"":""880"",""target_return_prcnt"":""15.96"",""stoploss_price"":""698"",""stoploss_prcnt"":""8.02"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178892676834.png""},""rationale"":""A long duration falling trendline breakout indicates that buyers are now stepping in as sellers are losing control."",""action_type"":""add"",""created_at"":""2026-09-09 09:36:10"",""updated_at"":""2026-09-09 09:36:10""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/179023221644.png""},""rationale"":""Bullish momentum intact."",""action_type"":""update"",""created_at"":""2026-09-24 12:13:37"",""updated_at"":""2026-09-24 12:13:37""}]}",,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1790232217,1788926770,,,mc_pro_plus,Y,3
1893,21,,,nse,Horizontal Resistance,Bullish Continuation,1 hour,,New,N,0,2026-10-09,2026-09-24 11:04:28,2026-09-24 11:04:28,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""3431.90"",""pattern_type"":""buy"",""cmp"":""3431.90"",""price_key"":""stk_MCE_N"",""target_price"":""3696"",""target_return_prcnt"":""7.70"",""stoploss_price"":""3315"",""stoploss_prcnt"":""3.41"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/179022806637.png""},""rationale"":""After a rally, price moved sideways and now has moved above the horizontal resistance, indicating bullish continuation."",""action_type"":""add"",""created_at"":""2026-09-24 11:04:28"",""updated_at"":""2026-09-24 11:04:28""}]}",,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1790228068,1790228068,,,mc_pro_plus,Y,3
1892,21,,,nse,Gap Fill,Rising Three Candlestick,1 hour,,New,N,0,2026-10-16,2026-09-24 10:50:23,2026-09-24 10:50:23,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""2032.00"",""pattern_type"":""buy"",""cmp"":""2032.00"",""price_key"":""stk_PM02_N"",""target_price"":""2150"",""target_return_prcnt"":""5.81"",""stoploss_price"":""1971"",""stoploss_prcnt"":""3.00"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/179022722222.png""},""rationale"":""Price filled the gap down and also formed a rising three candlesticks, both indicating bullish trend ahead."",""action_type"":""add"",""created_at"":""2026-09-24 10:50:23"",""updated_at"":""2026-09-24 10:50:23""}]}",,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1790227223,1790227223,,,mc_pro_plus,Y,3
1891,21,,,nse,Falling Channel Breakout,Bullish Reversal,1 hour,,New,N,0,2026-10-30,2026-09-23 14:01:10,2026-09-23 14:01:10,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""827.20"",""pattern_type"":""buy"",""cmp"":""827.20"",""price_key"":""stk_SBP04_N"",""target_price"":""900"",""target_return_prcnt"":""8.80"",""stoploss_price"":""790"",""stoploss_prcnt"":""4.50"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/179015226730.png""},""rationale"":""The falling channel breakout signals the probable bullish reversal."",""action_type"":""add"",""created_at"":""2026-09-23 14:01:10"",""updated_at"":""2026-09-23 14:01:10""}]}",,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1790152270,1790152270,,,mc_pro_plus,Y,3
1890,21,,,nse,Rectangle Pattern,Bullish Breakout,30 mins,,New,N,0,2026-10-10,2026-09-23 13:55:19,2026-09-23 13:55:19,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""9499.50"",""pattern_type"":""buy"",""cmp"":""9499.50"",""price_key"":""stk_DL03_N"",""target_price"":""9675"",""target_return_prcnt"":""1.85"",""stoploss_price"":""9427"",""stoploss_prcnt"":""0.76"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/179015191729.png""},""rationale"":""After a rally, price moved sideways forming a rectangle pattern. A breakout above resistance indicates bullish continuation."",""action_type"":""add"",""created_at"":""2026-09-23 13:55:19"",""updated_at"":""2026-09-23 13:55:19""}]}",,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1790151919,1790151919,,,mc_pro_plus,Y,3
1889,21,,,nse,Double Bottom,Bullish Reversal,1 hour,,New,N,0,2026-11-30,2026-09-23 13:35:02,2026-09-23 13:35:02,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""98.92"",""pattern_type"":""buy"",""cmp"":""98.92"",""price_key"":""stk_GI27_N"",""target_price"":""110"",""target_return_prcnt"":""11.20"",""stoploss_price"":""91"",""stoploss_prcnt"":""8.01"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/179015069953.png""},""rationale"":""The double bottom pattern indicate probable reversal on the chart."",""action_type"":""add"",""created_at"":""2026-09-23 13:35:02"",""updated_at"":""2026-09-23 13:35:02""}]}",,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1790150702,1790150702,,,mc_pro_plus,Y,3
1888,21,,,nse,Falling Channel Breakout,Trend Reversal,1 hour,,New,N,0,2026-10-29,2026-09-23 13:18:49,2026-09-23 13:18:49,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""484.05"",""pattern_type"":""buy"",""cmp"":""484.05"",""price_key"":""stk_HCL07_N"",""target_price"":""520"",""target_return_prcnt"":""7.43"",""stoploss_price"":""470"",""stoploss_prcnt"":""2.90"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/179014972495.png""},""rationale"":""The falling channel breakout indicates the bullish reversal."",""action_type"":""add"",""created_at"":""2026-09-23 13:18:49"",""updated_at"":""2026-09-23 13:18:49""}]}",,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1790149729,1790149729,,,mc_pro_plus,Y,3
1887,21,,,nse,Probable Bullish Pennant,Trend Continuation Pattern,2 hours,,New,N,0,2026-10-30,2026-09-23 12:51:39,2026-09-23 12:51:39,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""8960.50"",""pattern_type"":""buy"",""cmp"":""8960.50"",""price_key"":""stk_AHE_N"",""target_price"":""10000"",""target_return_prcnt"":""11.60"",""stoploss_price"":""8500"",""stoploss_prcnt"":""5.14"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/179014809786.png""},""rationale"":""The Bullish Pennant is the trend continuation pattern in the form of pole and symmetrical triangle."",""action_type"":""add"",""created_at"":""2026-09-23 12:51:39"",""updated_at"":""2026-09-23 12:51:39""}]}",,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1790148099,1790148099,,,mc_pro_plus,Y,3
1886,21,,,nse,Descending Triangle,Resistance Breakout,2 hours,,New,N,0,2026-10-09,2026-09-23 12:21:35,2026-09-23 12:21:15,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""190.41"",""pattern_type"":""buy"",""cmp"":""190.28"",""price_key"":""stk_TIS_N"",""target_price"":""200"",""target_return_prcnt"":""5.04"",""stoploss_price"":""187"",""stoploss_prcnt"":""1.79"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/179014627319.png""},""rationale"":""After a fall, price moved sideways and now has formed a Descending Triangle indicating a bullish reversal."",""action_type"":""add"",""created_at"":""2026-09-23 12:21:15"",""updated_at"":""2026-09-23 12:21:35""}]}",,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1790146295,1790146275,,,mc_pro_plus,Y,3
