MC_Code,shortName,StockName,nsCode,currPrice,prevPrice,change,pChange,volume,open,high,low
,PCJEWELLER,PCJEWELLER,PCJEWELLER,14.17,14.25,-0.08,-0.56,309343445,14.35,14.46,14.03
,IDEA,IDEA,IDEA,14.26,14.12,0.14,0.99,309260435,14.15,14.38,14.08
,OLAELEC,OLAELEC,OLAELEC,38.34,42.52,-4.18,-9.83,194568434,42.5,42.5,38.01
,MOTISONS,MOTISONS,MOTISONS,17.87,18.79,-0.92,-4.9,119558121,18.89,19.48,17.62
,HEROMOTORS,HEROMOTORS,HEROMOTORS,141.69,118.08,23.61,19.99,102618013,128.0,141.69,126.6
,AHCL,AHCL,AHCL,31.51,28.65,2.86,9.98,80210539,28.78,31.51,27.71
,BLUECLOUDS,BLUECLOUDS,BLUECLOUDS,22.39,20.06,2.33,11.62,69599422,20.85,23.57,20.67
,LLOYDSENGG,LLOYDSENGG,LLOYDSENGG,98.62,90.91,7.71,8.48,60674433,91.23,99.65,89.06
,SUZLON,SUZLON,SUZLON,40.8,40.74,0.06,0.15,57074067,40.74,41.09,40.11
,FCL,FCL,FCL,60.4,56.07,4.33,7.72,47041849,56.5,61.05,55.75
,FILATFASH,FILATFASH,FILATFASH,0.19,0.18,0.01,5.56,45723506,0.19,0.19,0.18
,POLICYBZR,POLICYBZR,POLICYBZR,1166.0,1207.2,-41.2,-3.41,41589859,1160.0,1261.7,1115.0
,TATAGOLD,TATAGOLD,TATAGOLD,14.63,14.52,0.11,0.76,37775952,14.57,14.64,14.52
,SHANTIGOLD,SHANTIGOLD,SHANTIGOLD,316.3,283.62,32.68,11.52,36407266,289.8,333.09,288.99
,IFCI,IFCI,IFCI,73.85,75.19,-1.34,-1.78,36139840,75.02,75.62,73.2
,SSRETAIL,SSRETAIL,SSRETAIL,725.0,811.8,-86.8,-10.69,34422519,816.1,869.95,692.5
,MEESHO,MEESHO,MEESHO,217.29,232.84,-15.55,-6.68,31497166,228.93,229.58,216.07
,BAJAJHIND,BAJAJHIND,BAJAJHIND,20.79,19.9,0.89,4.47,31108504,20.05,21.09,19.81
,JPPOWER,JPPOWER,JPPOWER,15.93,15.84,0.09,0.57,30626176,15.84,15.96,15.58
,YESBANK,YESBANK,YESBANK,22.5,22.44,0.06,0.27,30426808,22.48,22.58,22.35
