MC_Code,shortName,StockName,open,high,low,currPrice,prevPrice,change,pChange,volume
MHI,MHI,Max Healthcare,1050.0,1052.0,1008.0,1014.0,1046.0,-32.00,-3.06,1900715
TEL,TM03,TMPV,297.0,297.7,288.0,290.45,295.0,-4.55,-1.54,22634929
IT,IT,Infosys,999.5,1004.2,991.6,1000.2,1014.5,-14.30,-1.41,10240700
ONG,ONG,ONGC,238.0,238.0,234.71,235.86,239.0,-3.14,-1.31,5066494
L,T04,Trent,2720.0,2720.0,2646.0,2669.3,2700.0,-30.70,-1.14,1054993
SLI03,SLI03,SBI Life Insura,1755.0,1758.4,1732.3,1742.0,1755.0,-13.00,-0.74,1018504
BTV,BA08,Bharti Airtel,1794.0,1801.7,1785.0,1785.4,1795.8,-10.40,-0.58,4766200
ICI02,ICI02,ICICI Bank,1332.9,1340.8,1312.0,1326.8,1334.5,-7.70,-0.58,10841310
H,HI,Hindalco,979.2,983.4,971.2,977.0,982.0,-5.00,-0.51,2469481
TT,TT,TATA Cons. Prod,988.0,989.9,979.2,983.2,986.3,-3.10,-0.31,885948
KMF,KMB,Kotak Mahindra,406.9,407.95,399.3,404.0,405.0,-1.00,-0.25,18175573
TCS,TCS,TCS,2054.0,2090.2,2038.1,2082.0,2087.0,-5.00,-0.24,3342195
Z01,Z,Eternal,335.6,339.9,331.7,335.0,335.5,-0.50,-0.15,24508361
JFS,JFS,Jio Financial,227.2,227.84,225.45,227.0,227.2,-0.20,-0.09,7741336
TIS,TIS,Tata Steel,188.57,190.34,187.01,187.97,188.02,-0.05,-0.03,15890667
