Index,scId,StockName,type,currTrend,currPrice,performance,trendChngDate,trendChngPrice,updatedTime
NIFTY MIDCAP100,WEL01,Waaree Energies,Stock,Very Bearish,"2,495.00",-17.76,"23 Jun, 2026","3,033.80",Sep 25 | 15:59
NIFTY MIDCAP100,B03,BSE Limited,Stock,Very Bearish,"3,191.50",-17.58,"25 Jun, 2026","3,872.10",Sep 25 | 15:59
NIFTY MIDCAP100,HUD,HUDCO,Stock,Very Bearish,173.99,-16.29,"14 Jul, 2026",207.85,Sep 25 | 15:59
NIFTY MIDCAP100,GP11,Godrej Prop,Stock,Bearish,"1,700.10",-15.62,"31 Aug, 2026","2,014.70",Sep 25 | 15:59
NIFTY MIDCAP100,V,Voltas,Stock,Very Bearish,"1,118.20",-14.02,"05 Aug, 2026","1,300.50",Sep 25 | 15:56
NIFTY MIDCAP100,TEI,Tata Elxsi,Stock,Very Bearish,"3,186.90",-12.97,"18 Aug, 2026","3,662.00",Sep 25 | 15:55
NIFTY MIDCAP100,KPITT54265,KPIT Tech,Stock,Very Bearish,519.40,-12.95,"18 Aug, 2026",596.65,Sep 25 | 15:59
NIFTY MIDCAP100,HI01,Havells India,Stock,Very Bearish,"1,096.50",-12.89,"26 Aug, 2026","1,258.70",Sep 25 | 15:59
NIFTY MIDCAP100,BDL01,Bharat Dynamics,Stock,Very Bearish,"1,140.00",-12.71,"28 Aug, 2026","1,306.00",Sep 25 | 15:59
NIFTY MIDCAP100,KEI,KEI Industries,Stock,Bearish,"4,673.50",-12.61,"01 Sep, 2026","5,348.00",Sep 25 | 15:52
NIFTY MIDCAP100,LC03,Lupin,Stock,Very Bearish,"2,092.00",-12.29,"06 Aug, 2026","2,385.00",Sep 25 | 15:57
NIFTY MIDCAP100,FH,Fortis Health,Stock,Very Bearish,837.85,-11.79,"22 Jul, 2026",949.85,Sep 25 | 15:56
NIFTY MIDCAP100,PEL07,Premier Energie,Stock,Very Bearish,896.40,-11.50,"01 Sep, 2026","1,012.90",Sep 25 | 15:55
NIFTY MIDCAP100,DI,Dabur India,Stock,Bearish,385.60,-11.24,"14 Jul, 2026",434.45,Sep 25 | 15:57
NIFTY MIDCAP100,HPC,HINDPETRO,Stock,Very Bearish,351.00,-10.70,"07 Aug, 2026",393.05,Sep 25 | 15:59
NIFTY MIDCAP100,MMF04,M&M Financial,Stock,Very Bearish,333.10,-9.69,"02 Sep, 2026",368.85,Sep 25 | 15:59
NIFTY MIDCAP100,TIIND54076,Tube Investment,Stock,Very Bearish,"2,511.10",-9.67,"31 Aug, 2026","2,780.00",Sep 25 | 15:58
NIFTY MIDCAP100,RVN,Rail Vikas,Stock,Bearish,207.00,-9.27,"13 Aug, 2026",228.15,Sep 25 | 15:59
NIFTY MIDCAP100,BL03,Biocon,Stock,Very Bearish,382.15,-9.01,"13 Aug, 2026",420.00,Sep 25 | 15:57
NIFTY MIDCAP100,GPI,Godfrey Phillip,Stock,Very Bearish,"1,970.40",-8.78,"13 Aug, 2026","2,160.00",Sep 25 | 15:52
