Date,Trend,ScannerName,ScannerCode,Category,MC_nsCode,MC_StkId,MC_StkName,LTP_MC,NSE_SYMBOL,SERIES,PREV_CLOSE,OPEN,HIGH,LOW,CLOSE,AVG_PRICE,VOLUME,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,IndicatorFile,MatchType
08-Apr-2026,Bearish,,,,,,Colgate,1907.0,COLPAL,EQ,1850.4,1885.0,1915.8,1869.6,1907.0,1897.03,453684,8606.51,35741, 226175, 49.85,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Prestige Estate,1320.8,PRESTIGE,EQ,1222.1,1300.0,1347.0,1288.3,1320.8,1327.09,2513824,33360.72,85584, 715728, 28.47,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Cochin Shipyard,1379.8,COCHINSHIP,EQ,1348.0,1420.0,1425.0,1374.2,1379.8,1389.33,1627642,22613.39,51273, 498741, 30.64,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Voltas,1264.8,VOLTAS,EQ,1220.2,1250.0,1278.0,1246.4,1264.8,1267.07,1548576,19621.53,52484, 569556, 36.78,bearish.csv,Name_Exact
08-Apr-2026,Bearish,,,,,,Patanjali Foods,468.55,PATANJALI,EQ,468.1,479.5,484.0,465.8,468.55,471.76,5346258,25221.67,34236, 2135263, 39.94,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Godfrey Phillip,2005.6,GODFRYPHLP,EQ,1930.2,2017.1,2035.4,1978.2,2005.6,2006.41,937618,18812.42,41113, 240369, 25.64,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,PI Industries,2877.0,PIIND,EQ,2825.0,2924.0,2938.1,2871.2,2877.0,2906.08,279838,8132.32,12780, 178074, 63.63,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Havells India,1246.4,HAVELLS,EQ,1234.1,1278.0,1278.0,1240.0,1246.4,1256.52,755940,9498.56,38315, 412464, 54.56,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,ICICI Lombard,1750.5,ICICIGI,EQ,1726.6,1753.2,1779.0,1742.0,1750.5,1758.89,697663,12271.16,58637, 405391, 58.11,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,MRF,133050.0,MRF,EQ,127175.0,134465.0,134465.0,130830.0,133050.0,133042.35,13484,17939.43,9239, 5916, 43.87,bearish.csv,Name_Exact
08-Apr-2026,Bearish,,,,,,Biocon,349.8,BIOCON,EQ,340.05,351.65,353.6,344.25,349.8,348.71,6053110,21107.69,74454, 2837413, 46.88,bearish.csv,Name_Exact
08-Apr-2026,Bearish,,,,,,LG Electronics,1430.4,LGEINDIA,EQ,1379.2,1419.0,1447.6,1409.8,1430.4,1435.35,859081,12330.85,47328, 542901, 63.20,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Tata Inv Corp,619.2,TATAINVEST,EQ,593.4,619.0,623.0,609.0,619.2,616.52,710961,4383.18,32396, 257469, 36.21,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Alkem Lab,5246.0,ALKEM,EQ,5172.5,5278.0,5295.5,5214.5,5246.0,5255.1,145626,7652.79,26516, 78394, 53.83,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Astral Ltd,1525.5,ASTRAL,EQ,1544.5,1599.6,1614.9,1515.4,1525.5,1542.57,738612,11393.58,40124, 282112, 38.19,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Mankind Pharma,2041.9,MANKIND,EQ,2040.1,2080.9,2108.9,2032.9,2041.9,2067.8,640289,13239.88,23948, 444583, 69.43,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Marico,747.45,MARICO,EQ,753.25,772.0,772.0,746.25,747.45,753.34,2798459,21081.98,59764, 1285179, 45.92,bearish.csv,Name_Exact
08-Apr-2026,Bearish,,,,,,Bharat Dynamics,1291.4,BDL,EQ,1235.9,1294.9,1294.9,1254.0,1291.4,1277.27,1591207,20324.07,58348, 498602, 31.33,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Oil India,458.95,OIL,EQ,481.9,476.05,476.85,457.5,458.95,463.49,16422905,76118.63,158802, 8897101, 54.17,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Lodha Developer,778.85,LODHA,EQ,717.65,754.8,782.2,754.05,778.85,773.02,5440433,42055.64,90095, 2619231, 48.14,bearish.csv,PriceFallback(±0.00)
