MC_Code,shortName,StockName,nsCode,currPrice,prevPrice,change,pChange,volume,open,high,low
,IDEA,IDEA,IDEA,10.18,10.29,-0.11,-1.07,403450744,10.29,10.3,10.01
,HFCL,HFCL,HFCL,115.96,107.1,8.86,8.27,234723195,106.8,119.5,106.8
,MEESHO,MEESHO,MEESHO,194.0,172.68,21.32,12.35,150163771,173.38,196.62,173.06
,SUZLON,SUZLON,SUZLON,55.64,56.81,-1.17,-2.06,102354018,56.5,56.5,55.0
,JPPOWER,JPPOWER,JPPOWER,19.7,20.2,-0.5,-2.48,85902693,20.14,20.15,19.52
,ETERNAL,ETERNAL,ETERNAL,246.6,254.03,-7.43,-2.92,72700438,249.0,251.69,242.65
,YESBANK,YESBANK,YESBANK,19.99,20.27,-0.28,-1.38,68337795,20.25,20.25,19.86
,ADANIPOWER,ADANIPOWER,ADANIPOWER,222.08,219.28,2.8,1.28,67584204,216.9,223.5,214.24
,OLAELEC,OLAELEC,OLAELEC,36.55,36.21,0.34,0.94,59324091,36.21,36.95,35.57
,SYNGENE,SYNGENE,SYNGENE,468.05,432.15,35.9,8.31,59274654,431.95,518.55,429.9
,TATAGOLD,TATAGOLD,TATAGOLD,14.48,14.27,0.21,1.47,56119076,14.4,14.5,13.91
,RPOWER,RPOWER,RPOWER,28.77,28.99,-0.22,-0.76,48139160,28.5,29.28,28.2
,HDFCBANK,HDFCBANK,HDFCBANK,774.75,779.0,-4.25,-0.55,47998755,770.0,778.8,762.25
,TATSILV,TATSILV,TATSILV,23.12,22.78,0.34,1.49,47736778,22.71,23.34,22.57
,HCC,HCC,HCC,22.1,22.07,0.03,0.14,46678840,21.9,22.21,21.35
,DWARKESH,DWARKESH,DWARKESH,47.26,43.36,3.9,8.99,41395592,43.6,49.7,43.6
,GOLDBEES,GOLDBEES,GOLDBEES,123.33,121.58,1.75,1.44,34788645,122.7,123.62,121.68
,RENUKA,RENUKA,RENUKA,29.3,28.31,0.99,3.5,34502981,28.45,29.78,28.19
,SAMMAANCAP,SAMMAANCAP,SAMMAANCAP,145.38,141.09,4.29,3.04,34222093,140.49,146.02,138.75
,INOXWIND,INOXWIND,INOXWIND,100.95,102.19,-1.24,-1.21,32561746,101.8,102.2,98.19
