Index,scId,StockName,type,currTrend,currPrice,performance,trendChngDate,trendChngPrice,updatedTime
NIFTY MIDCAP100,BFC,Bharat Forge,Stock,Very Bullish,"2,190.50",14.19,"25 May, 2026","1,918.30",Jul 17 | 15:58
NIFTY MIDCAP100,OR,Oberoi Realty,Stock,Very Bullish,"1,894.80",13.50,"15 Jun, 2026","1,669.40",Jul 17 | 15:59
NIFTY MIDCAP100,ABC07,AB Capital,Stock,Very Bullish,401.55,12.13,"12 Jun, 2026",358.10,Jul 17 | 15:59
NIFTY MIDCAP100,MI25,Marico,Stock,Bullish,844.00,11.45,"17 Apr, 2026",757.30,Jul 17 | 15:49
NIFTY MIDCAP100,MOF01,Motilal Oswal,Stock,Very Bullish,967.10,8.85,"12 Jun, 2026",888.45,Jul 17 | 15:59
NIFTY MIDCAP100,LC03,Lupin,Stock,Bullish,"2,443.20",7.47,"11 Jun, 2026","2,273.30",Jul 17 | 15:59
NIFTY MIDCAP100,SRF,SRF,Stock,Very Bullish,"2,874.70",4.95,"30 Jun, 2026","2,739.00",Jul 17 | 15:57
NIFTY MIDCAP100,MP21,Mankind Pharma,Stock,Bullish,"2,484.20",4.36,"15 Jun, 2026","2,380.30",Jul 17 | 15:59
NIFTY MIDCAP100,SL23,Swiggy,Stock,Very Bullish,276.87,3.98,"07 Jul, 2026",266.27,Jul 17 | 15:59
NIFTY MIDCAP100,LSL,Lenskart Solu,Stock,Very Bullish,537.20,3.91,"22 Jun, 2026",517.00,Jul 17 | 15:56
NIFTY MIDCAP100,BHE,BHEL,Stock,Very Bullish,422.00,3.15,"13 Jul, 2026",409.10,Jul 17 | 16:00
NIFTY MIDCAP100,BFL,MphasiS,Stock,Very Bullish,"2,394.20",3.11,"10 Jul, 2026","2,321.90",Jul 17 | 15:58
NIFTY MIDCAP100,NII02,COFORGE,Stock,Very Bullish,"1,508.40",3.03,"03 Jul, 2026","1,464.00",Jul 17 | 15:59
NIFTY MIDCAP100,PS15,Persistent,Stock,Bullish,"5,183.90",2.57,"10 Jul, 2026","5,053.90",Jul 17 | 15:58
NIFTY MIDCAP100,AL16,Alkem Lab,Stock,Bullish,"5,563.00",2.48,"24 Jun, 2026","5,428.50",Jul 17 | 15:57
NIFTY MIDCAP100,SCP03,SBI Card,Stock,Bullish,654.70,2.48,"14 Jul, 2026",638.85,Jul 17 | 15:59
NIFTY MIDCAP100,BGV,Billionbrains G,Stock,Very Bullish,208.30,1.87,"10 Jul, 2026",204.47,Jul 17 | 16:00
NIFTY MIDCAP100,LEI,LG Electronics ,Stock,Bullish,"1,581.80",0.03,"16 Jul, 2026","1,581.30",Jul 17 | 15:56
