MC_Code,shortName,StockName,nsCode,currPrice,prevPrice,change,pChange,volume,open,high,low
,IDEA,IDEA,IDEA,12.63,12.8,-0.17,-1.33,204537429,12.89,12.9,12.63
,ALLCARGO,ALLCARGO,ALLCARGO,9.76,8.14,1.62,19.9,169686303,8.35,9.76,8.3
,PCJEWELLER,PCJEWELLER,PCJEWELLER,9.68,9.8,-0.12,-1.22,117626538,9.78,9.79,9.59
,MOREPENLAB,MOREPENLAB,MOREPENLAB,79.55,76.95,2.6,3.38,100581767,76.39,83.5,75.11
,GTLINFRA,GTLINFRA,GTLINFRA,1.23,1.27,-0.04,-3.15,80513830,1.28,1.28,1.22
,VOGL,VOGL,VOGL,35.89,37.1,-1.21,-3.26,77176976,37.24,37.6,35.01
,JNPR,JNPR,JNPR,262.5,225.0,17.5,7.14,69638657,245.0,264.72,232.11
,TATAGOLD,TATAGOLD,TATAGOLD,14.37,14.03,0.34,2.42,68009499,14.03,14.45,13.76
,JPPOWER,JPPOWER,JPPOWER,18.07,18.32,-0.25,-1.36,59560961,18.32,18.48,18.06
,LICI,LICI,LICI,387.55,393.0,-5.45,-1.39,57401466,387.25,391.4,387.25
,SWIGGY,SWIGGY,SWIGGY,288.65,289.9,-1.25,-0.43,51405488,290.3,305.0,285.0
,RBA,RBA,RBA,90.99,87.74,3.25,3.7,50121871,87.7,91.8,86.6
,PINELABS,PINELABS,PINELABS,156.4,147.82,8.58,5.8,46391035,148.0,158.7,147.01
,OLAELEC,OLAELEC,OLAELEC,41.36,41.44,-0.08,-0.19,45760166,41.7,41.9,41.14
,HDFCBANK,HDFCBANK,HDFCBANK,734.3,735.0,-0.7,-0.1,44772122,739.0,740.5,733.55
,MOTHERSON,MOTHERSON,MOTHERSON,155.0,154.35,0.65,0.42,39983472,155.3,157.99,151.61
,CUPID,CUPID,CUPID,263.0,252.11,10.89,4.32,38625175,254.0,263.0,253.8
,YESBANK,YESBANK,YESBANK,22.68,22.97,-0.29,-1.26,37986003,22.97,23.06,22.68
,VISL,VISL,VISL,35.6,36.53,-0.93,-2.55,37539135,36.84,37.46,35.51
,SEPC,SEPC,SEPC,6.55,6.32,0.23,3.64,37031441,6.55,6.72,6.47
