scid,broker_count,buy_count,hold_count,sell_count,stkname,stockShortName,cmp,change,perChange,profitPotential,stk_url,exchange,targets,targetBarColor,targetPiceLineData,targetBarColorClass,min_target_price,max_target_price,avg_target_price,total_target_price,brokers
UTI10,12,11,1,0,Axis Bank,Axis Bank,1253.90,-7.90,-0.63,15.3,banks-private-sector/axisbank/AB16,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 1253.9, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 1270, 'percentages': 1.2, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1446.6, 'percentages': 15.3, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 1622, 'percentages': 29.3, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 29.35, 'minRangePer': 4.36, 'maxRanegPer': 52.33, 'rangeDiffPer': 47.97, 'mindiff_total': 1.28, 'maxdiff_total': 15.36}",#52B974,,,,,
IT,11,10,0,1,Infosys,Infosys,1174.00,6.50,0.56,32.7,computers-software/infosys/IT,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 940, 'percentages': -19.9, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 1174, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1558.5, 'percentages': 32.7, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 2154, 'percentages': 83.4, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 129.14, 'minRangePer': 19.27, 'maxRanegPer': 50.94, 'rangeDiffPer': 31.67, 'mindiff_total': 24.89, 'maxdiff_total': 65.79}",#52B974,,,,,
BA06,10,9,1,0,Bajaj Auto,Bajaj Auto,11800.00,200.00,1.72,-2.1,auto-23-wheelers/bajajauto/BA10,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 9770, 'percentages': -17.2, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 11543.9, 'percentages': -2.1, 'color': 'blue'}, {'id': 'cmp', 'name': 'Current Price', 'value': 11800, 'percentages': '', 'color': 'white'}, {'id': 'max_target_price', 'name': 'High', 'value': 13700, 'percentages': 16.1, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'red', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 40.22, 'minRangePer': 45.12, 'maxRanegPer': 51.64, 'rangeDiffPer': 6.52, 'mindiff_total': 18.15, 'maxdiff_total': 20.77}",#E3515C,,,,,
PS15,10,7,1,2,Persistent Systems,Persistent,5520.00,21.00,0.38,7.5,computers-software/persistentsystems/PS15,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 5000, 'percentages': -9.4, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 5520, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 5936.5, 'percentages': 7.5, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 6600, 'percentages': 19.5, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 32, 'minRangePer': 32.5, 'maxRanegPer': 58.53, 'rangeDiffPer': 26.03, 'mindiff_total': 10.4, 'maxdiff_total': 18.73}",#52B974,,,,,
HDF01,6,6,0,0,HDFC Bank,HDFC Bank,735.00,-7.00,-0.94,101.5,banks-private-sector/hdfcbank/HDF01,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 735, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 963, 'percentages': 31, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1014.3, 'percentages': 37.9, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 1050, 'percentages': 42.8, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 42.85, 'minRangePer': 72.39, 'maxRanegPer': 88.65, 'rangeDiffPer': 16.26, 'mindiff_total': 31.02, 'maxdiff_total': 37.99}",#52B974,,,,,
BAF,7,6,0,1,Bajaj Finance,Bajaj Finance,1158.80,9.80,0.85,207.1,finance-nbfc/bajajfinance/BAF,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 950, 'percentages': -18, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1116.4, 'percentages': -3.6, 'color': 'blue'}, {'id': 'cmp', 'name': 'Current Price', 'value': 1158.8, 'percentages': '', 'color': 'white'}, {'id': 'max_target_price', 'name': 'High', 'value': 1300, 'percentages': 12.1, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'red', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 36.84, 'minRangePer': 47.52, 'maxRanegPer': 59.63, 'rangeDiffPer': 12.11, 'mindiff_total': 17.51, 'maxdiff_total': 21.97}",#E3515C,,,,,
MU01,10,9,0,1,Maruti Suzuki India,Maruti Suzuki,14190.00,22.00,0.16,12.5,auto-carsjeeps/marutisuzukiindia/MS24,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 13350, 'percentages': -5.9, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 14190, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 15967.6, 'percentages': 12.5, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 19000, 'percentages': 33.8, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 42.32, 'minRangePer': 14.86, 'maxRanegPer': 46.31, 'rangeDiffPer': 31.45, 'mindiff_total': 6.29, 'maxdiff_total': 19.6}",#52B974,,,,,
MM,9,8,0,1,Mahindra and Mahindra,M&M,3455.40,22.40,0.65,10.3,auto-carsjeeps/mahindramahindra/MM,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 2700, 'percentages': -21.8, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 3455.4, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 3812.8, 'percentages': 10.3, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 4450, 'percentages': 28.7, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 64.81, 'minRangePer': 43.15, 'maxRanegPer': 63.58, 'rangeDiffPer': 20.43, 'mindiff_total': 27.97, 'maxdiff_total': 41.21}",#52B974,,,,,
SBI,9,9,0,0,State Bank of India,SBI,1055.00,12.30,1.18,1.0,banks-public-sector/statebankindia/SBI,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 908, 'percentages': -13.9, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 1055, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1065.6, 'percentages': 1, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 1300, 'percentages': 23.2, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 43.17, 'minRangePer': 37.47, 'maxRanegPer': 40.18, 'rangeDiffPer': 2.71, 'mindiff_total': 16.18, 'maxdiff_total': 17.35}",#52B974,,,,,
LI09,9,6,0,3,LTM,LTM,4506.00,-53.00,-1.16,13.5,computers-software/ltm/LI12,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 3520, 'percentages': -21.8, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 4506, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 5115.2, 'percentages': 13.5, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 6673, 'percentages': 48, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 89.57, 'minRangePer': 31.27, 'maxRanegPer': 50.58, 'rangeDiffPer': 19.3, 'mindiff_total': 28.01, 'maxdiff_total': 45.31}",#52B974,,,,,
