SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
ADVENZYMES, EQ, 02-Jul-2026, 314.60, 319.55, 326.55, 298.50, 311.00, 313.45, 309.38, 1582589, 4896.26, 20540, 982794, 62.10
AEGISLOG, EQ, 02-Jul-2026, 1254.70, 1245.00, 1335.00, 1221.20, 1304.90, 1321.90, 1292.69, 4447583, 57493.65, 110108, 1013114, 22.78
AEGISVOPAK, EQ, 02-Jul-2026, 235.50, 236.20, 237.00, 230.41, 235.09, 234.73, 234.29, 961446, 2252.54, 29357, 584686, 60.81
AEPL, EQ, 02-Jul-2026, 17.43, 17.60, 17.90, 17.02, 17.39, 17.08, 17.41, 10493, 1.83, 112, 8155, 77.72
AEQUS, EQ, 02-Jul-2026, 237.86, 240.20, 240.57, 228.40, 231.00, 230.44, 234.73, 6735963, 15811.09, 51581, 2024129, 30.05
AEROENTER, EQ, 02-Jul-2026, 139.89, 140.59, 143.90, 135.18, 136.85, 136.66, 138.58, 873462, 1210.47, 8754, 333600, 38.19
AEROFLEX, EQ, 02-Jul-2026, 488.50, 500.00, 508.00, 468.00, 478.40, 478.40, 486.84, 2036402, 9913.94, 34265, 695268, 34.14
AERON, SM, 02-Jul-2026, 76.50, 77.95, 82.00, 77.95, 82.00, 82.00, 79.27, 20000, 15.85, 15, 20000, 100.00
AERONEU, EQ, 02-Jul-2026, 95.11, 94.89, 94.89, 89.01, 91.00, 89.72, 92.13, 90207, 83.10, 798, 33407, 37.03
AESTHETIK, SM, 02-Jul-2026, 73.45, 75.80, 75.80, 75.80, 75.80, 75.80, 75.80, 1000, 0.76, 1, 1000, 100.00
AETHER, EQ, 02-Jul-2026, 1326.90, 1326.50, 1377.00, 1309.60, 1373.00, 1372.40, 1361.54, 456847, 6220.16, 49251, 214969, 47.05
AFCONS, EQ, 02-Jul-2026, 309.00, 307.95, 315.10, 307.60, 314.15, 314.40, 311.74, 267103, 832.67, 7818, 117682, 44.06
AFFLE, EQ, 02-Jul-2026, 1430.90, 1439.10, 1469.80, 1432.00, 1458.00, 1458.20, 1456.56, 193329, 2815.96, 17950, 111879, 57.87
AFFORDABLE, BE, 02-Jul-2026, 173.26, 170.00, 174.00, 170.00, 173.70, 172.36, 171.42, 17653, 30.26, 213, -, -
AFIL, BE, 02-Jul-2026, 10.52, 10.35, 10.60, 10.30, 10.45, 10.36, 10.41, 165200, 17.19, 351, -, -
AFSL, EQ, 02-Jul-2026, 201.29, 201.04, 203.59, 201.00, 201.00, 201.15, 201.19, 13059, 26.27, 299, 9394, 71.94
AGARIND, EQ, 02-Jul-2026, 529.70, 526.00, 555.00, 526.00, 547.45, 547.60, 544.51, 52873, 287.90, 4680, 20770, 39.28
AGARWALEYE, EQ, 02-Jul-2026, 469.05, 469.05, 479.85, 467.90, 479.40, 476.60, 472.84, 66499, 314.43, 9936, 37882, 56.97
AGARWALTUF, SM, 02-Jul-2026, 132.00, 132.00, 136.90, 132.00, 132.00, 132.00, 133.39, 45600, 60.83, 31, 34800, 76.32
AGI, EQ, 02-Jul-2026, 700.85, 704.00, 720.50, 697.15, 700.00, 702.70, 710.84, 112274, 798.09, 7490, 50634, 45.10
AGIIL, EQ, 02-Jul-2026, 360.35, 361.95, 366.05, 352.50, 356.80, 357.55, 358.71, 1198957, 4300.76, 10992, 279098, 23.28
AGNI, SM, 02-Jul-2026, 18.60, 18.60, 18.60, 17.80, 17.80, 17.80, 17.93, 17500, 3.14, 4, 17500, 100.00
AGRITECH, BE, 02-Jul-2026, 114.00, 114.00, 116.00, 111.01, 112.93, 112.60, 113.25, 2971, 3.36, 47, -, -
AGROPHOS, EQ, 02-Jul-2026, 30.83, 30.62, 31.68, 30.50, 30.94, 30.76, 31.04, 29609, 9.19, 199, 19944, 67.36
AGUL, SM, 02-Jul-2026, 63.90, 60.75, 60.75, 60.75, 60.75, 60.75, 60.75, 2000, 1.22, 1, 2000, 100.00
AHCL, EQ, 02-Jul-2026, 15.90, 15.96, 16.14, 15.85, 15.93, 15.90, 15.97, 3450989, 550.98, 4517, 1503711, 43.57
AHLADA, EQ, 02-Jul-2026, 38.51, 39.55, 39.90, 38.30, 38.78, 38.71, 38.79, 12506, 4.85, 141, 8425, 67.37
AHLEAST, EQ, 02-Jul-2026, 144.72, 147.10, 147.10, 144.00, 144.10, 144.89, 145.20, 4452, 6.46, 56, 3515, 78.95
AHLUCONT, EQ, 02-Jul-2026, 843.90, 844.00, 859.95, 841.15, 852.30, 856.15, 849.49, 20600, 175.00, 3683, 12632, 61.32
AHLWEST, BE, 02-Jul-2026, 588.20, 558.80, 615.00, 558.80, 582.90, 582.90, 595.23, 129, 0.77, 14, -, -
AIAENG, EQ, 02-Jul-2026, 4996.00, 5019.00, 5038.50, 4760.00, 4809.00, 4800.00, 4830.57, 131346, 6344.77, 24475, 75119, 57.19
AIIL, EQ, 02-Jul-2026, 513.95, 514.95, 529.80, 510.00, 525.00, 523.00, 520.89, 404652, 2107.80, 17638, 145617, 35.99
AIMTRON, SM, 02-Jul-2026, 1234.95, 1235.00, 1260.00, 1226.30, 1242.00, 1243.25, 1245.02, 16200, 201.69, 73, 9600, 59.26
AIRAN, EQ, 02-Jul-2026, 15.97, 16.25, 16.25, 16.00, 16.15, 16.15, 16.15, 36965, 5.97, 191, 24931, 67.44
AIROLAM, EQ, 02-Jul-2026, 95.25, 94.02, 95.31, 89.00, 92.00, 92.40, 91.58, 15205, 13.92, 214, 12561, 82.61
AISL, SM, 02-Jul-2026, 54.95, 57.65, 57.65, 57.65, 57.65, 57.65, 57.65, 6600, 3.80, 11, 6600, 100.00
AJANTPHARM, EQ, 02-Jul-2026, 3347.50, 3358.70, 3360.00, 3293.90, 3340.00, 3345.30, 3333.11, 76713, 2556.93, 15825, 27314, 35.61
AJAXENGG, EQ, 02-Jul-2026, 539.85, 540.30, 549.40, 539.70, 547.00, 543.75, 543.70, 20274, 110.23, 1649, 10091, 49.77
AJMERA, EQ, 02-Jul-2026, 133.10, 132.24, 136.25, 132.24, 134.50, 135.00, 134.42, 800054, 1075.41, 8154, 314523, 39.31
AJOONI, EQ, 02-Jul-2026, 3.73, 3.76, 3.91, 3.76, 3.79, 3.80, 3.83, 493405, 18.89, 549, 350418, 71.02
AKANKSHA, ST, 02-Jul-2026, 86.00, 86.00, 89.00, 84.05, 85.00, 85.00, 87.60, 35000, 30.66, 8, 35000, 100.00
AKASH, EQ, 02-Jul-2026, 26.24, 26.24, 26.98, 26.06, 26.75, 26.75, 26.72, 1975, 0.53, 27, 1776, 89.92
AKCAPIT, EQ, 02-Jul-2026, 1754.80, 1754.80, 1770.00, 1744.40, 1765.00, 1765.40, 1766.27, 2213, 39.09, 120, 2020, 91.28
AKG, EQ, 02-Jul-2026, 10.87, 10.67, 11.50, 10.67, 11.03, 11.23, 11.20, 12992, 1.46, 75, 10459, 80.50
AKI, EQ, 02-Jul-2026, 4.74, 4.74, 5.11, 4.70, 5.00, 4.90, 4.87, 55201, 2.69, 115, 50845, 92.11
AKIKO, ST, 02-Jul-2026, 286.00, 273.05, 285.00, 273.05, 285.00, 279.80, 278.82, 6400, 17.84, 8, 6400, 100.00
AKSHAR, EQ, 02-Jul-2026, 0.43, 0.43, 0.46, 0.43, 0.45, 0.45, 0.45, 1726533, 7.74, 314, 872623, 50.54
AKSHARCHEM, BE, 02-Jul-2026, 242.90, 239.00, 239.00, 230.76, 232.00, 233.64, 233.22, 7471, 17.42, 99, -, -
AKSHOPTFBR, BE, 02-Jul-2026, 6.86, 6.73, 6.73, 6.73, 6.73, 6.73, 6.73, 32384, 2.18, 93, -, -
AKUMS, EQ, 02-Jul-2026, 630.85, 633.00, 640.00, 629.30, 637.90, 637.45, 635.50, 182599, 1160.42, 10380, 91663, 50.20
ALANKIT, EQ, 02-Jul-2026, 8.15, 8.25, 8.30, 8.06, 8.17, 8.09, 8.13, 149728, 12.17, 411, 120076, 80.20
ALBERTDAVD, EQ, 02-Jul-2026, 717.25, 711.00, 720.85, 711.00, 716.60, 715.30, 715.44, 414, 2.96, 61, 307, 74.15
ALCODIS, ST, 02-Jul-2026, 71.90, 74.95, 74.95, 74.95, 74.95, 74.95, 74.95, 625, 0.47, 1, 625, 100.00
ALEMBICLTD, EQ, 02-Jul-2026, 91.54, 91.91, 93.90, 91.54, 93.20, 93.31, 93.00, 416644, 387.49, 3051, 214955, 51.59
ALGOQUANT, EQ, 02-Jul-2026, 57.04, 57.49, 59.34, 56.23, 59.34, 58.17, 57.18, 1238290, 708.02, 3623, 568621, 45.92
ALICON, EQ, 02-Jul-2026, 660.55, 663.00, 663.00, 646.50, 648.50, 649.20, 651.37, 12507, 81.47, 639, 10329, 82.59
ALIVUS, EQ, 02-Jul-2026, 1136.40, 1144.00, 1192.00, 1144.00, 1153.00, 1159.20, 1166.83, 310932, 3628.05, 15210, 225619, 72.56
ALKALI, BE, 02-Jul-2026, 82.00, 82.50, 85.00, 82.50, 84.99, 84.99, 84.03, 1720, 1.45, 40, -, -
ALKEM, EQ, 02-Jul-2026, 5567.50, 5545.00, 5576.00, 5487.00, 5499.00, 5500.50, 5517.56, 163412, 9016.35, 26201, 106393, 65.11
ALKYLAMINE, EQ, 02-Jul-2026, 1765.90, 1770.00, 1849.00, 1763.60, 1830.00, 1827.90, 1818.95, 135056, 2456.60, 19542, 34753, 25.73
ALLCARGO, EQ, 02-Jul-2026, 8.19, 8.26, 8.48, 8.21, 8.39, 8.37, 8.36, 5142904, 430.16, 4946, 2616950, 50.88
ALLDIGI, EQ, 02-Jul-2026, 803.50, 796.10, 840.35, 796.10, 825.00, 822.10, 825.12, 8096, 66.80, 745, 4117, 50.85
ALLETEC, ST, 02-Jul-2026, 136.85, 136.90, 143.45, 134.05, 142.75, 142.75, 138.70, 14800, 20.53, 32, 14000, 94.59
ALLTIME, EQ, 02-Jul-2026, 239.33, 239.33, 257.99, 239.33, 255.20, 255.32, 249.25, 263426, 656.58, 6445, 103186, 39.17
ALMONDZ, EQ, 02-Jul-2026, 13.05, 13.00, 13.24, 13.00, 13.24, 13.17, 13.18, 528451, 69.63, 133, 526364, 99.61
ALOKINDS, EQ, 02-Jul-2026, 12.95, 13.04, 13.38, 12.95, 13.36, 13.27, 13.18, 5530705, 729.20, 5647, 3829694, 69.24
ALPA, EQ, 02-Jul-2026, 68.89, 68.89, 70.00, 68.73, 69.10, 69.09, 69.15, 6161, 4.26, 84, 2702, 43.86
ALPEXSOLAR, SM, 02-Jul-2026, 896.15, 918.00, 918.00, 855.00, 888.00, 886.85, 884.80, 38700, 342.42, 287, 26100, 67.44
ALPHA, EQ, 02-Jul-2026, 51.24, 51.25, 51.70, 51.24, 51.62, 51.56, 51.53, 497551, 256.37, 1686, 318760, 64.07
ALPHAETF, EQ, 02-Jul-2026, 26.24, 26.89, 26.89, 26.08, 26.17, 26.20, 26.20, 407080, 106.67, 959, 301018, 73.95
ALPHAGEO, EQ, 02-Jul-2026, 198.30, 195.00, 200.99, 194.98, 200.00, 199.69, 196.83, 4988, 9.82, 187, 3191, 63.97
ALPL30IETF, EQ, 02-Jul-2026, 27.36, 27.36, 27.54, 27.36, 27.54, 27.52, 27.47, 670600, 184.23, 854, 451256, 67.29
ALUWIND, SM, 02-Jul-2026, 47.75, 47.75, 47.75, 45.00, 46.70, 46.70, 46.23, 129000, 59.63, 40, 121500, 94.19
AMAGI, EQ, 02-Jul-2026, 540.20, 537.85, 554.30, 535.25, 542.00, 539.50, 545.44, 360458, 1966.09, 17423, 139660, 38.75
AMANTA, BE, 02-Jul-2026, 161.58, 162.00, 163.00, 153.51, 160.99, 160.12, 158.17, 157073, 248.45, 672, -, -
AMBAAUTO, SM, 02-Jul-2026, 79.85, 84.25, 84.25, 78.00, 78.05, 78.05, 79.51, 35000, 27.83, 33, 27000, 77.14
AMBALALSA, EQ, 02-Jul-2026, 31.81, 31.80, 32.50, 31.75, 31.80, 31.91, 32.01, 32104, 10.28, 340, 24304, 75.70
AMBER, EQ, 02-Jul-2026, 7451.00, 7479.00, 7496.50, 7380.00, 7406.00, 7403.50, 7433.60, 135276, 10055.87, 19506, 41320, 30.54
AMBICAAGAR, EQ, 02-Jul-2026, 24.99, 25.76, 25.76, 24.81, 25.20, 25.20, 25.13, 1464, 0.37, 36, 1051, 71.79
AMBIKCO, EQ, 02-Jul-2026, 1739.10, 1777.90, 1790.00, 1741.80, 1754.50, 1748.60, 1761.54, 9666, 170.27, 1942, 5498, 56.88
AMBUJACEM, EQ, 02-Jul-2026, 418.85, 422.20, 431.50, 421.35, 429.20, 428.95, 426.72, 6105874, 26054.93, 41018, 3636548, 59.56
AMCL, SM, 02-Jul-2026, 400.95, 395.00, 402.00, 359.95, 367.00, 363.75, 380.39, 96000, 365.17, 139, 86000, 89.58
AMDIND, EQ, 02-Jul-2026, 45.82, 45.82, 46.50, 44.93, 46.00, 45.96, 45.65, 12584, 5.74, 276, 4314, 34.28
AMEYA, SM, 02-Jul-2026, 107.00, 111.95, 112.35, 110.05, 112.00, 112.00, 111.90, 13000, 14.55, 13, 10000, 76.92
AMIABLE, SM, 02-Jul-2026, 80.95, 96.90, 96.90, 69.95, 73.00, 73.00, 76.00, 8000, 6.08, 5, 4800, 60.00
AMIRCHAND, EQ, 02-Jul-2026, 147.53, 149.00, 150.00, 145.42, 147.00, 147.48, 147.89, 811853, 1200.68, 7925, 421078, 51.87
AMJLAND, EQ, 02-Jul-2026, 37.69, 38.69, 38.84, 37.23, 37.23, 37.42, 37.73, 16146, 6.09, 132, 12361, 76.56
AMNPLST, EQ, 02-Jul-2026, 190.61, 196.95, 199.50, 190.50, 192.99, 191.75, 194.88, 7672, 14.95, 388, 2085, 27.18
AMRUTANJAN, EQ, 02-Jul-2026, 550.75, 550.65, 555.70, 539.45, 541.10, 542.55, 543.10, 62925, 341.75, 3316, 37066, 58.91
ANANDRATHI, EQ, 02-Jul-2026, 1964.90, 1972.70, 2003.50, 1945.10, 1992.80, 1989.70, 1978.32, 321343, 6357.21, 15494, 156634, 48.74
ANANTAM, IV, 02-Jul-2026, 104.09, 103.51, 104.51, 103.51, 104.00, 104.09, 104.16, 14682, 15.29, 115, 14534, 98.99
ANANTRAJ, EQ, 02-Jul-2026, 516.90, 518.00, 542.00, 518.00, 538.90, 537.65, 530.73, 2163827, 11484.15, 32196, 961750, 44.45
ANDHRAPAP, EQ, 02-Jul-2026, 63.05, 63.36, 63.98, 63.00, 63.01, 63.17, 63.31, 34537, 21.86, 1268, 22968, 66.50
ANDHRSUGAR, EQ, 02-Jul-2026, 79.29, 79.70, 84.43, 79.70, 84.15, 83.85, 82.79, 550849, 456.06, 6269, 271696, 49.32
ANGELONE, EQ, 02-Jul-2026, 340.40, 340.40, 347.85, 336.20, 346.55, 346.15, 343.14, 7636906, 26204.94, 71336, 3403450, 44.57
ANIKINDS, BE, 02-Jul-2026, 45.69, 45.90, 45.90, 44.17, 44.95, 44.62, 44.48, 1649, 0.73, 25, -, -
ANKITMETAL, BZ, 02-Jul-2026, 1.48, 1.48, 1.53, 1.41, 1.49, 1.49, 1.43, 23516, 0.34, 30, -, -
ANLON, ST, 02-Jul-2026, 639.50, 637.80, 639.50, 630.00, 638.70, 631.55, 632.75, 10800, 68.34, 19, 10400, 96.30
ANMOL, EQ, 02-Jul-2026, 11.14, 11.36, 11.36, 11.12, 11.13, 11.15, 11.18, 16327, 1.83, 117, 12811, 78.47
ANNAPURNA, SM, 02-Jul-2026, 131.50, 130.15, 133.00, 129.00, 131.20, 131.15, 131.29, 33000, 43.33, 61, 25750, 78.03
ANONDITA, SM, 02-Jul-2026, 1169.65, 1194.95, 1195.00, 1180.00, 1190.00, 1188.80, 1188.17, 27600, 327.94, 58, 25200, 91.30
ANSALAPI, BZ, 02-Jul-2026, 2.88, 2.83, 2.83, 2.83, 2.83, 2.83, 2.83, 17787, 0.50, 17, -, -
ANTELOPUS, EQ, 02-Jul-2026, 796.05, 799.50, 816.00, 788.80, 805.00, 808.65, 803.30, 62013, 498.15, 3271, 36226, 58.42
ANTGRAPHIC, EQ, 02-Jul-2026, 0.80, 0.82, 0.82, 0.80, 0.80, 0.80, 0.80, 118968, 0.96, 146, 80049, 67.29
