MC_Code,shortName,StockName,open,high,low,currPrice,prevPrice,change,pChange,volume
TM4,TM4,Tech Mahindra,1495.2,1562.5,1495.2,1543.2,1483.9,59.30,4.00,5243443
IT,IT,Infosys,1175.0,1217.0,1173.7,1202.5,1160.9,41.60,3.58,19439331
CI29,CI11,Coal India,456.55,477.0,456.55,472.6,457.9,14.70,3.21,47716517
TCS,TCS,TCS,2284.0,2335.0,2280.0,2297.4,2258.9,38.50,1.70,7505095
JVS,JSW01,JSW Steel,1279.5,1304.8,1279.5,1299.4,1278.0,21.40,1.67,1388242
H,HI,Hindalco,1130.0,1150.0,1127.2,1141.3,1126.7,14.60,1.30,6934532
TIS,TIS,Tata Steel,210.0,211.4,206.5,210.57,208.02,2.55,1.23,23733470
IA05,IA04,Interglobe Avi,4525.0,4633.9,4445.8,4453.3,4405.0,48.30,1.10,1665946
W,W,Wipro,205.1,207.75,205.1,206.41,204.25,2.16,1.06,26491139
HCL02,HCL02,HCL Tech,1190.1,1212.8,1190.1,1195.1,1183.8,11.30,0.95,5970435
