MC_Code,shortName,StockName,open,high,low,currPrice,prevPrice,change,pChange,volume
IT,IT,Infosys,1162.0,1198.4,1162.0,1196.9,1142.5,54.40,4.76,32175705
HCL02,HCL02,HCL Tech,1156.0,1198.3,1152.3,1179.4,1146.6,32.80,2.86,5756760
TM4,TM4,Tech Mahindra,1446.3,1506.8,1445.6,1467.1,1430.0,37.10,2.59,6697277
Z01,Z,Eternal,240.02,249.85,238.7,247.21,241.4,5.81,2.41,33045253
TEL,TM03,TMPV,352.9,365.8,352.9,361.2,353.15,8.05,2.28,15119605
TCS,TCS,TCS,2300.0,2377.6,2297.1,2327.1,2283.2,43.90,1.92,10394707
W,W,Wipro,192.4,198.0,192.4,195.17,192.17,3.00,1.56,20534622
AE01,AE13,Adani Enterpris,2734.7,2774.5,2697.0,2725.0,2689.8,35.20,1.31,4204144
SLI03,SLI03,SBI Life Insura,1846.0,1892.0,1845.4,1881.4,1860.4,21.00,1.13,1351813
SBI,SBI,SBI,942.0,956.6,939.5,948.8,939.4,9.40,1.00,17280869
MHI,MHI,Max Healthcare,1061.6,1080.0,1054.65,1068.75,1058.55,10.20,0.96,2102863
L,T04,Trent,4041.0,4109.7,4026.1,4069.6,4032.3,37.30,0.93,518757
HSL01,HSL01,HDFC Life,603.1,617.5,603.1,610.4,604.95,5.45,0.90,1778845
PGC,PGC,Power Grid Corp,296.6,300.0,294.55,298.6,296.55,2.05,0.69,12580156
DRL,DRL,Dr Reddys Labs,1332.0,1345.0,1318.9,1335.2,1331.2,4.00,0.30,2488019
NTP,NTP,NTPC,386.7,392.75,386.05,389.4,388.3,1.10,0.28,6693518
JFS,JFS,Jio Financial,232.63,236.1,232.3,233.28,232.63,0.65,0.28,9590375
MM,MM,M&M,3099.1,3158.8,3075.0,3092.3,3083.7,8.60,0.28,3151874
BAF,BAF,Bajaj Finance,927.6,930.0,920.1,923.55,921.1,2.45,0.27,8313548
LT,LT,Larsen,3940.9,3960.0,3900.0,3921.0,3917.8,3.20,0.08,2318170
AHE,AHE,Apollo Hospital,8030.0,8093.5,7983.0,8026.0,8020.5,5.50,0.07,396261
BA06,BA10,Bajaj Auto,10198.5,10285.0,10143.0,10205.0,10198.5,6.50,0.06,151592
ITC,ITC,ITC,311.95,314.25,308.35,310.3,310.15,0.15,0.05,17519355
UTI10,AB16,Axis Bank,1238.5,1249.8,1231.3,1238.3,1237.9,0.40,0.03,9200314
