scid,broker_count,buy_count,hold_count,sell_count,stkname,stockShortName,cmp,change,perChange,profitPotential,stk_url,exchange,targets,targetBarColor,targetPiceLineData,targetBarColorClass,min_target_price,max_target_price,avg_target_price,total_target_price,brokers
BDL01,3,1,2,0,Bharat Dynamics,Bharat Dynamics,1161.00,-7.00,-0.60,38.5,aerospacedefence/bharatdynamics/BDL01,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 1161, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 1270, 'percentages': 9.3, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1608.3, 'percentages': 38.5, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 1965, 'percentages': 69.2, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 69.25, 'minRangePer': 13.54, 'maxRanegPer': 55.62, 'rangeDiffPer': 42.08, 'mindiff_total': 9.38, 'maxdiff_total': 38.52}",#52B974,,,,,
HMI01,3,3,0,0,Hyundai Motor India,Hyundai Motor,2095.00,-6.00,-0.29,17.4,automobile-passenger-cars/hyundaimotorindia/HMI01,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 2095, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 2334, 'percentages': 11.4, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 2461.3, 'percentages': 17.4, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 2600, 'percentages': 24.1, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 24.1, 'minRangePer': 47.3, 'maxRanegPer': 72.53, 'rangeDiffPer': 25.23, 'mindiff_total': 11.4, 'maxdiff_total': 17.48}",#52B974,,,,,
IHC,3,3,0,0,Indian Hotels Company,Indian Hotels,743.70,7.45,1.01,20.3,hotels/indianhotelscompany/IHC,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 743.7, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 870, 'percentages': 16.9, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 895.3, 'percentages': 20.3, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 925, 'percentages': 24.3, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 24.37, 'minRangePer': 69.67, 'maxRanegPer': 83.62, 'rangeDiffPer': 13.95, 'mindiff_total': 16.98, 'maxdiff_total': 20.38}",#52B974,,,,,
SL19,3,3,0,0,Supriya Lifescience,Supriya Lifesci,1000.90,61.80,6.58,-3.0,pharmaceuticalsdrugs/supriyalifescience/SL20,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 850, 'percentages': -15, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 970, 'percentages': -3, 'color': 'blue'}, {'id': 'cmp', 'name': 'Current Price', 'value': 1000.9, 'percentages': '', 'color': 'white'}, {'id': 'max_target_price', 'name': 'High', 'value': 1030, 'percentages': 2.9, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'red', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 21.17, 'minRangePer': 66.65, 'maxRanegPer': 83.84, 'rangeDiffPer': 17.18, 'mindiff_total': 14.11, 'maxdiff_total': 17.75}",#E3515C,,,,,
B03,3,1,2,0,BSE Limited,BSE Limited,3270.70,35.70,1.10,16.7,miscellaneous/bselimited/B08,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 3270.7, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 3530, 'percentages': 7.9, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 3818.3, 'percentages': 16.7, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 4025, 'percentages': 23, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 23.06, 'minRangePer': 34.34, 'maxRanegPer': 72.59, 'rangeDiffPer': 38.25, 'mindiff_total': 7.92, 'maxdiff_total': 16.74}",#52B974,,,,,
CGC01,3,3,0,0,Crompton Greaves Consumer Electrical,CG Consumer,223.43,1.43,0.64,46.6,electricals/cromptongreavesconsumerelectrical/CGC01,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 223.43, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 313, 'percentages': 40, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 327.6, 'percentages': 46.6, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 340, 'percentages': 52.1, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 52.17, 'minRangePer': 76.82, 'maxRanegPer': 89.36, 'rangeDiffPer': 12.54, 'mindiff_total': 40.08, 'maxdiff_total': 46.62}",#52B974,,,,,
HTL03,3,2,1,0,Hexaware Technologies,Hexaware Tech,500.00,-4.20,-0.83,24.6,it-servicesconsulting/hexawaretechnologies/HTL03,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 500, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 570, 'percentages': 13.9, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 623.3, 'percentages': 24.6, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 720, 'percentages': 43.9, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 43.99, 'minRangePer': 31.8, 'maxRanegPer': 56.03, 'rangeDiffPer': 24.23, 'mindiff_total': 13.99, 'maxdiff_total': 24.65}",#52B974,,,,,
CI02,3,2,1,0,Cummins India,Cummins,5010.00,47.50,0.96,7.9,engines/cumminsindia/CI02,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 4500, 'percentages': -10.1, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 5010, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 5407.6, 'percentages': 7.9, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 6400, 'percentages': 27.7, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 42.22, 'minRangePer': 26.83, 'maxRanegPer': 47.74, 'rangeDiffPer': 20.91, 'mindiff_total': 11.33, 'maxdiff_total': 20.16}",#52B974,,,,,
ASS01,0,0,0,0,Awfis Space Solutions,Awfis Space Sol,269.05,2.50,0.94,174.7,miscellaneous/awfisspacesolutions/ASS01,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 0, 'percentages': -100, 'color': 'red'}, {'id': 'max_target_price', 'name': 'High', 'value': 0, 'percentages': -100, 'color': 'green'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 0, 'percentages': -100, 'color': 'blue'}, {'id': 'cmp', 'name': 'Current Price', 'value': 269.05, 'percentages': '', 'color': 'white'}]","{'background': 'grey', 'position': 'right', 'color': 'red', 'colorFillPercentages': 75, 'greyLeftPercentage': 25, 'greyRightPercentage': 0}","{'totalPercentages': None, 'minRangePer': None, 'maxRanegPer': None, 'rangeDiffPer': None, 'mindiff_total': None, 'maxdiff_total': None}",#E3515C,,,,,
ACI12,3,2,1,0,Ahluwalia Contracts India,Ahluwalia,580.60,-1.80,-0.31,56.1,constructioncontracting-civil/ahluwaliacontractsindia/ACI12,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 580.6, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 780, 'percentages': 34.3, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 906.3, 'percentages': 56, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 1009, 'percentages': 73.7, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 73.78, 'minRangePer': 46.54, 'maxRanegPer': 76.02, 'rangeDiffPer': 29.47, 'mindiff_total': 34.34, 'maxdiff_total': 56.09}",#52B974,,,,,
