Category,MC_Code,BSE_Code,StockName,nsCode,currPrice,lastUpdatedTime
52WeekHigh,AI29,AI29,AksharChem,/dyes-pigments/aksharchemindia/AI29,424.0,"03 Sep, 2026|15:58"
52WeekHigh,ACW,A08,Alembic,/pharmaceuticals/alembic/A08,100.52,"03 Sep, 2026|15:59"
52WeekHigh,SET,SET,ANTELOPUS,/oil-drilling-exploration/antelopusselanenergy/SET,985.0,"03 Sep, 2026|15:59"
52WeekHigh,ABL07,ABL07,Anthem Bioscien,/pharmaceuticals-drugs/anthembiosciences/ABL07,940.0,"03 Sep, 2026|15:59"
52WeekHigh,AOS,AOS,Asian Energy,/oil-drilling-exploration/asianenergyservices/AOS,509.45,"03 Sep, 2026|15:59"
52WeekHigh,AVT,AVT02,AVT Natural,/edible-oils-solvent-extraction/avtnaturalproducts/AVT02,87.36,"03 Sep, 2026|15:57"
52WeekHigh,WS01,WS01,AYM Syntex,/textiles-processing/aymsyntex/WS01,312.0,"03 Sep, 2026|15:57"
52WeekHigh,BSI06,BSI07,Beekay Steel,/steel-medium-small/beekaysteelindustries/BSI07,404.0,"03 Sep, 2026|15:50"
52WeekHigh,BD02,BD02,Bhageria Indu,/dyes-pigments/bhageriaindustries/BD02,284.9,"03 Sep, 2026|15:50"
52WeekHigh,BMLL,BMLL,Bio Medica Lab,/pharmaceuticals-drugs/biomedicalaboratories/BMLL,164.9,"03 Sep, 2026|15:31"
52WeekHigh,BEO,BEO,Birla Cable,/cables-telephone/birlacable/BEO,347.8,"03 Sep, 2026|15:58"
52WeekHigh,BK,BPT01,Birla Precision,/machine-tools/birlaprecisiontechnologies/BPT01,42.77,"03 Sep, 2026|15:59"
52WeekHigh,BCP01,BGV,Bliss GVS,/pharmaceuticals/blissgvspharma/BGV,660.0,"03 Sep, 2026|15:59"
52WeekHigh,DD,BC15,Bodal Chemicals,/dyes-pigments/bodalchemicals/BC15,145.89,"03 Sep, 2026|15:57"
52WeekHigh,AA02,HHL,BOSCH-HCIL,/consumer-goods-white-goods/boschhomecomfortindia/HHL,1733.9,"03 Sep, 2026|15:58"
52WeekHigh,CS15,CS15,California Soft,/computers-software-medium-small/californiasoftware/CS15,43.09,"03 Sep, 2026|15:58"
52WeekHigh,CPL,CPL,Caplin Labs,/pharmaceuticals/caplinpointlaboratories/CPL,2712.0,"03 Sep, 2026|15:58"
52WeekHigh,DSL01,MMF05,Capri Global,/finance-general/capriglobalcapital/MMF05,255.0,"03 Sep, 2026|15:59"
52WeekHigh,DG01,CP10,ConfidencePetro,/miscellaneous/confidencepetroleum/CP10,82.55,"03 Sep, 2026|15:58"
52WeekHigh,CMI01,CMI01,Cyber Media,/media-entertainment/cybermediaindia/CMI01,20.86,"03 Sep, 2026|15:58"
52WeekHigh,DCB01,DCB01,DCB Bank,/banks-private-sector/dcbbank/DCB01,223.11,"03 Sep, 2026|15:59"
52WeekHigh,DI22,DI02,Deep Ind,/oil-exploration-production/deepindustries/DI02,712.0,"03 Sep, 2026|15:59"
52WeekHigh,DSK,DSK,DS Kulkarni,/construction-contracting-housing/dskulkarnidevelopers/DSK,19.42,"03 Sep, 2026|15:51"
52WeekHigh,TTI01,tTI01,E to E Transpor,/transport-infrastructure/etoetransportationinfrastructure/tTI01,348.1,"03 Sep, 2026|15:54"
52WeekHigh,EC06,EC01,Edelweiss,/finance-general/edelweissfinancialservices/EC01,127.5,"03 Sep, 2026|15:59"
52WeekHigh,DBC,EBI,Elantas Beck,/chemicals/elantasbeckindia/EBI,12197.0,"03 Sep, 2026|15:57"
52WeekHigh,EHSL,EHSL,Entero Health,/pharmaceuticals-drugs/enterohealthcaresolutions/EHSL,1810.0,"03 Sep, 2026|15:59"
52WeekHigh,FSL,FSL,Forcas Studio,/textiles-apparel/forcasstudio/FSL,240.0,"03 Sep, 2026|15:53"
52WeekHigh,FAE,FAE,Freshara Agro,/consumer-food/fresharaagroexports/FAE,470.0,"03 Sep, 2026|15:31"
52WeekHigh,GS12,GBN01,Geojit Fin,/finance-general/geojitfinancialservices/GBN01,82.97,"03 Sep, 2026|15:59"
52WeekHigh,GE07,GE02,Global Educatio,/it-education/globaleducation/GE02,119.5,"03 Sep, 2026|15:57"
52WeekHigh,GCS03,GCS03,Gretex Corporat,/finance-others/gretexcorporateservices/GCS03,575.3,"03 Sep, 2026|15:57"
52WeekHigh,GIP,GIP,Guj Ind Power,/power-generation-distribution/gujaratindustriespowerco/GIP,207.9,"03 Sep, 2026|15:58"
