MC_Code,shortName,StockName,nsCode,currPrice,prevPrice,change,pChange,volume,open,high,low
,IDEA,IDEA,IDEA,12.89,12.92,-0.03,-0.23,662095209,13.14,13.3,12.79
,PCJEWELLER,PCJEWELLER,PCJEWELLER,9.95,9.82,0.13,1.32,589168362,10.2,10.57,9.87
,VOGL,VOGL,VOGL,39.64,39.73,-0.09,-0.23,159518246,40.5,41.3,38.76
,VISL,VISL,VISL,38.81,36.97,1.84,4.98,91473003,38.81,38.81,37.9
,ALLCARGO,ALLCARGO,ALLCARGO,10.37,9.75,0.62,6.36,81247120,9.73,10.47,9.45
,TATAGOLD,TATAGOLD,TATAGOLD,14.75,14.63,0.12,0.82,64442513,14.99,14.99,14.63
,MRPL,MRPL,MRPL,180.6,162.96,17.64,10.82,57521318,163.0,183.0,161.2
,ROLEXRINGS,ROLEXRINGS,ROLEXRINGS,177.21,155.26,21.95,14.14,56026330,157.18,180.0,155.73
,TATSILV,TATSILV,TATSILV,22.57,22.38,0.19,0.85,54572712,22.9,22.9,22.45
,PINELABS,PINELABS,PINELABS,167.35,161.94,5.41,3.34,50029710,162.73,171.8,159.77
,VEDPOWER,VEDPOWER,VEDPOWER,36.72,36.5,0.22,0.6,49965525,36.7,37.68,36.0
,LICI,LICI,LICI,406.0,393.0,13.0,3.31,49779915,394.4,410.45,393.2
,EMIL,EMIL,EMIL,185.02,180.77,4.25,2.35,44142568,180.9,188.84,178.1
,RHETAN,RHETAN,RHETAN,27.01,33.76,-6.75,-19.99,41881425,34.81,34.87,27.01
,SILVERBEES,SILVERBEES,SILVERBEES,222.29,220.46,1.83,0.83,39896251,224.4,225.59,220.9
,CUPID,CUPID,CUPID,277.0,262.71,14.29,5.44,37869272,265.02,277.0,264.7
,SUZLON,SUZLON,SUZLON,47.5,47.5,0.0,0.0,37012060,47.59,47.71,47.1
,OLAELEC,OLAELEC,OLAELEC,39.8,39.3,0.5,1.27,35661768,39.49,40.55,39.49
,YESBANK,YESBANK,YESBANK,22.75,22.75,0.0,0.0,31365174,22.75,22.79,22.58
,GOLDBEES,GOLDBEES,GOLDBEES,125.58,124.58,1.0,0.8,30064670,126.66,126.73,125.0
