MC_Code,shortName,StockName,nsCode,currPrice,prevPrice,change,pChange,volume,open,high,low
,PCJEWELLER,PCJEWELLER,PCJEWELLER,9.87,8.78,1.09,12.41,657572334,8.78,10.1,8.78
,VOGL,VOGL,VOGL,45.23,38.68,6.55,16.93,393536150,40.15,45.69,39.73
,IDEA,IDEA,IDEA,14.43,14.64,-0.21,-1.43,289031803,14.68,14.75,14.4
,VEDPOWER,VEDPOWER,VEDPOWER,49.0,44.21,4.79,10.83,180663243,44.8,49.49,44.58
,OLAELEC,OLAELEC,OLAELEC,45.51,45.02,0.49,1.09,128750807,45.5,46.0,44.11
,RPOWER,RPOWER,RPOWER,26.58,27.17,-0.59,-2.17,71381865,27.48,27.75,26.38
,CCAVENUE,CCAVENUE,CCAVENUE,17.42,17.31,0.11,0.64,67922468,17.5,18.75,17.25
,SAGILITY,SAGILITY,SAGILITY,41.49,39.64,1.85,4.67,67550457,40.0,42.3,39.83
,TATSILV,TATSILV,TATSILV,21.98,21.47,0.51,2.38,62066524,21.47,22.12,21.47
,PAISALO,PAISALO,PAISALO,71.5,70.84,0.66,0.93,60357650,72.0,74.9,70.93
,YESBANK,YESBANK,YESBANK,24.26,24.58,-0.32,-1.3,57142326,24.6,24.66,24.15
,ZEEL,ZEEL,ZEEL,106.92,108.31,-1.39,-1.28,51620794,108.0,108.45,103.52
,SUZLON,SUZLON,SUZLON,57.7,58.35,-0.65,-1.11,51175497,58.35,58.68,57.36
,RHIM,RHIM,RHIM,399.35,387.7,11.65,3.0,50278511,387.85,443.8,387.8
,WIPRO,WIPRO,WIPRO,174.0,170.13,3.87,2.27,43447174,169.49,174.97,169.0
,TATAGOLD,TATAGOLD,TATAGOLD,13.83,13.56,0.27,1.99,42987500,13.83,13.9,13.72
,CANBK,CANBK,CANBK,126.25,126.28,-0.03,-0.02,42931827,128.27,129.26,125.96
,ETERNAL,ETERNAL,ETERNAL,279.6,279.7,-0.1,-0.04,41301386,282.0,285.95,278.6
,JPPOWER,JPPOWER,JPPOWER,17.9,17.95,-0.05,-0.28,41111815,18.02,18.14,17.82
,ITBEES,ITBEES,ITBEES,30.0,28.63,1.37,4.79,40290563,29.35,30.03,28.91
