Index,scId,StockName,type,currTrend,currPrice,performance,trendChngDate,trendChngPrice,updatedTime
NIFTY 50,ONG,ONGC,Stock,Very Bearish,235.96,-13.90,"27 May, 2026",274.05,Jul 02 | 15:59
NIFTY 50,TCS,TCS,Stock,Very Bearish,"2,068.10",-13.72,"24 Apr, 2026","2,396.90",Jul 02 | 15:59
NIFTY 50,IT,Infosys,Stock,Very Bearish,"1,040.90",-12.35,"08 Jun, 2026","1,187.60",Jul 02 | 15:59
NIFTY 50,W,Wipro,Stock,Very Bearish,174.00,-12.29,"05 Jun, 2026",198.37,Jul 02 | 15:59
NIFTY 50,TIS,Tata Steel,Stock,Very Bearish,187.67,-9.24,"05 Jun, 2026",206.77,Jul 02 | 15:59
NIFTY 50,H,Hindalco,Stock,Very Bearish,949.20,-8.67,"10 Jun, 2026","1,039.30",Jul 02 | 15:57
NIFTY 50,HCL02,HCL Tech,Stock,Very Bearish,"1,078.10",-8.56,"03 Jun, 2026","1,179.00",Jul 02 | 15:59
NIFTY 50,RI,Reliance,Stock,Bearish,"1,303.50",-4.44,"12 May, 2026","1,364.00",Jul 02 | 15:59
NIFTY 50,TEL,TMPV,Stock,Very Bearish,345.95,-4.16,"17 Jun, 2026",360.95,Jul 02 | 16:06
NIFTY 50,TT,TATA Cons. Prod,Stock,Bearish,"1,107.20",-3.16,"01 Jun, 2026","1,143.30",Jul 02 | 15:55
NIFTY 50,CI29,Coal India,Stock,Very Bearish,438.90,-2.68,"10 Jun, 2026",451.00,Jul 02 | 15:59
NIFTY 50,BA06,Bajaj Auto,Stock,Very Bearish,"9,857.00",-2.05,"12 Jun, 2026","10,063.00",Jul 02 | 15:58
NIFTY 50,HSL01,HDFC Life,Stock,Very Bearish,571.35,-2.04,"29 Jun, 2026",583.25,Jul 02 | 15:58
NIFTY 50,JVS,JSW Steel,Stock,Very Bearish,"1,223.80",-1.48,"23 Jun, 2026","1,242.20",Jul 02 | 15:59
NIFTY 50,TM4,Tech Mahindra,Stock,Very Bearish,"1,421.30",-0.55,"12 Jun, 2026","1,429.20",Jul 02 | 15:59
NIFTY 50,BE03,Bharat Elec,Stock,Bearish,415.05,0.36,"24 Jun, 2026",413.55,Jul 02 | 15:59
NIFTY BANK,CB06,Canara Bank,Stock,Very Bearish,126.64,-2.86,"23 Jun, 2026",130.37,Jul 02 | 15:59
NIFTY BANK,PNB05,PNB,Stock,Bearish,106.91,-0.05,"29 Jun, 2026",106.96,Jul 02 | 15:59
NIFTY BANK,BOB,Bank of Baroda,Stock,Very Bearish,260.25,0.00,"02 Jul, 2026",260.25,Jul 02 | 15:59
NIFTY MIDCAP100,SL23,Swiggy,Stock,Bearish,249.00,-25.44,"18 Feb, 2026",333.95,Jul 02 | 15:59
NIFTY MIDCAP100,KPITT54265,KPIT Tech,Stock,Very Bearish,558.80,-23.76,"10 Jun, 2026",732.95,Jul 02 | 15:59
NIFTY MIDCAP100,RVN,Rail Vikas,Stock,Very Bearish,236.85,-16.40,"12 May, 2026",283.30,Jul 02 | 15:59
NIFTY MIDCAP100,SI48,Supreme Ind,Stock,Very Bearish,"3,275.60",-14.77,"19 Mar, 2026","3,843.40",Jul 02 | 15:56
NIFTY MIDCAP100,TEI,Tata Elxsi,Stock,Very Bearish,"3,671.10",-13.73,"08 Jun, 2026","4,255.40",Jul 02 | 15:59
NIFTY MIDCAP100,NAC,NALCO,Stock,Very Bearish,332.25,-12.15,"08 Jun, 2026",378.20,Jul 02 | 15:59
NIFTY MIDCAP100,OI13,Oil India,Stock,Bearish,420.20,-11.71,"09 Jun, 2026",475.95,Jul 02 | 15:59
NIFTY MIDCAP100,APT02,Astral Ltd,Stock,Very Bearish,"1,363.20",-10.52,"23 Jun, 2026","1,523.40",Jul 02 | 15:58
NIFTY MIDCAP100,PII,PI Industries,Stock,Very Bearish,"2,608.50",-10.09,"20 May, 2026","2,901.20",Jul 02 | 15:55
NIFTY MIDCAP100,PS15,Persistent,Stock,Very Bearish,"4,580.60",-9.09,"05 Jun, 2026","5,038.50",Jul 02 | 15:59
