Category,MC_Code,BSE_Code,StockName,nsCode,currPrice,lastUpdatedTime
52WeekHigh,MF23,MF13,Megastar Foods,/food-processing/megastarfoods/MF13,302.0,"30 Apr, 2026|15:56"
52WeekHigh,MT14,MT15,MTAR Tech,/aerospace-defence/mtartechnologies/MT15,5700.1,"30 Apr, 2026|15:59"
52WeekHigh,MML07,MML06,Muthoot Micro,/finance-others/muthootmicrofin/MML06,191.0,"30 Apr, 2026|15:58"
52WeekHigh,PRC,NFI,Navin Fluorine,/chemicals/navinfluorineinternational/NFI,7050.0,"30 Apr, 2026|15:58"
52WeekHigh,OLL02,OLL02,OneClick,/logistics/oneclicklogisticsindia/OLL02,375.0,"30 Apr, 2026|15:52"
52WeekHigh,SEI03,SEI03,Paisalo Digital,/finance-investments/paisalodigitalltd/SEI03,47.06,"30 Apr, 2026|15:59"
52WeekHigh,PL11,PL11,Powerica,/engineering-industrial-equipments/powerica/PL11,495.55,"30 Apr, 2026|15:59"
52WeekHigh,PWI,PWI,Precision Wires,/metals-non-ferrous/precisionwiresindia/PWI,413.9,"30 Apr, 2026|15:51"
52WeekHigh,PVL01,PVL01,Prizor Viztech,/electronic-goods/prizorviztech/PVL01,686.7,"30 Apr, 2026|15:48"
52WeekHigh,QLL01,QLL01,Quest Lab,/labs-life-sciences-services/questlaboratories/QLL01,146.0,"30 Apr, 2026|15:58"
52WeekHigh,K04,K04,R R Kabel,/cables/rrkabel/K04,1618.1,"30 Apr, 2026|15:57"
52WeekHigh,RRW,RRW,Ram Ratna Wires,/metals-non-ferrous/ramratnawires/RRW,424.5,"30 Apr, 2026|15:59"
52WeekHigh,RT11,RT11,Rhetan TMT,/iron-steel/rhetantmt/RT11,29.65,"30 Apr, 2026|15:57"
52WeekHigh,RRL04,RRL04,Rubicon Res,/pharmaceuticals-drugs/rubiconresearch/RRL04,980.0,"30 Apr, 2026|15:51"
52WeekHigh,SMPL,SMPL,Saakshi Medtech,/diversified/saakshimedtechpanels/SMPL,208.9,"30 Apr, 2026|15:40"
52WeekHigh,SLS02,SLS03,Sai Life Sci,/pharmaceuticals-drugs/sailifesciences/SLS03,1059.0,"30 Apr, 2026|15:58"
52WeekHigh,SEI04,SEI04,Schneider Infra,/power-generation-distribution/schneiderelectricinfrastructure/SEI04,1179.9,"30 Apr, 2026|15:59"
52WeekHigh,PSO,S14,Seamec,/shipping/seamec/S14,1584.0,"30 Apr, 2026|15:57"
52WeekHigh,GSC01,SA14,Setco Auto,/auto-ancillaries/setcoautomotive/SA14,27.9,"30 Apr, 2026|15:50"
52WeekHigh,JTL,JTL,SG MART,/other-construction-materials/sgmart/JTL,560.0,"30 Apr, 2026|15:59"
52WeekHigh,SCP02,SCP,Sheetal Cool Pr,/food-processing/sheetalcoolproducts/SCP,375.0,"30 Apr, 2026|15:52"
52WeekHigh,ST05,ST05,Shyam Telecom,/telecommunications-equipment/shyamtelecom/ST05,22.62,"30 Apr, 2026|15:58"
52WeekHigh,M08,M08,SIGMA ADVANCED,/aerospace-defence/sigmaadvancedsystems/M08,287.64,"30 Apr, 2026|15:57"
52WeekHigh,SPL09,SPL02,Silkflex Poly,/speciality-chemicals/silkflexpolymers/SPL02,227.1,"30 Apr, 2026|15:31"
52WeekHigh,SG14,SG08,Sky Gold,/diamond--jewellery/skygolddiamonds/SG08,460.0,"30 Apr, 2026|15:58"
52WeekHigh,SBP04,SBP04,Sona BLW,/auto-ancillaries-castings-forgings/sonablwprecisionforgings/SBP04,598.8,"30 Apr, 2026|15:59"
52WeekHigh,SIL31,SIL33,Striders Impex,/miscellaneous/stridersimpex/SIL33,73.95,"30 Apr, 2026|15:40"
52WeekHigh,TAC,TAC,Talbros Auto,/auto-ancillaries/talbrosautomotivecomponents/TAC,317.01,"30 Apr, 2026|15:56"
52WeekHigh,BNH,BNH,United Food,/consumer-food/unitedfoodbrands/BNH,336.0,"30 Apr, 2026|15:52"
52WeekHigh,VI20,VI23,V-Marc,/cables/v-marcindia/VI23,1030.0,"30 Apr, 2026|15:56"
52WeekHigh,VCL04,VCL04,VijayPD Ceutica,/pharmaceuticals-drugs/vijaypdceutical/VCL04,109.2,"30 Apr, 2026|15:54"
52WeekHigh,VT9,VT9,Voltamp Trans,/power-transmission-equipment/voltamptransformers/VT9,11824.0,"30 Apr, 2026|15:58"
