userid,instrument_type,instrument,exchange,pattern_name,comment,time_frame,sc_id,is_closed,is_deleted,end_date,meta_data,p_status,pattern_id,analyst_name,analyst_image,updated_at,created_at,updated_at_epoch,created_at_epoch,sc_name,symbol,chartType,displayLock,scanproflg
21,,,nse,Horizontal Trendline,Bullish Breakout,4 hours,,N,0,2026-09-25,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""405.75"",""pattern_type"":""buy"",""cmp"":""405.75"",""price_key"":""stk_ASH02_N"",""target_price"":""441"",""target_return_prcnt"":""8.69"",""stoploss_price"":""387"",""stoploss_prcnt"":""4.62"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178728719070.png""},""rationale"":""Price has broken above the horizontal trendline resistance, confirming a bullish breakout and signaling renewed buying momentum."",""action_type"":""add"",""created_at"":""2026-08-21 10:09:51"",""updated_at"":""2026-08-21 10:09:51""}]}",New,1787,,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,2026-08-21 10:09:51,2026-08-21 10:09:51,1787287191,1787287191,,,mc_pro_plus,Y,3
21,,,nse,Ascending Triangle,Bullish Reversal,1 day,,N,0,2026-09-04,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""611.70"",""pattern_type"":""buy"",""cmp"":""625.25"",""price_key"":""stk_BE08_N"",""target_price"":""675"",""target_return_prcnt"":""10.35"",""stoploss_price"":""568"",""stoploss_prcnt"":""7.14"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178634572369.png""},""rationale"":""Ascending Triangle pattern has broken above resistance, confirming the bullish reversal and signaling strong buying momentum."",""action_type"":""add"",""created_at"":""2026-08-10 12:38:44"",""updated_at"":""2026-08-10 12:38:44""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178721966838.png""},""rationale"":""Previous high breakout."",""action_type"":""update"",""created_at"":""2026-08-20 15:24:30"",""updated_at"":""2026-08-20 15:24:30""}]}",Updated,1756,,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,2026-08-20 15:24:30,2026-08-10 12:38:44,1787219670,1786345724,,,mc_pro_plus,Y,3
21,,,nse,Ascending Triangle,Resistance Breakout,1 day,,N,0,2026-09-25,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""1730.10"",""pattern_type"":""buy"",""cmp"":""1730.10"",""price_key"":""stk_AI72_N"",""target_price"":""1947"",""target_return_prcnt"":""12.54"",""stoploss_price"":""1590"",""stoploss_prcnt"":""8.10"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178720821554.png""},""rationale"":""The Ascending Triangle has broken above resistance, confirming a bullish breakout and signaling strong buying momentum."",""action_type"":""add"",""created_at"":""2026-08-20 12:13:37"",""updated_at"":""2026-08-20 12:13:37""}]}",New,1786,,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,2026-08-20 12:13:37,2026-08-20 12:13:37,1787208217,1787208217,,,mc_pro_plus,Y,3
21,,,nse,Rectangle Pattern,Bullish Breakout,2 hours,,N,0,2026-09-25,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""14700.00"",""pattern_type"":""buy"",""cmp"":""14700.00"",""price_key"":""stk_DT07_N"",""target_price"":""15633"",""target_return_prcnt"":""6.35"",""stoploss_price"":""14309"",""stoploss_prcnt"":""2.66"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178719999568.png""},""rationale"":""The Rectangle pattern has broken above resistance, confirming a bullish breakout and signaling renewed buying momentum."",""action_type"":""add"",""created_at"":""2026-08-20 09:56:36"",""updated_at"":""2026-08-20 09:56:36""}]}",New,1784,,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,2026-08-20 09:56:36,2026-08-20 09:56:36,1787199996,1787199996,,,mc_pro_plus,Y,3
21,,,nse,Rectangle Pattern,Resistance Breakout,1 week,,N,0,2026-10-09,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""180.46"",""pattern_type"":""buy"",""cmp"":""180.46"",""price_key"":""stk_WI03_N"",""target_price"":""210"",""target_return_prcnt"":""16.37"",""stoploss_price"":""165"",""stoploss_prcnt"":""8.57"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178712864894.png""},""rationale"":""Price has broken above the rectangle pattern, with a higher volume confirming the breakout."",""action_type"":""add"",""created_at"":""2026-08-19 14:07:29"",""updated_at"":""2026-08-19 14:07:29""}]}",New,1783,,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,2026-08-19 14:07:29,2026-08-19 14:07:29,1787128649,1787128649,,,mc_pro_plus,Y,3
21,,,nse,50DEMA Support,Bullish Chart Pattern,1 day,,N,0,2027-01-26,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""1892.90"",""pattern_type"":""buy"",""cmp"":""1892.90"",""price_key"":""stk_EPL_N"",""target_price"":""2000"",""target_return_prcnt"":""5.66"",""stoploss_price"":""1820"",""stoploss_prcnt"":""3.85"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178711361483.png""},""rationale"":""The stock price is trending bullish with higher high - higher low pattern and 50DEMA support."",""action_type"":""add"",""created_at"":""2026-08-19 09:56:56"",""updated_at"":""2026-08-19 09:56:56""}]}",New,1782,,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,2026-08-19 09:56:56,2026-08-19 09:56:56,1787113616,1787113616,,,mc_pro_plus,Y,3
21,,,nse,Inverted Head& Shoulder,Bullish Reversal,2 hours,,N,0,2026-09-18,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""80.94"",""pattern_type"":""buy"",""cmp"":""80.94"",""price_key"":""stk_IFC_N"",""target_price"":""90"",""target_return_prcnt"":""11.19"",""stoploss_price"":""75"",""stoploss_prcnt"":""7.34"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178703056670.png""},""rationale"":""The Inverted Head & Shoulders pattern has broken above the neckline, confirming the bullish reversal and signaling strengthening upward momentum."",""action_type"":""add"",""created_at"":""2026-08-18 10:52:47"",""updated_at"":""2026-08-18 10:52:47""}]}",New,1779,,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,2026-08-18 10:52:47,2026-08-18 10:52:47,1787030567,1787030567,,,mc_pro_plus,Y,3
21,,,nse,Symmetrical Triangle,On the Verge of Breakout,1 week,,N,0,2026-10-09,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""1740.80"",""pattern_type"":""buy"",""cmp"":""1740.80"",""price_key"":""stk_PF15_N"",""target_price"":""1974"",""target_return_prcnt"":""13.40"",""stoploss_price"":""1595"",""stoploss_prcnt"":""8.38"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178702729071.png""},""rationale"":""Symmetrical Triangle has formed over nearly 1.5 years and is now nearing a breakout; a move above resistance could trigger strong bullish momentum."",""action_type"":""add"",""created_at"":""2026-08-18 09:58:11"",""updated_at"":""2026-08-18 09:58:11""}]}",New,1778,,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,2026-08-18 09:58:11,2026-08-18 09:58:11,1787027291,1787027291,,,mc_pro_plus,Y,3
21,,,nse,Horizontal Trendline,Bullish Breakout,1 hour,,N,0,2026-09-11,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""1697.00"",""pattern_type"":""buy"",""cmp"":""1697.00"",""price_key"":""stk_TTL03_N"",""target_price"":""1773"",""target_return_prcnt"":""4.48"",""stoploss_price"":""1628"",""stoploss_prcnt"":""4.07"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178695504833.png""},""rationale"":""Price moved sideways under a horizontal resistance and now the price has broken above it showing a bullish breakout."",""action_type"":""add"",""created_at"":""2026-08-17 13:54:09"",""updated_at"":""2026-08-17 13:54:09""}]}",New,1776,,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,2026-08-17 13:54:09,2026-08-17 13:54:09,1786955049,1786955049,,,mc_pro_plus,Y,3
21,,,nse,Falling Trendline,Bullish Reversal,1 day,,N,0,2026-09-11,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""3614.70"",""pattern_type"":""buy"",""cmp"":""3614.70"",""price_key"":""stk_SI48_N"",""target_price"":""4049"",""target_return_prcnt"":""12.01"",""stoploss_price"":""3378"",""stoploss_prcnt"":""6.55"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178694102088.png""},""rationale"":""After nearly a year below the falling trendline, price has broken above it, signaling a potential bullish reversal and a shift in momentum toward buyers."",""action_type"":""add"",""created_at"":""2026-08-17 10:00:21"",""updated_at"":""2026-08-17 10:00:21""}]}",New,1773,,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,2026-08-17 10:00:21,2026-08-17 10:00:21,1786941021,1786941021,,,mc_pro_plus,Y,3
