MC_Code,shortName,StockName,nsCode,currPrice,prevPrice,change,pChange,volume,open,high,low
,IDEA,IDEA,IDEA,11.23,11.3,-0.07,-0.62,422871156,11.39,11.39,11.11
,GTLINFRA,GTLINFRA,GTLINFRA,1.42,1.22,0.2,16.39,341919782,1.24,1.44,1.23
,YESBANK,YESBANK,YESBANK,22.48,22.13,0.35,1.58,232834764,22.04,22.69,22.01
,MEESHO,MEESHO,MEESHO,198.2,196.28,1.92,0.98,131007903,205.0,211.34,197.5
,HFCL,HFCL,HFCL,147.0,141.46,5.54,3.92,130722218,143.95,147.67,140.21
,SUZLON,SUZLON,SUZLON,55.66,54.32,1.34,2.47,98244179,54.59,55.87,53.75
,JPPOWER,JPPOWER,JPPOWER,19.31,19.31,0.0,0.0,95901056,19.4,19.93,19.12
,TATSILV,TATSILV,TATSILV,24.32,23.82,0.5,2.1,77427857,24.14,24.34,23.86
,VEDL,VEDL,VEDL,305.6,316.4,-10.8,-3.41,64690914,319.9,322.75,303.6
,TATAGOLD,TATAGOLD,TATAGOLD,14.6,14.54,0.06,0.41,56435389,14.64,14.69,14.48
,FILATFASH,FILATFASH,FILATFASH,0.26,0.25,0.01,4.0,0,0.26,0.26,0.25
,PPLPHARMA,PPLPHARMA,PPLPHARMA,183.6,165.19,18.41,11.14,51282284,166.7,196.44,165.1
,OLAELEC,OLAELEC,OLAELEC,35.18,34.81,0.37,1.06,48920988,35.05,35.58,34.52
,TEJASNET,TEJASNET,TEJASNET,532.2,463.2,69.0,14.9,48437395,468.05,554.95,467.75
,HDFCBANK,HDFCBANK,HDFCBANK,795.55,796.55,-1.0,-0.13,46137553,794.0,801.55,788.55
,IFCI,IFCI,IFCI,64.05,61.09,2.96,4.85,43768649,61.65,64.45,61.3
,PCJEWELLER,PCJEWELLER,PCJEWELLER,9.5,9.61,-0.11,-1.14,39351401,9.65,9.67,9.39
,MOTHERSON,MOTHERSON,MOTHERSON,131.0,127.41,3.59,2.82,38333083,128.31,131.4,126.8
,BHEL,BHEL,BHEL,406.5,385.95,20.55,5.32,37208886,385.5,408.35,383.45
,ADANIPOWER,ADANIPOWER,ADANIPOWER,230.3,229.12,1.18,0.52,37064595,230.0,233.47,229.5
