Index,scId,StockName,type,currTrend,currPrice,performance,trendChngDate,trendChngPrice,updatedTime
NIFTY 500,UBB,United Brewerie,Stock,Very Bearish,"1,428.20",-11.66,"16 Mar, 2026","1,616.70",May 07 | 15:54
NIFTY 500,RI37,Redington,Stock,Bearish,224.49,-10.04,"04 Mar, 2026",249.55,May 07 | 15:59
NIFTY 500,AIS,Asahi India,Stock,Very Bearish,845.45,-9.81,"16 Feb, 2026",937.40,May 07 | 15:54
NIFTY 500,MRP,MRPL,Stock,Very Bearish,155.35,-9.73,"27 Apr, 2026",172.10,May 07 | 15:59
NIFTY 500,BHL03,Bharti Hexacom,Stock,Very Bearish,"1,515.60",-8.35,"24 Feb, 2026","1,653.70",May 07 | 15:54
NIFTY 500,GDGIL,Go Digit,Stock,Very Bearish,315.40,-4.70,"17 Mar, 2026",330.95,May 07 | 15:55
NIFTY 500,C07,Ceat,Stock,Very Bearish,"3,357.70",-3.41,"24 Apr, 2026","3,476.20",May 07 | 15:59
NIFTY 500,AT,Apollo Tyres,Stock,Very Bearish,410.05,-3.26,"24 Apr, 2026",423.85,May 07 | 15:59
NIFTY 500,TI30,Tega Industries,Stock,Very Bearish,"1,646.30",-3.15,"23 Apr, 2026","1,699.80",May 07 | 15:59
NIFTY 500,FIC,Zensar Tech,Stock,Very Bearish,520.40,-2.91,"24 Apr, 2026",536.00,May 07 | 15:59
NIFTY 500,STV01,Sun TV Network,Stock,Very Bearish,571.10,-2.58,"29 Apr, 2026",586.25,May 07 | 15:56
NIFTY 500,KPI01,Birlasoft,Stock,Very Bearish,362.20,-2.37,"28 Apr, 2026",371.00,May 07 | 15:58
NIFTY 500,P,Pfizer,Stock,Very Bearish,"4,750.60",-1.37,"21 Apr, 2026","4,816.50",May 07 | 15:58
NIFTY 500,HSA01,Bayer CropScien,Stock,Bearish,"4,636.90",-0.84,"27 Apr, 2026","4,676.30",May 07 | 15:57
NIFTY 500,II22,Indiamart Inter,Stock,Very Bearish,"2,091.00",-0.17,"04 May, 2026","2,094.50",May 07 | 15:55
NIFTY 500,PE06,PG Electroplast,Stock,Bearish,535.50,0.00,"07 May, 2026",535.50,May 07 | 15:59
NIFTY 500,TH,Honeywell Autom,Stock,Bearish,"30,605.00",0.00,"07 May, 2026","30,605.00",May 07 | 15:51
NIFTY 500,CRI,CRISIL,Stock,Bearish,"4,152.00",0.14,"05 May, 2026","4,146.20",May 07 | 15:58
NIFTY 500,SBL04,Leela Palaces,Stock,Very Bearish,420.75,0.23,"05 May, 2026",419.80,May 07 | 15:58
NIFTY 500,BSL06,Brainbees Solu,Stock,Bearish,238.71,0.77,"04 May, 2026",236.89,May 07 | 15:56
NIFTY 500,CHL02,Canara HSBC,Stock,Bearish,142.63,0.94,"30 Apr, 2026",141.30,May 07 | 15:59
NIFTY 500,EID,EID Parry,Stock,Bearish,847.35,1.21,"29 Apr, 2026",837.20,May 07 | 15:58
NIFTY 500,CDS,CDSL,Stock,Bearish,"1,269.80",2.54,"04 May, 2026","1,238.30",May 07 | 15:59
NIFTY 500,JKI,JK Tyre & Ind,Stock,Bearish,410.25,3.26,"24 Apr, 2026",397.30,May 07 | 15:59
NIFTY 500,KT06,KFin Tech,Stock,Bearish,927.55,3.56,"30 Apr, 2026",895.70,May 07 | 15:59
NIFTY 500,UA03,UTI,Stock,Bearish,974.95,5.37,"24 Apr, 2026",925.25,May 07 | 15:59
ALL NSE,SAB,Aqylon Nexus,Stock,Bearish,51.14,-97.02,"17 Feb, 2026","1,713.60",May 07 | 15:58
ALL NSE,RD03,RB Denims,Stock,Very Bearish,13.55,-91.21,"04 Mar, 2026",154.16,May 07 | 15:41
ALL NSE,PI30,Perfect Infra,Stock,Very Bearish,2.30,-80.59,"27 Jun, 2025",11.85,May 07 | 15:31
ALL NSE,BCI02,Blue Chip,Stock,Very Bearish,1.83,-74.30,"01 Apr, 2025",7.12,May 07 | 15:42
ALL NSE,FI21,Foce India,Stock,Bearish,558.00,-67.73,"17 Feb, 2026","1,729.00",May 07 | 15:31
ALL NSE,DL04,Dhariwalcorp,Stock,Very Bearish,37.05,-52.92,"06 Feb, 2026",78.70,May 07 | 15:31
ALL NSE,JT03,Jalan Transolut,Stock,Very Bearish,1.75,-50.70,"23 Jan, 2026",3.55,May 07 | 15:31
ALL NSE,GS19,Global Surfaces,Stock,Bearish,58.20,-48.43,"04 Dec, 2025",112.85,May 07 | 15:44
ALL NSE,GWI,Grauer and Weil,Stock,Bearish,70.04,-43.83,"04 Oct, 2023",124.70,May 07 | 15:45
ALL NSE,ACI13,AB Cotspin,Stock,Very Bearish,227.15,-43.41,"20 Apr, 2026",401.40,May 07 | 15:52
ALL NSE,SR11,SP Refractories,Stock,Very Bearish,98.65,-40.64,"10 Dec, 2025",166.20,May 07 | 15:31
ALL NSE,CSA,Continental See,Stock,Very Bearish,13.30,-40.22,"30 Dec, 2025",22.25,May 07 | 15:31
ALL NSE,GI11,Goodyear,Stock,Bearish,786.30,-39.29,"23 Oct, 2023","1,295.15",May 07 | 15:47
ALL NSE,LG,Lexus Granito,Stock,Very Bearish,18.97,-37.45,"19 Mar, 2026",30.33,May 07 | 15:45
ALL NSE,AAL03,ALUWIND INFRA,Stock,Very Bearish,52.00,-37.35,"10 Nov, 2025",83.00,May 07 | 15:40
ALL NSE,SLR,Shankar Lal Ram,Stock,Very Bearish,44.49,-32.34,"08 Jan, 2026",65.76,May 07 | 15:44
ALL NSE,K03,Kaya,Stock,Very Bearish,261.05,-31.53,"16 Jan, 2026",381.25,May 07 | 15:58
ALL NSE,ACM01,Avonmore Cap,Stock,Very Bearish,12.20,-29.36,"12 Jan, 2026",17.27,May 07 | 15:43
ALL NSE,QT,Quicktouch Tech,Stock,Very Bearish,27.50,-29.31,"12 Jan, 2026",38.90,May 07 | 15:53
ALL NSE,WIL01,Wakefit Inno,Stock,Bearish,132.37,-29.15,"27 Feb, 2026",186.83,May 07 | 15:58
ALL NSE,SJA01,SHUBHLAXMI,Stock,Very Bearish,23.15,-28.88,"13 Jan, 2026",32.55,May 07 | 15:31
ALL NSE,STL07,SAR Televenture,Stock,Very Bearish,153.45,-28.61,"24 Feb, 2026",214.95,May 07 | 15:53
ALL NSE,AI69,Aaron Industrie,Stock,Very Bearish,138.74,-28.20,"14 Nov, 2025",193.23,May 07 | 15:59
ALL NSE,EEL01,Eppeltone Eng,Stock,Very Bearish,114.80,-27.84,"13 Feb, 2026",159.10,May 07 | 15:31
ALL NSE,EI16,Landsmill Green,Stock,Very Bearish,0.96,-27.27,"06 Jan, 2026",1.32,May 07 | 15:56
ALL NSE,TI29,Transwind Infra,Stock,Very Bearish,15.25,-26.86,"09 Mar, 2026",20.85,May 07 | 15:31
ALL NSE,SBL05,Sheel Biotech,Stock,Bearish,45.75,-26.51,"19 Feb, 2026",62.25,May 07 | 15:31
ALL NSE,KHF01,KHFM HOSPITALIT,Stock,Very Bearish,50.00,-26.47,"17 Feb, 2026",68.00,May 07 | 15:41
ALL NSE,TLI02,Timescan Logist,Stock,Bearish,42.00,-25.66,"12 Dec, 2025",56.50,May 07 | 15:31
ALL NSE,FR01,Fonebox Retail,Stock,Very Bearish,65.05,-24.54,"20 Feb, 2026",86.20,May 07 | 15:40
ALL NSE,NLH,Nidan Laborator,Stock,Very Bearish,14.65,-24.09,"08 Dec, 2025",19.30,May 07 | 15:48
ALL NSE,SSF09,Srivari Spices,Stock,Very Bearish,99.90,-23.45,"19 Mar, 2026",130.50,May 07 | 15:42
ALL NSE,ALC,Aban Offshore,Stock,Very Bearish,16.26,-22.68,"06 Apr, 2026",21.03,May 07 | 15:53
ALL NSE,DSS03,R M Drip Spri,Stock,Very Bearish,19.99,-22.46,"13 Apr, 2026",25.78,May 07 | 15:46
ALL NSE,BPL11,Balaji Phosphat,Stock,Very Bearish,101.00,-22.31,"18 Mar, 2026",130.00,May 07 | 15:31
