MC_Code,shortName,StockName,nsCode,currPrice,prevPrice,change,pChange,volume,open,high,low
,IDEA,IDEA,IDEA,14.62,14.46,0.16,1.11,423814945,14.46,14.85,14.35
,RPOWER,RPOWER,RPOWER,27.06,24.84,2.22,8.94,347938381,25.14,29.4,24.97
,OLAELEC,OLAELEC,OLAELEC,44.92,43.76,1.16,2.65,274002773,43.97,45.9,43.85
,VEDPOWER,VEDPOWER,VEDPOWER,44.65,40.28,4.37,10.85,208285426,40.39,47.24,39.84
,VOGL,VOGL,VOGL,38.68,32.24,6.44,19.98,165527150,32.4,38.68,31.93
,VISL,VISL,VISL,38.78,35.26,3.52,9.98,113217339,36.48,38.78,36.25
,CCAVENUE,CCAVENUE,CCAVENUE,17.45,16.49,0.96,5.82,100705472,16.49,18.1,16.49
,JPPOWER,JPPOWER,JPPOWER,17.91,17.67,0.24,1.36,100479455,17.7,18.4,17.7
,RITES,RITES,RITES,230.8,204.51,26.29,12.86,96672487,207.37,241.3,206.0
,YESBANK,YESBANK,YESBANK,24.5,24.18,0.32,1.32,93513120,24.25,24.65,24.07
,PAISALO,PAISALO,PAISALO,70.4,59.1,11.3,19.12,89746472,60.1,70.92,60.1
,ETERNAL,ETERNAL,ETERNAL,280.0,264.6,15.4,5.82,66845146,266.3,280.6,265.3
,ZEEL,ZEEL,ZEEL,108.2,103.51,4.69,4.53,65730657,105.0,112.25,104.6
,SAKSOFT,SAKSOFT,SAKSOFT,186.04,206.71,-20.67,-10.0,64754456,210.84,217.33,186.04
,SUZLON,SUZLON,SUZLON,58.34,58.9,-0.56,-0.95,58782670,59.06,59.31,58.13
,TATAGOLD,TATAGOLD,TATAGOLD,13.59,13.63,-0.04,-0.29,53793543,13.75,13.89,13.45
,TATSILV,TATSILV,TATSILV,21.5,21.64,-0.14,-0.65,52633292,21.64,21.69,21.27
,IFCI,IFCI,IFCI,76.33,74.88,1.45,1.94,43039601,75.34,77.6,74.89
,ASHOKLEY,ASHOKLEY,ASHOKLEY,162.05,157.7,4.35,2.76,41112595,157.89,165.75,157.89
,MOREPENLAB,MOREPENLAB,MOREPENLAB,62.82,59.12,3.7,6.26,39665563,59.79,63.4,58.82
