MC_Code,shortName,StockName,open,high,low,currPrice,prevPrice,change,pChange,volume
TIS,TIS,Tata Steel,211.0,211.82,205.05,209.71,216.84,-7.13,-3.29,73796001
PGC,PGC,Power Grid Corp,296.3,298.45,290.2,296.55,305.85,-9.30,-3.04,16036198
SBI,SBI,SBI,952.0,954.9,933.9,939.4,963.2,-23.80,-2.47,16554877
NTP,NTP,NTPC,393.0,393.85,384.9,388.3,395.25,-6.95,-1.76,7632596
BA06,BA10,Bajaj Auto,10325.0,10326.0,10144.5,10198.5,10377.5,-179.00,-1.72,295753
L,T04,Trent,4051.0,4068.7,3980.6,4032.3,4101.3,-69.00,-1.68,1080689
MU01,MS24,Maruti Suzuki,13127.0,13139.0,12850.0,13016.0,13221.0,-205.00,-1.55,373184
EM,EM,Eicher Motors,6970.0,6974.5,6813.0,6913.0,7014.5,-101.50,-1.45,316357
H,HI,Hindalco,1050.0,1060.0,1044.0,1053.1,1067.5,-14.40,-1.35,4023849
MM,MM,M&M,3100.0,3111.7,3050.0,3083.7,3123.1,-39.40,-1.26,1962357
AE01,AE13,Adani Enterpris,2700.0,2710.0,2647.5,2689.8,2716.0,-26.20,-0.96,2033884
TEL,TM03,TMPV,354.8,358.25,351.1,353.15,356.55,-3.40,-0.95,10409685
IA05,IA04,Interglobe Avi,4268.1,4293.9,4226.0,4275.7,4314.9,-39.20,-0.91,524880
HL,HU,HUL,2263.1,2265.0,2224.7,2254.2,2272.2,-18.00,-0.79,1118204
AHE,AHE,Apollo Hospital,8062.5,8099.0,8006.0,8020.5,8082.5,-62.00,-0.77,323387
ONG,ONG,ONGC,299.35,300.7,295.1,297.2,299.35,-2.15,-0.72,10521642
HSL01,HSL01,HDFC Life,600.7,608.0,594.05,604.95,608.7,-3.75,-0.62,3980665
UTI10,AB16,Axis Bank,1239.0,1242.0,1222.1,1237.9,1244.8,-6.90,-0.55,6052023
STF,STF,Shriram Finance,923.8,937.65,911.0,933.7,937.9,-4.20,-0.45,5232089
MPS,MPS,Adani Ports,1785.5,1793.0,1745.0,1787.7,1795.1,-7.40,-0.41,2562978
C,C,Cipla,1422.0,1442.1,1411.8,1426.2,1432.1,-5.90,-0.41,2013605
DRL,DRL,Dr Reddys Labs,1336.5,1341.9,1322.0,1331.2,1336.7,-5.50,-0.41,1926791
TT,TT,TATA Cons. Prod,1230.7,1233.4,1215.1,1231.0,1234.0,-3.00,-0.24,1494098
SLI03,SLI03,SBI Life Insura,1846.0,1867.5,1825.3,1860.4,1864.5,-4.10,-0.22,746942
JFS,JFS,Jio Financial,230.0,233.33,227.21,232.63,233.06,-0.43,-0.18,13156630
RI,RI,Reliance,1334.0,1342.0,1318.7,1335.9,1336.4,-0.50,-0.04,13022473
CI29,CI11,Coal India,462.0,468.5,457.05,462.1,462.2,-0.10,-0.02,7735499
