Index,scId,StockName,type,currTrend,currPrice,performance,trendChngDate,trendChngPrice,updatedTime
NIFTY 50,HDF01,HDFC Bank,Stock,Bearish,782.55,-19.94,"05 Jan, 2026",977.50,Apr 28 | 16:09
NIFTY 50,MU01,Maruti Suzuki,Stock,Very Bearish,"12,892.00",-13.23,"27 Feb, 2026","14,857.00",Apr 28 | 15:59
NIFTY 50,MM,M&M,Stock,Very Bearish,"3,088.10",-12.60,"13 Feb, 2026","3,533.40",Apr 28 | 15:59
NIFTY 50,IT,Infosys,Stock,Very Bearish,"1,152.10",-10.86,"10 Apr, 2026","1,292.50",Apr 28 | 16:09
NIFTY 50,HCL02,HCL Tech,Stock,Very Bearish,"1,196.00",-6.95,"22 Apr, 2026","1,285.30",Apr 28 | 16:09
NIFTY 50,HSL01,HDFC Life,Stock,Very Bearish,590.15,-3.21,"20 Apr, 2026",609.75,Apr 28 | 16:09
NIFTY 50,SLI03,SBI Life Insura,Stock,Very Bearish,"1,808.30",-1.08,"23 Apr, 2026","1,828.10",Apr 28 | 15:59
NIFTY 50,TM4,Tech Mahindra,Stock,Very Bearish,"1,408.10",-0.94,"23 Apr, 2026","1,421.50",Apr 28 | 15:59
NIFTY 50,STF,Shriram Finance,Stock,Bearish,953.25,0.00,"28 Apr, 2026",953.25,Apr 28 | 15:59
NIFTY 50,ICI02,ICICI Bank,Stock,Bearish,"1,292.00",0.00,"28 Apr, 2026","1,292.00",Apr 28 | 15:59
NIFTY 50,BF04,Bajaj Finserv,Stock,Bearish,"1,779.00",0.00,"28 Apr, 2026","1,779.00",Apr 28 | 16:09
NIFTY 50,IA05,Interglobe Avi,Stock,Bearish,"4,442.40",0.00,"28 Apr, 2026","4,442.40",Apr 28 | 15:58
NIFTY 50,TCS,TCS,Stock,Very Bearish,"2,444.70",1.99,"24 Apr, 2026","2,396.90",Apr 28 | 16:09
NIFTY BANK,PNB05,PNB,Stock,Bearish,111.39,-8.22,"04 Mar, 2026",121.37,Apr 28 | 16:09
NIFTY BANK,UBI01,Union Bank,Stock,Very Bearish,170.48,0.00,"28 Apr, 2026",170.48,Apr 28 | 16:09
NIFTY BANK,BOB,Bank of Baroda,Stock,Bearish,267.83,0.00,"28 Apr, 2026",267.83,Apr 28 | 16:09
NIFTY MIDCAP100,SCP03,SBI Card,Stock,Very Bearish,647.45,-16.50,"26 Feb, 2026",775.40,Apr 28 | 15:59
NIFTY MIDCAP100,SL23,Swiggy,Stock,Bearish,282.30,-15.47,"18 Feb, 2026",333.95,Apr 28 | 15:59
NIFTY MIDCAP100,RSI,Patanjali Foods,Stock,Very Bearish,463.85,-10.58,"25 Feb, 2026",518.75,Apr 28 | 15:58
NIFTY MIDCAP100,SI48,Supreme Ind,Stock,Very Bearish,"3,631.90",-5.50,"19 Mar, 2026","3,843.40",Apr 28 | 15:57
NIFTY MIDCAP100,PS15,Persistent,Stock,Very Bearish,"4,803.50",-5.32,"22 Apr, 2026","5,073.30",Apr 28 | 15:58
NIFTY MIDCAP100,TEI,Tata Elxsi,Stock,Very Bearish,"4,131.60",-2.41,"23 Apr, 2026","4,233.50",Apr 28 | 16:09
NIFTY MIDCAP100,HHM,Hero Motocorp,Stock,Very Bearish,"5,068.00",-1.77,"16 Apr, 2026","5,159.50",Apr 28 | 15:59
NIFTY MIDCAP100,NII02,COFORGE,Stock,Very Bearish,"1,200.90",-1.61,"23 Apr, 2026","1,220.60",Apr 28 | 15:58
NIFTY MIDCAP100,MRF,MRF,Stock,Very Bearish,"130,120.00",-1.53,"24 Apr, 2026","132,145.00",Apr 28 | 16:09
NIFTY MIDCAP100,BI26,INDUS TOWERS,Stock,Bearish,413.95,-1.50,"15 Apr, 2026",420.25,Apr 28 | 16:09
NIFTY MIDCAP100,ILG,ICICI Lombard ,Stock,Very Bearish,"1,771.80",-0.02,"24 Apr, 2026","1,772.10",Apr 28 | 15:59
NIFTY MIDCAP100,BT09,APL Apollo,Stock,Very Bearish,"1,976.00",0.00,"28 Apr, 2026","1,976.00",Apr 28 | 15:59
NIFTY MIDCAP100,AL,Ashok Leyland,Stock,Bearish,167.52,0.00,"28 Apr, 2026",167.52,Apr 28 | 16:09
NIFTY MIDCAP100,BOI,Bank of India,Stock,Bearish,144.25,0.00,"28 Apr, 2026",144.25,Apr 28 | 16:09
NIFTY MIDCAP100,IB04,Indian Bank,Stock,Bearish,896.10,0.00,"28 Apr, 2026",896.10,Apr 28 | 15:59
NIFTY MIDCAP100,CF06,Coromandel Int,Stock,Very Bearish,"2,010.70",0.77,"24 Apr, 2026","1,995.30",Apr 28 | 15:57
NIFTY MIDCAP100,APT02,Astral Ltd,Stock,Very Bearish,"1,548.90",0.91,"27 Apr, 2026","1,535.00",Apr 28 | 15:58
NIFTY MIDCAP100,HI01,Havells India,Stock,Bearish,"1,272.20",0.94,"23 Apr, 2026","1,260.30",Apr 28 | 16:09
NIFTY MIDCAP100,IEI01,Info Edge,Stock,Very Bearish,"1,004.60",2.00,"24 Apr, 2026",984.95,Apr 28 | 15:58
NIFTY MIDCAP100,AL16,Alkem Lab,Stock,Bearish,"5,418.50",3.51,"24 Apr, 2026","5,235.00",Apr 28 | 15:54
NIFTY NEXT 50,HMI01,Hyundai Motor,Stock,Bearish,"1,825.20",-15.50,"24 Feb, 2026","2,159.90",Apr 28 | 16:09
NIFTY NEXT 50,TVS,TVS Motor,Stock,Very Bearish,"3,495.90",-0.49,"23 Apr, 2026","3,513.00",Apr 28 | 15:59
NIFTY NEXT 50,GCP,Godrej Consumer,Stock,Bearish,"1,092.00",0.00,"28 Apr, 2026","1,092.00",Apr 28 | 16:09
NIFTY NEXT 50,TML02,Tata Motors Com,Stock,Bearish,418.30,0.00,"28 Apr, 2026",418.30,Apr 28 | 16:09
NIFTY NEXT 50,BI,Britannia,Stock,Bearish,"5,662.00",0.00,"28 Apr, 2026","5,662.00",Apr 28 | 15:58
NIFTY NEXT 50,LI09,LTM,Stock,Very Bearish,"4,380.60",2.30,"24 Apr, 2026","4,282.30",Apr 28 | 15:59
NIFTY 500,ES07,eClerx Services,Stock,Very Bearish,"1,449.10",-65.38,"06 Feb, 2026","4,185.90",Apr 28 | 15:58
NIFTY 500,CIS01,C E Info,Stock,Bearish,929.40,-43.38,"08 Jan, 2026","1,641.50",Apr 28 | 15:57
NIFTY 500,II15,IIFL Finance,Stock,Very Bearish,438.05,-18.69,"22 Jan, 2026",538.75,Apr 28 | 15:56
NIFTY 500,IPL01,ICICI Prudentia,Stock,Very Bearish,520.55,-16.81,"04 Mar, 2026",625.75,Apr 28 | 15:58
NIFTY 500,RI37,Redington,Stock,Bearish,214.97,-13.86,"04 Mar, 2026",249.55,Apr 28 | 15:59
NIFTY 500,MC,Ramco Cements,Stock,Very Bearish,956.80,-13.01,"02 Mar, 2026","1,099.90",Apr 28 | 15:58
NIFTY 500,BHL03,Bharti Hexacom,Stock,Very Bearish,"1,509.60",-8.71,"24 Feb, 2026","1,653.70",Apr 28 | 16:09
NIFTY 500,UBB,United Brewerie,Stock,Very Bearish,"1,477.20",-8.63,"16 Mar, 2026","1,616.70",Apr 28 | 15:56
NIFTY 500,KP,Abbott India,Stock,Very Bearish,"25,345.00",-6.77,"09 Mar, 2026","27,185.00",Apr 28 | 15:48
NIFTY 500,FS07,Firstsource Sol,Stock,Very Bearish,212.03,-5.49,"22 Apr, 2026",224.34,Apr 28 | 15:59
NIFTY 500,GDGIL,Go Digit,Stock,Very Bearish,316.80,-4.28,"17 Mar, 2026",330.95,Apr 28 | 15:56
NIFTY 500,SF20,Sundaram Fin,Stock,Very Bearish,"4,574.60",-3.79,"24 Apr, 2026","4,754.90",Apr 28 | 15:56
NIFTY 500,CHL02,Canara HSBC,Stock,Bearish,136.32,-3.06,"24 Apr, 2026",140.62,Apr 28 | 15:54
NIFTY 500,NVC,Nuvoco Vistas,Stock,Very Bearish,292.70,-2.30,"23 Apr, 2026",299.60,Apr 28 | 15:55
NIFTY 500,EL01,Eris Life,Stock,Very Bearish,"1,327.60",-1.86,"22 Apr, 2026","1,352.80",Apr 28 | 15:52
NIFTY 500,IE07,Cyient,Stock,Bearish,858.50,-1.67,"24 Apr, 2026",873.05,Apr 28 | 15:59
