MC_Code,shortName,StockName,nsCode,currPrice,prevPrice,change,pChange,volume,open,high,low
,IDEA,IDEA,IDEA,9.44,9.61,-0.17,-1.77,389805796,9.64,9.71,9.38
,YESBANK,YESBANK,YESBANK,19.83,20.19,-0.36,-1.78,379799755,20.64,20.71,19.79
,SUZLON,SUZLON,SUZLON,52.4,52.93,-0.53,-1.0,153681261,53.34,53.45,51.87
,OLAELEC,OLAELEC,OLAELEC,39.31,40.82,-1.51,-3.7,144974112,40.9,41.6,39.0
,JPPOWER,JPPOWER,JPPOWER,19.03,19.2,-0.17,-0.89,98375618,19.3,19.44,18.75
,ADANIPOWER,ADANIPOWER,ADANIPOWER,199.5,198.5,1.0,0.5,81881887,198.5,207.5,197.41
,GROWW,GROWW,GROWW,197.4,198.34,-0.94,-0.47,80087906,201.0,205.55,193.52
,PCJEWELLER,PCJEWELLER,PCJEWELLER,9.71,9.58,0.13,1.36,74749200,9.83,10.04,9.65
,ZEEL,ZEEL,ZEEL,86.55,81.04,5.51,6.8,71633339,81.3,89.19,80.35
,SWSOLAR,SWSOLAR,SWSOLAR,211.8,193.97,17.83,9.19,70921408,194.88,226.9,189.72
,TATSILV,TATSILV,TATSILV,24.11,24.16,-0.05,-0.21,70555235,24.4,24.4,23.6
,TATAGOLD,TATAGOLD,TATAGOLD,14.67,14.65,0.02,0.14,62991010,14.69,14.69,14.58
,TRITURBINE,TRITURBINE,TRITURBINE,564.5,515.45,49.05,9.52,62274832,518.05,605.95,512.85
,HDFCBANK,HDFCBANK,HDFCBANK,795.2,799.9,-4.7,-0.59,52148044,797.1,809.95,790.0
,BHEL,BHEL,BHEL,325.0,316.79,8.21,2.59,49865330,318.53,333.79,317.6
,RPOWER,RPOWER,RPOWER,28.09,28.68,-0.59,-2.06,49129786,29.0,29.0,27.76
,MAHABANK,MAHABANK,MAHABANK,74.82,72.73,2.09,2.87,48456248,73.01,76.95,72.31
,SCI,SCI,SCI,297.55,305.87,-8.32,-2.72,44980408,307.0,322.51,296.3
,DHARAN,DHARAN,DHARAN,0.17,0.16,0.01,6.25,0,0.15,0.17,0.15
,LIQUIDCASE,LIQUIDCASE,LIQUIDCASE,113.69,113.67,0.02,0.02,41767900,113.68,113.7,113.68
