Category,MC_Code,BSE_Code,StockName,nsCode,currPrice,lastUpdatedTime
52WeekHigh,LL06,LL05,Laurus Labs,/pharmaceuticals/lauruslabs/LL05,1624.8,"27 Jul, 2026|15:59"
52WeekHigh,LSL,LSL,Lenskart Solu,/retailing/lenskartsolutions/LSL,558.0,"27 Jul, 2026|15:59"
52WeekHigh,MBA,MBA,Madhya Bharat A,/fertilizers/madhyabharatagroproducts/MBA,150.0,"27 Jul, 2026|15:57"
52WeekHigh,MGF01,MGF01,Manappuram Fin,/finance-leasing-hire-purchase/manappuramfinance/MGF01,356.0,"27 Jul, 2026|15:59"
52WeekHigh,MFL08,MFL08,Manba Finance,/finance-investment/manbafinance/MFL08,141.0,"27 Jul, 2026|15:59"
52WeekHigh,MTL08,MTL08,MARC Technocrat,/engineering-construction/marctechnocrats/MTL08,119.1,"27 Jul, 2026|15:48"
52WeekHigh,MB01,MB01,Menon Bearings,/bearings/menonbearings/MB01,214.98,"27 Jul, 2026|15:50"
52WeekHigh,MMF,MMF,MM Forgings,/castings-forgings/mmforgings/MMF,559.9,"27 Jul, 2026|15:50"
52WeekHigh,NF03,NSB,Monarch Net,/finance-investments/monarchnetworthcapital/NSB,361.0,"27 Jul, 2026|15:58"
52WeekHigh,MIL21,MIL22,Monolithisch,/refractories/monolithischindia/MIL22,800.0,"27 Jul, 2026|15:49"
52WeekHigh,MML07,MML06,Muthoot Micro,/finance-others/muthootmicrofin/MML06,250.11,"27 Jul, 2026|15:57"
52WeekHigh,NGL,NGL,NGL Fine Chem,/pharmaceuticals/nglfinechem/NGL,3210.0,"27 Jul, 2026|15:44"
52WeekHigh,NRA,NRA,NR Agarwal,/paper/nragarwalindustries/NRA,520.0,"27 Jul, 2026|15:58"
52WeekHigh,OEL,OEL,Omnitech Engine,/engineering-industrial-equipments/omnitechengineering/OEL,622.0,"27 Jul, 2026|15:59"
52WeekHigh,ODC01,ODC01,On Door Concept,/retailing/ondoorconcepts/ODC01,243.8,"27 Jul, 2026|15:41"
52WeekHigh,OTS,OTS,OnEMI Technolog,/finance-nbfc/onemitechnologysolutions/OTS,341.8,"27 Jul, 2026|15:58"
52WeekHigh,OTCL,OTCL,Optivalue Tek,/it-services-consulting/optivaluetekconsulting/OTCL,104.0,"27 Jul, 2026|15:48"
52WeekHigh,OP02,OP02,Orient Press,/printing-stationery/orientpress/OP02,98.49,"27 Jul, 2026|15:56"
52WeekHigh,CAP,CAP,ORIENTAL AROMAT,/chemicals/orientalaromaticsltd/CAP,366.0,"27 Jul, 2026|15:59"
52WeekHigh,RSL11,RSL11,P S Raj Steels,/iron-steel/psrajsteels/RSL11,90.6,"27 Jul, 2026|15:50"
52WeekHigh,PEE01,PEE01,Parth Elec,/electric-equipment/parthelectricalsengineering/PEE01,467.95,"27 Jul, 2026|15:40"
52WeekHigh,PII04,PII04,PowerGrid InvIT,/power-generation-distribution/powergridinfrastructureinvestmenttrust/PII04,100.73,"27 Jul, 2026|15:59"
52WeekHigh,SSP03,SSP03,PRAVEG,/media/praveg/SSP03,290.0,"27 Jul, 2026|15:59"
52WeekHigh,PA09,PA,Proventus,/consumer-food/proventusagrocom/PA,1750.0,"27 Jul, 2026|15:31"
52WeekHigh,PT10,PT12,Pyramid Techno,/containers-packaging/pyramidtechnoplast/PT12,165.09,"27 Jul, 2026|15:58"
52WeekHigh,K04,K04,R R Kabel,/cables/rrkabel/K04,2529.0,"27 Jul, 2026|15:59"
52WeekHigh,RK01,RK01,Radico Khaitan,/breweries-distilleries/radicokhaitan/RK01,4120.0,"27 Jul, 2026|15:57"
52WeekHigh,PC13,RC12,Rain Industries,/cement-major/rainindustries/RC12,226.45,"27 Jul, 2026|15:59"
52WeekHigh,RF16,RF17,RamkrishnaForge,/castings-forgings/ramkrishnaforgings/RF17,595.0,"27 Jul, 2026|15:59"
52WeekHigh,RPE,RPE,Ratnaveer,/iron-steel/ratnaveerprecisionengineering/RPE,182.0,"27 Jul, 2026|15:59"
52WeekHigh,RRL04,RRL04,Rubicon Res,/pharmaceuticals-drugs/rubiconresearch/RRL04,1545.0,"27 Jul, 2026|15:56"
52WeekHigh,SCN,SCN,Satin Credit,/finance-term-lending/satincreditcarenetwork/SCN,271.0,"27 Jul, 2026|15:59"
52WeekHigh,SG16,SG14,Senco Gold,/diamond--jewellery/sencogold/SG14,386.65,"27 Jul, 2026|15:59"
52WeekHigh,JTL,JTL,SG MART,/other-construction-materials/sgmart/JTL,715.05,"27 Jul, 2026|15:55"
52WeekHigh,SSG02,SSG,Shreeji Shippin,/shipping/shreejishippingglobal/SSG,630.0,"27 Jul, 2026|15:57"
