MC_Code,shortName,StockName,nsCode,currPrice,prevPrice,change,pChange,volume,open,high,low
,PCJEWELLER,PCJEWELLER,PCJEWELLER,13.99,11.86,2.13,17.96,2196523618,12.29,14.08,12.21
,IDEA,IDEA,IDEA,15.6,15.02,0.58,3.86,695355022,15.09,15.68,15.06
,IFCI,IFCI,IFCI,102.29,101.38,0.91,0.9,207830587,104.9,107.36,101.4
,JINDWORLD,JINDWORLD,JINDWORLD,58.5,57.51,0.99,1.72,95411627,59.15,61.99,52.02
,JPPOWER,JPPOWER,JPPOWER,16.75,16.29,0.46,2.82,91476432,16.29,17.14,16.09
,GTLINFRA,GTLINFRA,GTLINFRA,1.21,1.16,0.05,4.31,69809746,1.16,1.21,1.16
,TATAGOLD,TATAGOLD,TATAGOLD,14.77,14.94,-0.17,-1.14,57797478,14.87,14.87,14.67
,MOTISONS,MOTISONS,MOTISONS,16.79,16.48,0.31,1.88,50923605,16.6,17.44,16.4
,BAJAJHIND,BAJAJHIND,BAJAJHIND,22.82,21.86,0.96,4.39,47854998,22.15,23.14,22.15
,LUMINO,LUMINO,LUMINO,115.0,114.5,0.5,0.44,44559124,116.75,121.0,114.4
,ZEEL,ZEEL,ZEEL,85.73,91.61,-5.88,-6.42,42609965,88.0,89.0,85.42
,FCL,FCL,FCL,56.66,51.51,5.15,10.0,42019821,52.25,56.66,52.19
,FILATFASH,FILATFASH,FILATFASH,0.18,0.18,0.0,0.0,36890656,0.19,0.19,0.17
,MILKYMIST,MILKYMIST,MILKYMIST,277.49,252.43,25.06,9.93,35261875,255.06,277.67,248.56
,PAISALO,PAISALO,PAISALO,78.97,74.1,4.87,6.57,35087813,74.37,80.0,74.25
,RENUKA,RENUKA,RENUKA,25.12,24.04,1.08,4.49,34693464,24.1,25.57,24.1
,YESBANK,YESBANK,YESBANK,22.42,22.5,-0.08,-0.36,33364009,22.44,22.59,22.28
,SAIL,SAIL,SAIL,187.9,196.8,-8.9,-4.52,32633382,196.99,196.99,187.3
,RADHIKAJWE,RADHIKAJWE,RADHIKAJWE,93.0,83.16,9.84,11.83,31907643,84.62,97.4,84.61
,HCC,HCC,HCC,23.6,22.98,0.62,2.7,31279184,23.0,23.67,22.75
