scid,broker_count,buy_count,hold_count,sell_count,stkname,stockShortName,cmp,change,perChange,profitPotential,stk_url,exchange,targets,targetBarColor,targetPiceLineData,targetBarColorClass,min_target_price,max_target_price,avg_target_price,total_target_price,brokers
AP22,4,2,1,1,Ajanta Pharma,Ajanta Pharma,3697.90,-8.50,-0.23,-9.1,pharmaceuticals/ajantapharma/AP22,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 2450, 'percentages': -33.7, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 3360, 'percentages': -9.1, 'color': 'blue'}, {'id': 'cmp', 'name': 'Current Price', 'value': 3697.9, 'percentages': '', 'color': 'white'}, {'id': 'max_target_price', 'name': 'High', 'value': 4000, 'percentages': 8.1, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'red', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 63.26, 'minRangePer': 58.71, 'maxRanegPer': 80.5, 'rangeDiffPer': 21.79, 'mindiff_total': 37.14, 'maxdiff_total': 50.93}",#E3515C,,,,,
BF04,4,3,1,0,Bajaj Finserv,Bajaj Finserv,2012.00,0.80,0.04,3.1,finance-investments/bajajfinserv/BF04,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 1388, 'percentages': -31, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 2012, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 2075.7, 'percentages': 3.1, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 2490, 'percentages': 23.7, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 79.39, 'minRangePer': 56.61, 'maxRanegPer': 62.4, 'rangeDiffPer': 5.78, 'mindiff_total': 44.95, 'maxdiff_total': 49.54}",#52B974,,,,,
RCM03,4,4,0,0,Rainbow Childrens Medicare,Rainbow Child,1461.80,3.10,0.21,18.5,hospitalhealthcare-services/rainbowchildrensmedicare/RCM03,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 1461.8, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 1580, 'percentages': 8, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1732.5, 'percentages': 18.5, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 1900, 'percentages': 29.9, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 29.97, 'minRangePer': 26.96, 'maxRanegPer': 61.76, 'rangeDiffPer': 34.79, 'mindiff_total': 8.08, 'maxdiff_total': 18.51}",#52B974,,,,,
ABB,4,0,3,1,ABB India,ABB India,7430.00,-116.00,-1.54,-16.2,infrastructure-general/abbindia/ABB,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 4850, 'percentages': -34.7, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 6223.5, 'percentages': -16.2, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 6944, 'percentages': -6.5, 'color': 'green'}, {'id': 'cmp', 'name': 'Current Price', 'value': 7430, 'percentages': '', 'color': 'white'}]","{'background': 'grey', 'position': 'right', 'color': 'red', 'colorFillPercentages': 75, 'greyLeftPercentage': 25, 'greyRightPercentage': 0}","{'totalPercentages': 53.19, 'minRangePer': 53.22, 'maxRanegPer': 81.16, 'rangeDiffPer': 27.94, 'mindiff_total': 28.31, 'maxdiff_total': 43.17}",#E3515C,,,,,
MF19,4,2,2,0,Muthoot Finance,Muthoot Finance,2859.00,-35.10,-1.21,16.9,finance-investments/muthootfinance/MF10,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 2850, 'percentages': -0.3, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 2859, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 3344, 'percentages': 16.9, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 4000, 'percentages': 39.9, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 40.35, 'minRangePer': 0.76, 'maxRanegPer': 42.94, 'rangeDiffPer': 42.18, 'mindiff_total': 0.31, 'maxdiff_total': 17.33}",#52B974,,,,,
GP08,4,3,1,0,Glenmark Pharma,Glenmark,2246.50,-58.50,-2.54,-2.7,pharmaceuticals/glenmarkpharma/GP08,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 1768, 'percentages': -21.2, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 2184.5, 'percentages': -2.7, 'color': 'blue'}, {'id': 'cmp', 'name': 'Current Price', 'value': 2246.5, 'percentages': '', 'color': 'white'}, {'id': 'max_target_price', 'name': 'High', 'value': 2570, 'percentages': 14.4, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'red', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 45.36, 'minRangePer': 51.91, 'maxRanegPer': 59.65, 'rangeDiffPer': 7.74, 'mindiff_total': 23.55, 'maxdiff_total': 27.06}",#E3515C,,,,,
E,4,2,2,0,Escorts Kubota,Escorts Kubota,3054.90,-7.20,-0.24,18.6,automobile-tractors/escortskubota/E,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 3054.9, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 3249, 'percentages': 6.3, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 3624.2, 'percentages': 18.6, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 4000, 'percentages': 30.9, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 30.93, 'minRangePer': 20.53, 'maxRanegPer': 60.23, 'rangeDiffPer': 39.69, 'mindiff_total': 6.35, 'maxdiff_total': 18.63}",#52B974,,,,,
SI10,4,3,1,0,UPL,UPL,568.00,7.95,1.42,32.4,chemicals/upl/UP04,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 568, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 600, 'percentages': 5.6, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 752.2, 'percentages': 32.4, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 860, 'percentages': 51.4, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 51.4, 'minRangePer': 10.95, 'maxRanegPer': 63.07, 'rangeDiffPer': 52.12, 'mindiff_total': 5.63, 'maxdiff_total': 32.42}",#52B974,,,,,
NAC,4,1,2,1,National Aluminium Company,NALCO,386.55,-1.45,-0.37,0.0,aluminium/nationalaluminiumcompany/NAC,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 370, 'percentages': -4.2, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 386.5, 'percentages': 0, 'color': 'blue'}, {'id': 'cmp', 'name': 'Current Price', 'value': 386.55, 'percentages': '', 'color': 'white'}, {'id': 'max_target_price', 'name': 'High', 'value': 401, 'percentages': 3.7, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'red', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 8.37, 'minRangePer': 53.16, 'maxRanegPer': 53.4, 'rangeDiffPer': 0.24, 'mindiff_total': 4.45, 'maxdiff_total': 4.47}",#E3515C,,,,,
LIC,3,0,2,1,LIC Housing Finance,LIC Housing Fin,497.00,-1.80,-0.36,38.5,finance-housing/lichousingfinance/LIC,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 497, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 500, 'percentages': 0.6, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 551.6, 'percentages': 10.9, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 580, 'percentages': 16.7, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 16.7, 'minRangePer': 3.59, 'maxRanegPer': 65.74, 'rangeDiffPer': 62.14, 'mindiff_total': 0.6, 'maxdiff_total': 10.98}",#52B974,,,,,
TIS,4,4,0,0,Tata Steel,Tata Steel,184.00,-1.50,-0.81,11.6,ironsteel/tatasteel/TIS,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 184, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 190, 'percentages': 3.2, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 205.5, 'percentages': 11.6, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 220, 'percentages': 19.5, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 19.56, 'minRangePer': 16.66, 'maxRanegPer': 59.71, 'rangeDiffPer': 43.05, 'mindiff_total': 3.26, 'maxdiff_total': 11.68}",#52B974,,,,,
SG,1,0,1,0,Vedanta,Vedanta,262.60,-1.40,-0.53,112.8,miningminerals/vedanta/SG,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 262.6, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 290, 'percentages': 10.4, 'color': 'red'}, {'id': 'max_target_price', 'name': 'High', 'value': 290, 'percentages': 10.4, 'color': 'green'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 290, 'percentages': 10.4, 'color': 'blue'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 10.43, 'minRangePer': 100, 'maxRanegPer': 100, 'rangeDiffPer': 0, 'mindiff_total': 10.43, 'maxdiff_total': 10.43}",#52B974,,,,,
BI03,4,1,2,1,Balkrishna Industries,Balkrishna Ind,2366.40,-10.30,-0.43,2.5,tyres/balkrishnaindustries/BI03,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 2259, 'percentages': -4.5, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 2366.4, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 2426, 'percentages': 2.5, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 2547, 'percentages': 7.6, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 12.74, 'minRangePer': 37.28, 'maxRanegPer': 58, 'rangeDiffPer': 20.72, 'mindiff_total': 4.75, 'maxdiff_total': 7.39}",#52B974,,,,,
