pattern_id,userid,instrument_type,instrument,exchange,pattern_name,comment,time_frame,sc_id,p_status,is_closed,is_deleted,end_date,updated_at,created_at,meta_data,analyst_name,analyst_image,updated_at_epoch,created_at_epoch,sc_name,symbol,chartType,displayLock,scanproflg
1831,21,,,nse,Rising Trendline,Reversal From Support,2 hours,,New,N,0,2026-10-02,2026-09-04 10:31:55,2026-09-02 10:44:02,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""1508.70"",""pattern_type"":""buy"",""cmp"":""1491.90"",""price_key"":""stk_APT02_N"",""target_price"":""1592"",""target_return_prcnt"":""5.52"",""stoploss_price"":""1458"",""stoploss_prcnt"":""3.36"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178832604067.png""},""rationale"":""Price reversed from rising trendline support, showing buyers defending the uptrend and a potential move higher."",""action_type"":""add"",""created_at"":""2026-09-02 10:44:02"",""updated_at"":""2026-09-02 10:44:02""}]}",,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1788498115,1788326042,,,mc_pro_plus,Y,3
1830,21,,,nse,Rising Trendline,200EMA Support,1 hour,,New,N,0,2026-10-09,2026-09-03 09:54:39,2026-09-02 10:32:13,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""1262.60"",""pattern_type"":""buy"",""cmp"":""1277.00"",""price_key"":""stk_UTI10_N"",""target_price"":""1305"",""target_return_prcnt"":""3.36"",""stoploss_price"":""1248"",""stoploss_prcnt"":""1.16"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178832533226.png""},""rationale"":""Rising trendline and 200 EMA are acting as support, with price holding the zone and buyers defending the ongoing uptrend."",""action_type"":""add"",""created_at"":""2026-09-02 10:32:13"",""updated_at"":""2026-09-02 10:32:13""}]}",,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1788409479,1788325333,,,mc_pro_plus,Y,3
1823,21,,,nse,Horizontal Resistance,Bullish Reversal,1 hour,,New,N,0,2026-09-25,2026-09-02 09:51:41,2026-09-01 11:57:30,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""1148.00"",""pattern_type"":""buy"",""cmp"":""1138.40"",""price_key"":""stk_IT_N"",""target_price"":""1194"",""target_return_prcnt"":""4.01"",""stoploss_price"":""1111"",""stoploss_prcnt"":""3.22"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178824404833.png""},""rationale"":""After a fall, price moved under a resistance which indicates a sideways move. And now the price has moved above the resistance."",""action_type"":""add"",""created_at"":""2026-09-01 11:57:30"",""updated_at"":""2026-09-01 11:57:30""}]}",,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1788322901,1788244050,,,mc_pro_plus,Y,3
1806,21,,,nse,Rising Trendline,Reversal From Support,1 day,,Updated,N,0,2026-10-09,2026-09-01 10:56:09,2026-08-28 11:26:46,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""451.95"",""pattern_type"":""buy"",""cmp"":""442.70"",""price_key"":""stk_EI_N"",""target_price"":""495"",""target_return_prcnt"":""9.53"",""stoploss_price"":""430"",""stoploss_prcnt"":""4.86"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178789660332.png""},""rationale"":""Price has reversed from the rising trendline support, showing buyers are defending the uptrend and bullish momentum is returning."",""action_type"":""add"",""created_at"":""2026-08-28 11:26:46"",""updated_at"":""2026-08-28 11:26:46""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178824036838.png""},""rationale"":""Bullish momentum still intact."",""action_type"":""update"",""created_at"":""2026-09-01 10:56:09"",""updated_at"":""2026-09-01 10:56:09""}]}",,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1788240369,1787896606,,,mc_pro_plus,Y,3
1805,21,,,nse,Ascending Triangle,Bullish Reversal,1 day,,New,N,0,2026-10-02,2026-08-28 11:04:41,2026-08-28 11:04:41,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""46.15"",""pattern_type"":""buy"",""cmp"":""46.15"",""price_key"":""stk_SIL25_N"",""target_price"":""53"",""target_return_prcnt"":""14.84"",""stoploss_price"":""42"",""stoploss_prcnt"":""8.99"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178789527977.png""},""rationale"":""After a fall, price formed an Ascending Triangle and has now broken above resistance, signaling a potential bullish reversal and renewed momentum."",""action_type"":""add"",""created_at"":""2026-08-28 11:04:41"",""updated_at"":""2026-08-28 11:04:41""}]}",,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1787895281,1787895281,,,mc_pro_plus,Y,3
1773,21,,,nse,Falling Trendline,Bullish Reversal,1 day,,Updated,N,0,2026-09-11,2026-08-28 09:53:32,2026-08-17 10:00:21,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""3614.70"",""pattern_type"":""buy"",""cmp"":""3693.00"",""price_key"":""stk_SI48_N"",""target_price"":""4049"",""target_return_prcnt"":""12.01"",""stoploss_price"":""3378"",""stoploss_prcnt"":""6.55"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178694102088.png""},""rationale"":""After nearly a year below the falling trendline, price has broken above it, signaling a potential bullish reversal and a shift in momentum toward buyers."",""action_type"":""add"",""created_at"":""2026-08-17 10:00:21"",""updated_at"":""2026-08-17 10:00:21""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178789101021.png""},""rationale"":""Breakout Retest + Previous Swing High Breakout."",""action_type"":""update"",""created_at"":""2026-08-28 09:53:32"",""updated_at"":""2026-08-28 09:53:32""}]}",,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1787891012,1786941021,,,mc_pro_plus,Y,3
1801,21,,,nse,Symmetrical Triangle,Bullish Reversal,1 day,,New,N,0,2026-09-25,2026-08-26 12:16:31,2026-08-26 12:16:31,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""412.95"",""pattern_type"":""buy"",""cmp"":""412.95"",""price_key"":""stk_KMF_N"",""target_price"":""446"",""target_return_prcnt"":""8.00"",""stoploss_price"":""398"",""stoploss_prcnt"":""3.62"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178772678974.png""},""rationale"":""The Symmetrical Triangle signals a bullish reversal, with the breakout indicating buyers are gaining control and momentum."",""action_type"":""add"",""created_at"":""2026-08-26 12:16:31"",""updated_at"":""2026-08-26 12:16:31""}]}",,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1787726791,1787726791,,,mc_pro_plus,Y,3
1800,21,,,nse,Horizontal Trendline,Bullish Breakout,2 hours,,New,N,0,2026-10-09,2026-08-26 10:31:24,2026-08-26 10:31:24,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""12033.00"",""pattern_type"":""buy"",""cmp"":""12033.00"",""price_key"":""stk_S11_N"",""target_price"":""13010"",""target_return_prcnt"":""8.12"",""stoploss_price"":""11416"",""stoploss_prcnt"":""5.13"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178772048282.png""},""rationale"":""Price has broken above the horizontal trendline resistance, Indicating a bullish breakout and signaling strengthening buying momentum."",""action_type"":""add"",""created_at"":""2026-08-26 10:31:24"",""updated_at"":""2026-08-26 10:31:24""}]}",,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1787720484,1787720484,,,mc_pro_plus,Y,3
1799,21,,,nse,Symmetrical Triangle,Bullish Reversal,4 hours,,New,N,0,2026-10-02,2026-08-26 09:56:14,2026-08-26 09:56:14,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""147.14"",""pattern_type"":""buy"",""cmp"":""147.14"",""price_key"":""stk_BOI_N"",""target_price"":""160"",""target_return_prcnt"":""8.74"",""stoploss_price"":""142"",""stoploss_prcnt"":""3.49"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178771837379.png""},""rationale"":""The Symmetrical Triangle has broken above resistance, confirming a bullish breakout and signaling strengthening buying momentum."",""action_type"":""add"",""created_at"":""2026-08-26 09:56:14"",""updated_at"":""2026-08-26 09:56:14""}]}",,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1787718374,1787718374,,,mc_pro_plus,Y,3
1798,21,,,nse,Rising Trendline,Reversal From Support,4 hours,,New,N,0,2026-09-25,2026-08-25 14:38:33,2026-08-25 14:38:33,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""24325.00"",""pattern_type"":""buy"",""cmp"":""24325.00"",""price_key"":""stk_SC12_N"",""target_price"":""26930"",""target_return_prcnt"":""10.71"",""stoploss_price"":""23820"",""stoploss_prcnt"":""2.08"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178764891124.png""},""rationale"":""Price has reversed from rising trendline support, while MACD turns bullish, signaling renewed buying momentum and potential trend reversal."",""action_type"":""add"",""created_at"":""2026-08-25 14:38:33"",""updated_at"":""2026-08-25 14:38:33""}]}",,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1787648913,1787648913,,,mc_pro_plus,Y,3
