Category,MC_Code,BSE_Code,StockName,nsCode,currPrice,lastUpdatedTime
52WeekHigh,RI46,RI47,Rishabh Instru,/electric-equipment/rishabhinstruments/RI47,527.0,"11 May, 2026|15:48"
52WeekHigh,SI84,SI86,Sahyadri Ind,/cement-products-building-materials/sahyadriindustries/SI86,330.0,"11 May, 2026|15:53"
52WeekHigh,SLS02,SLS03,Sai Life Sci,/pharmaceuticals-drugs/sailifesciences/SLS03,1120.0,"11 May, 2026|15:57"
52WeekHigh,SCN,SCN,Satin Credit,/finance-term-lending/satincreditcarenetwork/SCN,210.51,"11 May, 2026|15:59"
52WeekHigh,SE29,SE18,SBC Exports,/diversified/sbcexports/SE18,34.47,"11 May, 2026|15:59"
52WeekHigh,SPL12,SPL10,Senores Pharma,/pharmaceuticals-drugs/senorespharmaceuticals/SPL10,952.0,"11 May, 2026|15:59"
52WeekHigh,SCP02,SCP,Sheetal Cool Pr,/food-processing/sheetalcoolproducts/SCP,439.1,"11 May, 2026|15:49"
52WeekHigh,SUL01,SUL01,Sheetal Univers,/consumer-food/sheetaluniversal/SUL01,275.0,"11 May, 2026|15:31"
52WeekHigh,SCI,SCI,Shipping Corp,/shipping/shippingcorporationindia/SCI,337.05,"11 May, 2026|16:07"
52WeekHigh,SC55,SC31,Siddhika Coat,/paints/siddhikacoatings/SC31,235.0,"11 May, 2026|15:48"
52WeekHigh,M08,M08,SIGMA ADVANCED,/aerospace-defence/sigmaadvancedsystems/M08,323.0,"11 May, 2026|15:55"
52WeekHigh,SE26,SE24,Softtech Engine,/computers-software/softtechengineers/SE24,435.0,"11 May, 2026|15:40"
52WeekHigh,SAL07,SAL06,Speb Adhesives,/chemicals/spebadhesives/SAL06,78.5,"11 May, 2026|15:31"
52WeekHigh,SO03,ST20,Sterlite Techno,/cables-telephone/sterlitetechnologies/ST20,394.7,"11 May, 2026|15:58"
52WeekHigh,SA10,SA10,Strides Pharma,/pharmaceuticals/stridespharmascience/SA10,1156.9,"11 May, 2026|16:07"
52WeekHigh,SPI,SPI,Sun Pharma,/pharmaceuticals/sunpharmaceuticalindustries/SPI,1827.2,"11 May, 2026|15:58"
52WeekHigh,SST07,SST06,Syrma SGS,/engineering-industrial-equipments/syrmasgstechnology/SST06,1104.8,"11 May, 2026|15:59"
52WeekHigh,TT,TT,TATA Cons. Prod,/plantations-tea-coffee/tataconsumerproducts/TT,1202.2,"11 May, 2026|15:58"
52WeekHigh,T,T,Thermax,/infrastructure-general/thermax/T,4707.0,"11 May, 2026|15:59"
52WeekHigh,TP06,TP06,Torrent Pharma,/pharmaceuticals/torrentpharmaceuticals/TP06,4406.3,"11 May, 2026|15:56"
52WeekHigh,VI20,VI23,V-Marc,/cables/v-marcindia/VI23,1015.0,"11 May, 2026|15:56"
52WeekHigh,VDC01,VDC01,Vijaya Diagnost,/hospital-healthcare-services/vijayadiagnosticcentre/VDC01,1280.0,"11 May, 2026|15:58"
52WeekHigh,VF08,VF08,Viji Finance,/finance-general/vijifinance/VF08,4.5,"11 May, 2026|15:51"
52WeekHigh,VBM,VBM,Vilin Bio,/pharmaceuticals-drugs/vilinbiomed/VBM,51.85,"11 May, 2026|15:31"
52WeekHigh,VIESL,VIESL,Vision Infra,/infrastructure/visioninfraequipmentsolutions/VIESL,355.05,"11 May, 2026|15:57"
52WeekHigh,VEL01,VEL02,Vivid Electro,/electric-equipment/vividelectromech/VEL02,760.0,"11 May, 2026|15:46"
52WeekHigh,SBS01,SBS01,WE WIN,/computers-software-medium-small/wewinlimited/SBS01,72.91,"11 May, 2026|15:49"
52WeekHigh,WGS,WGS,Welspun Corp,/steel-tubes-pipes/welspuncorp/WGS,1288.0,"11 May, 2026|15:59"
52WeekHigh,WI11,WI11,Wheels,/auto-ancillaries/wheelsindia/WI11,1325.7,"11 May, 2026|15:59"
52WeekHigh,YHT,YHT,Yatharth HOSP,/hospital-healthcare-services/yatharthhospitaltraumacareservices/YHT,867.35,"11 May, 2026|15:59"
