MC_Code,shortName,StockName,nsCode,currPrice,prevPrice,change,pChange,volume,open,high,low
,IDEA,IDEA,IDEA,14.53,14.06,0.47,3.34,527024719,14.12,14.72,13.93
,IFCI,IFCI,IFCI,97.72,87.26,10.46,11.99,428062214,87.5,99.49,87.01
,PCJEWELLER,PCJEWELLER,PCJEWELLER,10.17,10.32,-0.15,-1.45,274840339,10.3,10.39,9.98
,ALOKINDS,ALOKINDS,ALOKINDS,7.78,7.69,0.09,1.17,117258835,7.6,8.19,7.06
,MILKYMIST,MILKYMIST,MILKYMIST,249.6,232.03,17.57,7.57,56560370,234.0,255.23,228.36
,TATAGOLD,TATAGOLD,TATAGOLD,14.53,14.73,-0.2,-1.36,55019240,14.36,14.69,14.33
,SUZLON,SUZLON,SUZLON,45.46,46.5,-1.04,-2.24,52679194,46.39,46.39,45.46
,UJJIVANSFB,UJJIVANSFB,UJJIVANSFB,64.15,65.36,-1.21,-1.85,49431916,65.37,65.49,61.4
,YESBANK,YESBANK,YESBANK,22.15,22.1,0.05,0.23,44781892,22.0,22.15,21.82
,OLAELEC,OLAELEC,OLAELEC,38.95,40.51,-1.56,-3.85,44552453,40.2,40.25,38.8
,HDFCBANK,HDFCBANK,HDFCBANK,700.8,711.9,-11.1,-1.56,36950338,702.3,705.65,700.0
,MOREPENLAB,MOREPENLAB,MOREPENLAB,111.79,103.65,8.14,7.85,36392769,104.01,114.0,103.55
,GOLDBEES,GOLDBEES,GOLDBEES,123.57,125.34,-1.77,-1.41,36173459,123.47,124.29,122.75
,COALINDIA,COALINDIA,COALINDIA,417.85,401.6,16.25,4.05,34130970,408.2,422.4,406.5
,VOGL,VOGL,VOGL,38.53,37.78,0.75,1.99,33253547,37.8,39.06,37.46
,ATALREAL,ATALREAL,ATALREAL,25.52,26.65,-1.13,-4.24,33201247,25.01,26.84,25.01
,TATSILV,TATSILV,TATSILV,21.89,22.08,-0.19,-0.86,32620921,21.52,22.63,21.52
,HCC,HCC,HCC,23.16,23.36,-0.2,-0.86,32414628,23.26,23.74,22.9
,GTLINFRA,GTLINFRA,GTLINFRA,1.16,1.15,0.01,0.87,31318894,1.17,1.18,1.15
,VISL,VISL,VISL,37.25,35.48,1.77,4.99,31066046,35.49,37.25,35.01
