MC_Code,shortName,StockName,nsCode,currPrice,prevPrice,change,pChange,volume,open,high,low
,PCJEWELLER,PCJEWELLER,PCJEWELLER,10.61,9.86,0.75,7.61,937979234,10.02,10.85,9.85
,IDEA,IDEA,IDEA,13.79,13.83,-0.04,-0.29,323250383,13.9,14.05,13.51
,GROWW,GROWW,GROWW,216.95,203.79,13.16,6.46,153577738,205.0,219.62,201.67
,OLAELEC,OLAELEC,OLAELEC,40.72,39.47,1.25,3.17,91849006,39.67,41.75,39.43
,PATANJALI,PATANJALI,PATANJALI,347.5,407.55,-60.05,-14.73,81422871,407.5,408.75,328.2
,KALYANKJIL,KALYANKJIL,KALYANKJIL,544.6,529.75,14.85,2.8,63633358,534.0,551.0,518.3
,UNIONBANK,UNIONBANK,UNIONBANK,172.3,170.67,1.63,0.96,60853488,171.21,177.49,168.7
,SUMEET-RE,SUMEET-RE,SUMEET-RE,2.64,2.5,0.14,5.6,0,2.54,2.7,2.26
,NUVOCO,NUVOCO,NUVOCO,376.4,341.4,35.0,10.25,50549487,348.85,398.0,348.85
,VOGL,VOGL,VOGL,36.65,37.82,-1.17,-3.09,48608395,38.0,38.59,36.5
,IDBI,IDBI,IDBI,85.95,86.54,-0.59,-0.68,47957138,87.5,89.94,85.52
,JPPOWER,JPPOWER,JPPOWER,16.78,16.66,0.12,0.72,45986591,16.75,17.2,16.7
,SUZLON,SUZLON,SUZLON,52.54,52.47,0.07,0.13,45977388,52.47,53.49,52.31
,CUPID,CUPID,CUPID,219.6,216.77,2.83,1.31,45298666,219.39,223.0,213.75
,ETERNAL,ETERNAL,ETERNAL,294.15,286.15,8.0,2.8,45125835,285.0,296.45,283.05
,YESBANK,YESBANK,YESBANK,23.57,23.61,-0.04,-0.17,44964825,23.69,23.82,23.52
,VISL,VISL,VISL,33.32,35.07,-1.75,-4.99,43884246,34.88,34.98,33.32
,GTLINFRA,GTLINFRA,GTLINFRA,1.29,1.28,0.01,0.78,41385551,1.28,1.31,1.27
,EASEMYTRIP,EASEMYTRIP,EASEMYTRIP,6.81,6.96,-0.15,-2.16,40644728,7.0,7.03,6.79
,TATAGOLD,TATAGOLD,TATAGOLD,13.7,13.64,0.06,0.44,39217678,13.68,13.8,13.64
