MC_Code,shortName,StockName,nsCode,currPrice,prevPrice,change,pChange,volume,open,high,low
,PCJEWELLER,PCJEWELLER,PCJEWELLER,11.05,10.22,0.83,8.12,503010377,10.28,11.35,10.19
,BAJAJHIND,BAJAJHIND,BAJAJHIND,23.6,23.13,0.47,2.03,192685879,23.94,26.0,23.25
,IDEA,IDEA,IDEA,14.07,13.94,0.13,0.93,189963371,13.98,14.16,13.97
,VMM,VMM,VMM,113.5,103.43,10.07,9.74,146129915,109.2,115.4,109.0
,RENUKA,RENUKA,RENUKA,25.2,25.14,0.06,0.24,106092647,25.65,27.68,24.85
,KWIL,KWIL,KWIL,48.4,48.35,0.05,0.1,110034154,48.4,50.68,46.65
,ALLCARGO,ALLCARGO,ALLCARGO,13.34,12.17,1.17,9.61,102235684,12.5,13.72,12.5
,MOTISONS,MOTISONS,MOTISONS,16.46,17.0,-0.54,-3.18,90723410,17.46,17.7,16.13
,LALITHAA,LALITHAA,LALITHAA,249.1,201.0,-15.9,-6.0,90876783,265.0,274.4,244.4
,HORIZONIND,HORIZONIND,HORIZONIND,59.8,60.0,-0.45,-0.75,76789176,60.25,60.25,56.57
,TATAGOLD,TATAGOLD,TATAGOLD,15.63,15.41,0.22,1.43,79621290,15.45,15.69,15.45
,VOGL,VOGL,VOGL,39.49,38.39,1.1,2.87,73938268,38.89,40.74,38.55
,GATECH,GATECH,GATECH,0.94,0.9,0.04,4.44,0,0.94,0.94,0.93
,HCC,HCC,HCC,22.5,21.03,1.47,6.99,71903558,21.0,22.8,20.95
,IDBI,IDBI,IDBI,88.5,82.24,6.26,7.61,62876532,82.24,90.9,82.24
,URBANCO,URBANCO,URBANCO,168.3,158.6,9.7,6.12,57953489,159.0,172.33,157.55
,TATSILV,TATSILV,TATSILV,23.53,23.62,-0.09,-0.38,53379284,24.21,24.21,23.47
,SAIL,SAIL,SAIL,179.65,173.46,6.19,3.57,42306219,174.8,180.96,174.71
,GOLDBEES,GOLDBEES,GOLDBEES,133.1,131.32,1.78,1.36,42222436,132.86,133.61,132.53
,LTFOODS,LTFOODS,LTFOODS,456.0,427.6,28.4,6.64,37673533,427.6,490.7,427.6
