Index,scId,StockName,type,currTrend,currPrice,performance,trendChngDate,trendChngPrice,updatedTime
NIFTY MIDCAP100,GI27,GMR Airports,Stock,Very Bullish,106.66,9.01,"27 May, 2026",97.84,Jun 15 | 15:59
NIFTY MIDCAP100,TIIND54076,Tube Investment,Stock,Very Bullish,"3,226.10",8.59,"20 May, 2026","2,970.90",Jun 15 | 15:59
NIFTY MIDCAP100,EI,Exide Ind,Stock,Very Bullish,394.85,7.81,"26 May, 2026",366.25,Jun 15 | 15:58
NIFTY MIDCAP100,PI35,Page Industries,Stock,Very Bullish,"39,195.00",6.45,"15 May, 2026","36,820.00",Jun 15 | 15:50
NIFTY MIDCAP100,DT07,Dixon Technolog,Stock,Very Bullish,"11,957.00",6.21,"21 May, 2026","11,258.00",Jun 15 | 15:58
NIFTY MIDCAP100,PEP02,Prestige Estate,Stock,Bullish,"1,472.50",6.14,"12 Jun, 2026","1,387.30",Jun 15 | 15:55
NIFTY MIDCAP100,MOF01,Motilal Oswal,Stock,Very Bullish,939.45,5.74,"12 Jun, 2026",888.45,Jun 15 | 15:57
NIFTY MIDCAP100,BGV,Billionbrains G,Stock,Bullish,207.34,5.74,"05 Jun, 2026",196.09,Jun 15 | 15:59
NIFTY MIDCAP100,BFC,Bharat Forge,Stock,Very Bullish,"2,020.50",5.33,"25 May, 2026","1,918.30",Jun 15 | 15:59
NIFTY MIDCAP100,PM02,Phoenix Mills,Stock,Very Bullish,"1,846.90",5.08,"12 Jun, 2026","1,757.60",Jun 15 | 15:59
NIFTY MIDCAP100,SE17,Suzlon Energy,Stock,Very Bullish,55.57,3.39,"22 May, 2026",53.75,Jun 15 | 15:59
NIFTY MIDCAP100,PEL07,Premier Energie,Stock,Bullish,"1,045.40",2.98,"21 May, 2026","1,015.10",Jun 15 | 15:57
NIFTY MIDCAP100,BFL,MphasiS,Stock,Bullish,"2,309.70",2.93,"25 May, 2026","2,244.00",Jun 15 | 15:55
NIFTY MIDCAP100,ABC07,AB Capital,Stock,Very Bullish,368.20,2.82,"12 Jun, 2026",358.10,Jun 15 | 15:59
NIFTY MIDCAP100,FH,Fortis Health,Stock,Very Bullish,980.15,1.19,"05 Jun, 2026",968.65,Jun 15 | 15:57
NIFTY MIDCAP100,IB04,Indian Bank,Stock,Bullish,849.60,0.48,"12 Jun, 2026",845.50,Jun 15 | 15:57
NIFTY MIDCAP100,MP21,Mankind Pharma,Stock,Bullish,"2,380.30",0.00,"15 Jun, 2026","2,380.30",Jun 15 | 15:59
NIFTY MIDCAP100,LFH,L&T Finance,Stock,Very Bullish,293.25,0.00,"15 Jun, 2026",293.25,Jun 15 | 15:58
NIFTY MIDCAP100,HUD,HUDCO,Stock,Very Bullish,209.54,0.00,"15 Jun, 2026",209.54,Jun 15 | 15:59
NIFTY MIDCAP100,IPA02,ICICIAMC,Stock,Bullish,"3,269.20",0.00,"15 Jun, 2026","3,269.20",Jun 15 | 15:58
NIFTY MIDCAP100,IIFLW54277,360 ONE WAM,Stock,Very Bullish,"1,130.80",0.00,"15 Jun, 2026","1,130.80",Jun 15 | 15:56
NIFTY MIDCAP100,OR,Oberoi Realty,Stock,Very Bullish,"1,669.40",0.00,"15 Jun, 2026","1,669.40",Jun 15 | 15:56
NIFTY MIDCAP100,GP11,Godrej Prop,Stock,Bullish,"1,766.20",0.00,"15 Jun, 2026","1,766.20",Jun 15 | 15:57
NIFTY MIDCAP100,LEI,LG Electronics ,Stock,Bullish,"1,529.20",0.00,"15 Jun, 2026","1,529.20",Jun 15 | 15:59
NIFTY MIDCAP100,CF06,Coromandel Int,Stock,Bullish,"1,986.30",0.00,"15 Jun, 2026","1,986.30",Jun 15 | 15:58
NIFTY MIDCAP100,HPC,HINDPETRO,Stock,Bullish,401.65,0.00,"15 Jun, 2026",401.65,Jun 15 | 15:59
NIFTY MIDCAP100,VMML,Vishal Mega Mar,Stock,Bullish,120.70,0.00,"15 Jun, 2026",120.70,Jun 15 | 15:59
NIFTY MIDCAP100,LC03,Lupin,Stock,Bullish,"2,273.10",-0.01,"11 Jun, 2026","2,273.30",Jun 15 | 15:56
NIFTY MIDCAP100,FEV,FSN E-Com (Nyka,Stock,Very Bullish,272.80,-0.26,"12 Jun, 2026",273.50,Jun 15 | 15:59
NIFTY MIDCAP100,SRF,SRF,Stock,Very Bullish,"2,720.50",-0.50,"10 Jun, 2026","2,734.10",Jun 15 | 15:57
NIFTY MIDCAP100,BOI,Bank of India,Stock,Very Bullish,146.23,-1.01,"09 Jun, 2026",147.72,Jun 15 | 15:59
NIFTY MIDCAP100,LIC,LIC Housing Fin,Stock,Very Bullish,553.85,-1.01,"12 Jun, 2026",559.50,Jun 15 | 15:59
NIFTY NEXT 50,ADANI54145,Adani Green Ene,Stock,Very Bullish,"1,482.60",60.22,"07 Apr, 2026",925.35,Jun 15 | 15:59
NIFTY NEXT 50,AT18,Adani Trans,Stock,Very Bullish,"1,491.90",50.49,"06 Apr, 2026",991.35,Jun 15 | 15:55
NIFTY NEXT 50,CI02,Cummins,Stock,Very Bullish,"5,754.00",38.12,"03 Feb, 2026","4,165.80",Jun 15 | 15:55
NIFTY NEXT 50,CG,CG Power ,Stock,Very Bullish,935.50,28.80,"08 Apr, 2026",726.30,Jun 15 | 15:56
NIFTY NEXT 50,SEI11,Siemens Energy ,Stock,Bullish,"3,550.90",26.21,"10 Apr, 2026","2,813.50",Jun 15 | 15:59
NIFTY NEXT 50,MSS01,MOTHERSON,Stock,Very Bullish,148.12,25.41,"08 Apr, 2026",118.11,Jun 15 | 15:59
NIFTY NEXT 50,VB05,Varun Beverages,Stock,Very Bullish,541.00,21.42,"15 Apr, 2026",445.55,Jun 15 | 15:59
NIFTY NEXT 50,CHC,Zydus Life,Stock,Very Bullish,"1,088.10",15.90,"06 May, 2026",938.80,Jun 15 | 15:57
NIFTY NEXT 50,PI11,Pidilite Ind,Stock,Very Bullish,"1,571.00",10.52,"06 May, 2026","1,421.50",Jun 15 | 15:59
NIFTY NEXT 50,HMI01,Hyundai Motor,Stock,Bullish,"2,030.10",7.93,"25 May, 2026","1,880.90",Jun 15 | 15:59
NIFTY NEXT 50,TP06,Torrent Pharma,Stock,Very Bullish,"4,504.00",6.73,"27 Apr, 2026","4,219.80",Jun 15 | 15:59
NIFTY NEXT 50,MIC,Bosch,Stock,Very Bullish,"39,070.00",6.68,"29 May, 2026","36,625.00",Jun 15 | 15:50
NIFTY NEXT 50,TCL06,Tata Capital,Stock,Bullish,340.70,5.53,"09 Jun, 2026",322.85,Jun 15 | 15:59
NIFTY NEXT 50,CIF01,Chola Invest.,Stock,Bullish,"1,653.60",5.45,"12 Jun, 2026","1,568.10",Jun 15 | 15:59
NIFTY NEXT 50,IHC,Indian Hotels,Stock,Bullish,689.85,4.26,"02 Jun, 2026",661.65,Jun 15 | 15:58
NIFTY NEXT 50,GAI,GAIL,Stock,Very Bullish,175.41,4.00,"25 May, 2026",168.67,Jun 15 | 15:59
NIFTY NEXT 50,ABB,ABB India,Stock,Bullish,"6,922.50",1.74,"26 May, 2026","6,804.00",Jun 15 | 15:58
NIFTY NEXT 50,D04,DLF,Stock,Bullish,614.45,0.00,"15 Jun, 2026",614.45,Jun 15 | 15:59
NIFTY NEXT 50,REC02,REC,Stock,Bullish,351.85,0.00,"15 Jun, 2026",351.85,Jun 15 | 15:57
NIFTY NEXT 50,IOC,IOC,Stock,Bullish,144.49,0.00,"15 Jun, 2026",144.49,Jun 15 | 15:59
NIFTY NEXT 50,TML02,Tata Motors Com,Stock,Bullish,406.60,0.00,"15 Jun, 2026",406.60,Jun 15 | 15:59
NIFTY NEXT 50,MD04,Lodha Developer,Stock,Very Bullish,920.85,0.00,"15 Jun, 2026",920.85,Jun 15 | 15:53
NIFTY 500,HFC,HFCL,Stock,Very Bullish,180.45,149.00,"01 Apr, 2026",72.47,Jun 15 | 15:59
NIFTY 500,AIL10,Aditya Infotech,Stock,Very Bullish,"3,366.30",113.64,"25 Feb, 2026","1,575.70",Jun 15 | 15:58
NIFTY 500,THC,Cemindia Proj,Stock,Very Bullish,"1,178.50",94.78,"08 Apr, 2026",605.05,Jun 15 | 15:59
NIFTY 500,AO05,Acutaas Chem,Stock,Bullish,"3,096.70",79.21,"27 Jan, 2026","1,728.00",Jun 15 | 15:56
NIFTY 500,WGS,Welspun Corp,Stock,Very Bullish,"1,379.70",65.12,"25 Mar, 2026",835.55,Jun 15 | 15:51
NIFTY 500,SST07,Syrma SGS,Stock,Very Bullish,"1,301.10",64.51,"24 Mar, 2026",790.90,Jun 15 | 15:59
NIFTY 500,AI40,Apar Ind,Stock,Very Bullish,"15,986.00",63.04,"23 Mar, 2026","9,805.00",Jun 15 | 15:55
NIFTY 500,DPI01,Data Patterns,Stock,Very Bullish,"4,425.50",62.48,"06 Feb, 2026","2,723.70",Jun 15 | 15:59
NIFTY 500,IFC,IFCI,Stock,Very Bullish,89.60,61.85,"08 Apr, 2026",55.36,Jun 15 | 15:59
NIFTY 500,EPP01,Emmvee Photovol,Stock,Very Bullish,336.75,60.14,"16 Mar, 2026",210.28,Jun 15 | 15:59
NIFTY 500,K04,R R Kabel,Stock,Very Bullish,"2,187.40",56.62,"10 Apr, 2026","1,396.60",Jun 15 | 15:56
NIFTY 500,T,Thermax,Stock,Very Bullish,"4,741.00",55.23,"17 Feb, 2026","3,054.20",Jun 15 | 15:59
NIFTY 500,AEL10,Ather Energy,Stock,Very Bullish,"1,027.40",46.35,"11 Mar, 2026",702.00,Jun 15 | 15:57
NIFTY 500,DFP,Deepak Fert,Stock,Very Bullish,"1,508.30",43.74,"08 Apr, 2026","1,049.30",Jun 15 | 15:58
NIFTY 500,HCI01,Himadri Special,Stock,Very Bullish,668.90,42.61,"08 Apr, 2026",469.05,Jun 15 | 15:59
NIFTY 500,W05,Wockhardt,Stock,Very Bullish,"1,907.60",41.32,"08 Apr, 2026","1,349.80",Jun 15 | 15:59
