MC_Code,shortName,StockName,nsCode,currPrice,prevPrice,change,pChange,volume,open,high,low
,IDEA,IDEA,IDEA,11.99,12.18,-0.19,-1.56,919513608,12.04,12.11,11.63
,GROWW,GROWW,GROWW,183.89,193.52,-9.63,-4.98,542126346,184.0,187.5,180.0
,YESBANK,YESBANK,YESBANK,22.15,22.7,-0.55,-2.42,161320225,22.67,22.93,21.98
,TATSILV,TATSILV,TATSILV,25.54,24.48,1.06,4.33,152787365,26.02,26.65,25.35
,GTLINFRA,GTLINFRA,GTLINFRA,1.3,1.41,-0.11,-7.8,135217723,1.41,1.42,1.26
,SUZLON,SUZLON,SUZLON,51.7,53.3,-1.6,-3.0,99265010,53.0,53.96,51.31
,HFCL,HFCL,HFCL,149.0,148.46,0.54,0.36,98852575,150.54,153.55,146.7
,TATAGOLD,TATAGOLD,TATAGOLD,14.6,14.46,0.14,0.97,86870841,14.58,14.71,14.58
,SILVERBEES,SILVERBEES,SILVERBEES,251.6,241.29,10.31,4.27,71352382,257.81,259.4,249.6
,JPPOWER,JPPOWER,JPPOWER,17.55,18.43,-0.88,-4.77,66963239,18.2,18.34,17.38
,OLAELEC,OLAELEC,OLAELEC,35.2,36.97,-1.77,-4.79,54912648,36.97,37.34,34.95
,ONGC,ONGC,ONGC,294.2,281.0,13.2,4.7,52080828,286.9,299.9,286.85
,PCJEWELLER,PCJEWELLER,PCJEWELLER,8.54,9.03,-0.49,-5.43,50151858,9.0,9.03,8.41
,VEDL,VEDL,VEDL,305.95,298.4,7.55,2.53,47596105,298.1,309.9,298.1
,LLOYDSENGG,LLOYDSENGG,LLOYDSENGG,68.06,66.16,1.9,2.87,46666200,66.61,72.5,65.8
,PARADEEP,PARADEEP,PARADEEP,127.5,122.59,4.91,4.01,46622568,121.85,133.4,120.5
,ADANIPOWER,ADANIPOWER,ADANIPOWER,211.0,222.03,-11.03,-4.97,46023863,222.77,224.63,208.03
,HCC,HCC,HCC,21.63,22.43,-0.8,-3.57,44781305,22.4,23.17,21.61
,RPOWER,RPOWER,RPOWER,27.35,27.99,-0.64,-2.29,44020889,27.99,28.6,27.15
,HDFCBANK,HDFCBANK,HDFCBANK,755.0,763.65,-8.65,-1.13,43937132,756.6,759.7,747.8
