scid,broker_count,buy_count,hold_count,sell_count,stkname,stockShortName,cmp,change,perChange,profitPotential,stk_url,exchange,targets,targetBarColor,targetPiceLineData,targetBarColorClass
UTI10,12,11,1,0,Axis Bank,Axis Bank,1363.50,4.90,0.36,5.0,banks-private-sector/axisbank/AB16,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 1270, 'percentages': -6.8, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 1363.5, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1432.3, 'percentages': 5, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 1610, 'percentages': 18, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 26.77, 'minRangePer': 27.49, 'maxRanegPer': 47.7, 'rangeDiffPer': 20.21, 'mindiff_total': 7.36, 'maxdiff_total': 12.77}",#52B974
MU01,11,10,0,1,Maruti Suzuki India,Maruti Suzuki,13451.00,30.00,0.22,16.2,auto-carsjeeps/marutisuzukiindia/MS24,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 13350, 'percentages': -0.7, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 13451, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 15631, 'percentages': 16.2, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 19000, 'percentages': 41.2, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 42.32, 'minRangePer': 1.77, 'maxRanegPer': 40.35, 'rangeDiffPer': 38.58, 'mindiff_total': 0.75, 'maxdiff_total': 17.08}",#52B974
IT,9,8,1,0,Infosys,Infosys,1029.30,-36.10,-3.39,65.4,computers-software/infosys/IT,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 1029.3, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 1300, 'percentages': 26.2, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1602.6, 'percentages': 55.6, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 1884, 'percentages': 83, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 83.03, 'minRangePer': 31.66, 'maxRanegPer': 67.07, 'rangeDiffPer': 35.4, 'mindiff_total': 26.29, 'maxdiff_total': 55.69}",#52B974
HDF01,6,6,0,0,HDFC Bank,HDFC Bank,774.65,-11.75,-1.49,93.4,banks-private-sector/hdfcbank/HDF01,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 774.65, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 967, 'percentages': 24.8, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1043.3, 'percentages': 34.6, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 1100, 'percentages': 41.9, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 41.99, 'minRangePer': 59.13, 'maxRanegPer': 82.59, 'rangeDiffPer': 23.46, 'mindiff_total': 24.83, 'maxdiff_total': 34.68}",#52B974
BAF,7,4,2,1,Bajaj Finance,Bajaj Finance,962.40,-5.90,-0.61,264.4,finance-nbfc/bajajfinance/BAF,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 950, 'percentages': -1.2, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 962.4, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1041.4, 'percentages': 8.2, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 1150, 'percentages': 19.4, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 21.05, 'minRangePer': 6.17, 'maxRanegPer': 45.7, 'rangeDiffPer': 39.53, 'mindiff_total': 1.3, 'maxdiff_total': 9.62}",#52B974
PS15,10,7,0,3,Persistent Systems,Persistent,4836.50,-24.00,-0.49,23.8,computers-software/persistentsystems/PS15,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 4836.5, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 4900, 'percentages': 1.3, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 5989, 'percentages': 23.8, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 6600, 'percentages': 36.4, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 36.46, 'minRangePer': 3.59, 'maxRanegPer': 65.33, 'rangeDiffPer': 61.73, 'mindiff_total': 1.31, 'maxdiff_total': 23.82}",#52B974
HCL02,9,3,5,1,HCL Technologies,HCL Tech,1109.50,-21.00,-1.86,50.9,computers-software/hcltechnologies/HCL02,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 1109.5, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 1300, 'percentages': 17.1, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1675.1, 'percentages': 50.9, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 2050, 'percentages': 84.7, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 84.76, 'minRangePer': 20.24, 'maxRanegPer': 60.13, 'rangeDiffPer': 39.89, 'mindiff_total': 17.16, 'maxdiff_total': 50.97}",#52B974
MM,9,8,0,1,Mahindra and Mahindra,M&M,3037.30,-26.10,-0.85,24.1,auto-carsjeeps/mahindramahindra/MM,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 2700, 'percentages': -11.1, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 3037.3, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 3771.7, 'percentages': 24.1, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 4450, 'percentages': 46.5, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 64.81, 'minRangePer': 19.27, 'maxRanegPer': 61.24, 'rangeDiffPer': 41.97, 'mindiff_total': 12.49, 'maxdiff_total': 39.69}",#52B974
ICI02,9,9,0,0,ICICI Bank,ICICI Bank,1338.30,-14.10,-1.04,24.5,banks-private-sector/icicibank/ICI02,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 1338.3, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 1500, 'percentages': 12, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1666.4, 'percentages': 24.5, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 1825, 'percentages': 36.3, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 36.36, 'minRangePer': 33.22, 'maxRanegPer': 67.4, 'rangeDiffPer': 34.18, 'mindiff_total': 12.08, 'maxdiff_total': 24.51}",#52B974
C,9,7,1,1,Cipla,Cipla,1433.10,17.40,1.23,10.9,pharmaceuticals/cipla/C,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 1307, 'percentages': -8.7, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 1433.1, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1590.2, 'percentages': 10.9, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 1808, 'percentages': 26.1, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 38.33, 'minRangePer': 25.15, 'maxRanegPer': 56.5, 'rangeDiffPer': 31.35, 'mindiff_total': 9.64, 'maxdiff_total': 21.66}",#52B974
