MC_Code,shortName,StockName,nsCode,currPrice,prevPrice,change,pChange,volume,open,high,low
,IDEA,IDEA,IDEA,13.2,13.54,-0.34,-2.51,355720315,13.49,13.54,13.18
,PCJEWELLER,PCJEWELLER,PCJEWELLER,9.41,9.87,-0.46,-4.66,284326403,9.86,9.86,9.25
,UJJIVANSFB,UJJIVANSFB,UJJIVANSFB,68.75,65.05,3.7,5.69,150100120,65.05,72.24,61.75
,NTPCGREEN,NTPCGREEN,NTPCGREEN,97.19,91.3,5.89,6.45,107607528,93.8,99.6,92.84
,WAKEFIT,WAKEFIT,WAKEFIT,132.8,138.86,-6.06,-4.36,94248586,143.8,158.79,130.77
,OLAELEC,OLAELEC,OLAELEC,36.99,36.67,0.32,0.87,75334122,36.68,38.26,36.16
,ETERNAL,ETERNAL,ETERNAL,287.1,284.4,2.7,0.95,64734810,289.85,296.15,282.7
,GTLINFRA,GTLINFRA,GTLINFRA,1.22,1.23,-0.01,-0.81,62178672,1.23,1.27,1.2
,YESBANK,YESBANK,YESBANK,22.94,23.24,-0.3,-1.29,58895018,23.2,23.2,22.83
,ASIANTILES,ASIANTILES,ASIANTILES,52.1,43.42,8.68,19.99,53204405,43.5,52.1,42.92
,VOGL,VOGL,VOGL,32.88,33.28,-0.4,-1.2,47367358,32.99,34.54,32.55
,SUZLON,SUZLON,SUZLON,52.27,53.01,-0.74,-1.4,47311426,52.85,53.22,52.15
,MOTISONS,MOTISONS,MOTISONS,14.28,13.46,0.82,6.09,45593523,13.26,14.38,13.21
,BANDHANBNK,BANDHANBNK,BANDHANBNK,166.11,173.5,-7.39,-4.26,44729469,173.55,176.0,164.85
,JPPOWER,JPPOWER,JPPOWER,17.02,17.37,-0.35,-2.01,42317475,17.3,17.33,16.87
,NHPC,NHPC,NHPC,79.99,80.28,-0.29,-0.36,41933115,79.8,81.59,79.0
,TATSILV,TATSILV,TATSILV,21.45,21.65,-0.2,-0.92,39913148,21.6,21.94,21.31
,TATAGOLD,TATAGOLD,TATAGOLD,13.93,14.0,-0.07,-0.5,37772085,14.35,14.35,13.93
,ADANIPOWER,ADANIPOWER,ADANIPOWER,212.29,216.95,-4.66,-2.15,34960049,217.18,218.98,211.27
,VMM,VMM,VMM,109.95,112.02,-2.07,-1.85,33462233,112.05,112.38,106.31
